"adap-org/9909004","Bartolo Luque Serrano","Bartolo Luque and Antonio Ferrera (Centro de Astrobiologia, Madrid)","Measuring Mutual Information in Random Boolean Networks","12 pages with 5 figures(eps) included. Submitted to Complex Systems",,,,"adap-org nlin.AO",,"  During the last few years an area of active research in the field of complex
systems is that of their information storing and processing abilities. Common
opinion has it that the most interesting beaviour of these systems is found
``at the edge of chaos'', which would seem to suggest that complex systems may
have inherently non-trivial information proccesing abilities in the vicinity of
sharp phase transitions. A comprenhensive, quantitative understanding of why
this is the case is however still lacking. Indeed, even ``experimental'' (i.e.,
often numerical) evidence that this is so has been questioned for a number of
systems. In this paper we will investigate, both numerically and analitically,
the behavior of Random Boolean Networks (RBN's) as they undergo their
order-disorder phase transition. We will use a simple mean field approximation
to treat the problem, and without lack of generality we will concentrate on a
particular value for the connectivity of the system. In spite of the simplicity
of our arguments, we will be able to reproduce analitically the amount of
mutual information contained in the system as measured from numerical
simulations.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 19:01:03 GMT""}]","2007-05-23"
"hep-th/9909017","Moshe Rozali","Arvind Rajaraman and Moshe Rozali","D-Branes in Linear Dilaton Backgrounds","14 pages, Latex. Typos corrected and references added","JHEP 9912 (1999) 005","10.1088/1126-6708/1999/12/005","RUNHETC-99-32","hep-th",,"  We construct a Dirichlet boundary state for linear dilaton backgrounds. The
state is conformally invariant and satisfies Cardy's conditions. We apply this
construction to two dimensional string theory.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 16:19:31 GMT""},{""version"":""v2"",""created"":""Tue, 7 Sep 1999 21:55:04 GMT""}]","2009-10-31"
"hep-th/9909018","Nikolaos Mavromatos","Nick E. Mavromatos and Elizabeth Winstanley","Infinitely Coloured Black Holes","23 pages latex2e, two ps figures incorporated","Class.Quant.Grav.17:1595-1611,2000","10.1088/0264-9381/17/7/302","Oxford preprint OUTP-99-41P","hep-th gr-qc",,"  We formulate the field equations for $SU(\infty)$ Einstein-Yang-Mills theory,
and find spherically symmetric black-hole solutions. This model may be
motivated by string theory considerations, given the enormous gauge symmetries
which characterize string theory. The solutions simplify considerably in the
presence of a negative cosmological constant, particularly for the limiting
cases of a very large cosmological constant or very small gauge field. The
situation of an arbitrarily small gauge field is relevant for holography and we
comment on the AdS/CFT conjecture in this light. The black holes possess
infinite amounts of gauge field hair, and we speculate on possible consequences
of this for quantum decoherence, which, however, we do not tackle here.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 16:48:49 GMT""}]","2010-11-19"
"hep-th/9909019","Hubert Saleur","H. Saleur","A comment on finite temperature correlations in integrable QFT","11 pages","Nucl.Phys. B567 (2000) 602-610","10.1016/S0550-3213(99)00665-3",,"hep-th",,"  I discuss and extend the recent proposal of Leclair and Mussardo for finite
temperature correlation functions in integrable QFTs. I give further
justification for its validity in the case of one point functions of conserved
quantities. I also argue that the proposal is not correct for two (and higher)
point functions, and give some counterexamples to justify that claim.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 18:28:47 GMT""}]","2009-10-31"
"hep-th/9909020","Michael Dine","Michael Dine and Josh Gray","Non-Renormalization Theorems for Operators with Arbitrary Numbers of
  Derivatives in ${\cal N}=4$ Yang Mills Theory","14 pages, latex","Phys.Lett. B481 (2000) 427-435","10.1016/S0370-2693(00)00466-4","SCIPP-99/22","hep-th",,"  We generalize the proof of the non-renormalization of the four derivative
operators in ${\cal N}=4$ Yang Mills theory with gauge group SU(2) to show that
certain terms with 2N derivatives are not renormalized in the theory with gauge
group SU(N). These terms may be determined exactly by a simple perturbative
computation. Similar results hold for finite ${\cal N}=2$ theories. We comment
on the implications of these results.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 23:42:53 GMT""}]","2016-09-06"
"hep-th/9909022","Minic","D. Minic (USC)","M-theory and Deformation Quantization","24 pages, LaTeX",,,,"hep-th",,"  We discuss deformation quantization of the covariant, light-cone and
conformal gauge-fixed p-brane actions (p>1) which are closely related to the
structure of the classical and quantum Nambu brackets. It is known that
deformation quantization of the Nambu bracket is not of the usual Moyal type.
Yet the Nambu bracket can be quantized using the Zariski deformation
quantization (discovered by Dito, Flato, Sternheimer and Takhtajan) which is
based on factorization of polynomials in several real variables. We discuss a
particular application of the Zariski deformed quantization in M-theory by
considering the problem of a covariant formulation of Matrix theory. We propose
that the problem of a covariant formulation of Matrix theory can be solved
using the formalism of Zariski deformed quantization of the triple Nambu
bracket.
","[{""version"":""v1"",""created"":""Sat, 4 Sep 1999 02:42:43 GMT""}]","2007-05-23"
"hep-th/9909023","Sergei Bulgadaev","S.A.Bulgadaev (Landau Institute, Moscow)","3D van der Waals sigma-model and topological excitations with
  logarithmic energy","14 pages, a talk given at seminar ""Properties and Dynamics of Liquid
  Crystals"", 23 August, MPIPKS, Dresden, Germany",,,"LIP 03/09/99","hep-th cond-mat",,"  The 3D vector van der Waals (or conformal) nonlinear sigma-model is proposed.
It is shown that it has the ""hedgehog""-like topological excitations with
logarithmic energy. Their ""neutral"" configurations have nontrivial topological
structures described by Hopf invariant. A possible influence of these
excitations on the properties of the model are discussed.
","[{""version"":""v1"",""created"":""Sat, 4 Sep 1999 08:28:59 GMT""}]","2007-05-23"
"hep-th/9909024","Dmitrij Shirkov","D.V. Shirkov","Evolution of the Bogoluibov Renormalization Group","44 pages, LaTeX",,,,"hep-th",,"  We start with a simple introduction into the renormalization group (RG) in
quantum field theory and give an overview of the renormalization group method.
The third section is devoted to essential topics of the renorm-group use in the
QFT. Here, some fresh results are included.
  Then we turn to the remarkable proliferation of the RG ideas into various
fields of physics. The last section summarizes an impressive recent progress of
the ""QFT renormalization group"" application in mathematical physics.
","[{""version"":""v1"",""created"":""Sat, 4 Sep 1999 08:54:31 GMT""}]","2007-05-23"
"hep-th/9909025","Heiyoung Shin","Heiyoung Shin","Glueball Mass Spectrum in KK Monopole Background","4 pages Latex",,,,"hep-th",,"  We consider typeIIA supergravity solution of D2-branes and D3-branes
localized within D6-branes in the near-core region of D6-branes. With these
solutions we can calculate the spectrum of the glueball mass in QCD3 and QCD4.
The equation of motion describing the dilaton has the same eigenvalues and the
same glueball masses in QCD3 and QCD4. Glueball mass spectrum is the same in
the near core region of D6-branes of their M-theory counterpart is KK monopole.
We conclude that the glueball mass spectrum is the same in QCD3 and QCD4 by
considering the `near-core' limit of D6-branes of which M-theory counterpart
(KK monopole background) becomes an ALE space with an $A_{N-1}$ singularity
times 7 dimensional Minkowski space $M^{(6,1)}$.
","[{""version"":""v1"",""created"":""Sat, 4 Sep 1999 09:22:17 GMT""}]","2007-05-23"
"hep-th/9909026","Yoshitaka Okumura","Yoshitaka Okumura","BRST invariant formulation of spontaneously broken gauge theory in
  generalized differential geometry","15 pages","J.Math.Phys.41:1788-1800,2000","10.1063/1.533212","CHUBU9903","hep-th",,"  Noncommutative geometry(NCG) on the discrete space successfully reproduces
the Higgs mechanism of the spontaneously broken gauge theory, in which the
Higgs boson field is regarded as a kind of gauge field on the discrete space.
We could construct the generalized differential geometry(GDG) on the discrete
space $M_4\times Z_N$ which is very close to NCG in case of $M_4\times Z_2$.
GDG is a direct generalization of the differential geometry on the ordinary
manifold into the discrete one. In this paper, we attempt to construct the BRST
invariant formulation of spontaneously broken gauge theory based on GDG and
obtain the BRST invariant Lagrangian with the t'Hooft-Feynman gauge fixing
term.
","[{""version"":""v1"",""created"":""Sat, 4 Sep 1999 12:17:04 GMT""}]","2014-11-18"
"math/9909027","Vaughan Jones","Vaughan F. R. Jones (UC Berkeley)","Planar algebras, I","122 pages",,,,"math.QA math.OA",,"  We introduce a notion of planar algebra, the simplest example of which is a
vector space of tensors, closed under planar contractions. A planar algebra
with suitable positivity properties produces a finite index subfactor of a II_1
factor, and vice versa.
","[{""version"":""v1"",""created"":""Sat, 4 Sep 1999 06:24:17 GMT""}]","2007-05-23"
"nucl-th/9909006","Stuart Pittel","M. V. Stoitsov, J. Dobaczewski, P. Ring and S. Pittel","Quadrupole deformations of neutron-drip-line nuclei studied within the
  Skyrme Hartree-Fock-Bogolyubov approach","20 pages, 7 figures","Phys.Rev.C61:034311,2000","10.1103/PhysRevC.61.034311",,"nucl-th",,"  We introduce a local-scaling point transformation to allow for modifying the
asymptotic properties of the deformed three-dimensional Cartesian harmonic
oscillator wave functions. The resulting single-particle bases are very well
suited for solving the Hartree-Fock-Bogoliubov equations for deformed drip-line
nuclei. We then present results of self-consistent calculations performed for
the Mg isotopes and for light nuclei located near the two-neutron drip line.
The results suggest that for all even-even elements with $Z$=10--18 the most
weakly-bound nucleus has an oblate ground-state shape.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 16:05:20 GMT""}]","2011-05-12"
"physics/9909005","George H. Rawitscher","G. H. Rawitscher (UConn), B. D. Esry (Harvard Smithonian Center for
  Astrophysics), E. Tiesinga (NIST), J. P. Burke (JILA)","Comparison of numerical methods for the calculation of cold atom
  collisions","22 pages, 3 figures, submitted to J. Comput. Phys. documentstyle
  [thmsa,sw20aip]{article} in .tex",,"10.1063/1.480431",,"physics.atom-ph physics.comp-ph",,"  Three different numerical techniques for solving a coupled channel
Schroedinger equation are compared. This benchmark equation, which describes
the collision between two ultracold atoms, consists of two channels, each
containing the same diagonal Lennard-Jones potential, one of positive and the
other of negative energy. The coupling potential is of an exponential form. The
methods are i) a recently developed spectral type integral equation method
based on Chebyshev expansions, ii) a finite element expansion, and iii) a
combination of an improved Numerov finite difference method and a Gordon
method. The computing time and the accuracy of the resulting phase shift is
found to be comparable for methods i) and ii), achieving an accuracy of ten
significant figures with a double precision calculation. Method iii) achieves
seven significant figures. The scattering length and effective range are also
obtained.
","[{""version"":""v1"",""created"":""Sat, 4 Sep 1999 14:25:35 GMT""}]","2009-10-31"
"quant-ph/9909014","Andreas Klappenecker","Andreas Klappenecker","Wavelets and Wavelet Packets on Quantum Computers","11 pages, 10 postscript figure, to appear in Proc. of Wavelet
  Applications in Signal and Image Processing VII",,"10.1117/12.366826",,"quant-ph",,"  We show how periodized wavelet packet transforms and periodized wavelet
transforms can be implemented on a quantum computer. Surprisingly, we find that
the implementation of wavelet packet transforms is less costly than the
implementation of wavelet transforms on a quantum computer.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 19:32:42 GMT""}]","2015-06-26"
"quant-ph/9909015","P. Narayana Swamy","P. Narayana Swamy","q-deformed fermion oscillators, zero-point energy and
  inclusion-exclusion principle","10 pages, Latex, submitted to Physical Review E",,,,"quant-ph",,"  The theory of Fermion oscillators has two essential ingredients: zero-point
energy and Pauli exclusion principle. We devlop the theory of the statistical
mechanics of generalized q-deformed Fermion oscillator algebra with inclusion
principle (i.e., without the exclusion principle), which corresponds to
ordinary fermions with Pauli exclusion principle in the classical limit $q \to
1$. Some of the remarkable properties of this theory play a crucial role in the
understanding of the q-deformed Fermions. We show that if we insist on the weak
exclusion principle, then the theory has the expected low temperature limit as
well as the correct classical q-limit.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 19:07:47 GMT""}]","2007-05-23"
"quant-ph/9909016","Hans Halvorson","Rob Clifton (Depts. of Philosophy and History & Philosophy of Science,
  University of Pittsburgh), Hans Halvorson (Depts. of Mathematics and
  Philosophy, University of Pittsburgh), Adrian Kent (DAMTP, University of
  Cambridge)","Non-local Correlations are Generic in Infinite-Dimensional Bipartite
  Systems","8 pages, RevTeX","Phys. Rev. A 61, 042101 (2000)","10.1103/PhysRevA.61.042101",,"quant-ph",,"  It was recently shown that the nonseparable density operators for a bipartite
system are trace norm dense if either factor space has infinite dimension. We
show here that non-local states -- i.e., states whose correlations cannot be
reproduced by any local hidden variable model -- are also dense. Our
constructions distinguish between the cases where both factor spaces are
infinite-dimensional, where we show that states violating the CHSH inequality
are dense, and the case where only one factor space is infinite-dimensional,
where we identify open neighborhoods of nonseparable states that do not violate
the CHSH inequality but show that states with a subtler form of non-locality
(often called ""hidden"" non-locality) remain dense.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 22:38:13 GMT""},{""version"":""v2"",""created"":""Fri, 3 Sep 1999 23:02:14 GMT""}]","2009-10-31"
"quant-ph/9909017","Hagen Kleinert","Boris Kastening and Hagen Kleinert","Efficient Algorithm for Perturbative Calculation of Multiloop Feynman
  Integrals","Author Information under
  http://www.physik.fu-berlin.de/~kleinert/institution.html . Latest update of
  paper also at http://www.physik.fu-berlin.de/~kleinert/299","Phys.Lett. A269 (2000) 50-54","10.1016/S0375-9601(00)00199-7",,"quant-ph",,"  We present an efficient algorithm for calculating multiloop Feynman integrals
perturbatively.
","[{""version"":""v1"",""created"":""Sat, 4 Sep 1999 06:56:45 GMT""},{""version"":""v2"",""created"":""Thu, 21 Oct 1999 06:54:49 GMT""}]","2009-10-31"
