"adap-org/9911004","Adam Ponzi","A.Ponzi and Y.Aizawa","Criticality and Punctuated Equilibrium in a Spin System Model of a
  Financial Market","15 pages, 7 figures, to appear in Chaos, Solitons and Fractals,
  rec.date 1999.3",,"10.1016/S0960-0779(99)00048-X",,"adap-org nlin.AO",,"  We describe a financial market model which shows a non-equilibrium phase
transition. Near the transition punctuated equilibrium behaviour is seen, with
avalanches occuring on all scales. This scaling is described by an exponent
very near 1. This system shows intermittent time development with bursts of
global synchronization reminiscent of a market rollercoaster.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 12:07:04 GMT""}]","2015-06-24"
"hep-lat/9911022","Herbert Neuberger","H. Neuberger (Rutgers)","Overlap","12 pages, Latex, sty file included, talk at CHIRAL '99, Taipei, Sep.
  13-18, 1999","Chin.J.Phys.38:533-542,2000",,"RUHN-99-5","hep-lat hep-ph hep-th",,"  The overlap formulation of regulated vectorial and chiral gauge theories is
reviewed. Ostensibly new constructions, based on the Ginsparg-Wilson relation
are essentially just overlap with new notation. At present there exists no
satisfactory realization of chiral symmetries outside perturbation theory which
is structurally different from the overlap.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 18:26:21 GMT""}]","2014-11-17"
"hep-ph/9911401","Covi Laura","Laura Covi","New developments in inflationary models","13 pages, 4 figures, to appear in the Proceedings of the Conference
  ""Beyond the Desert '99"", Tegernsee, Germany, 6-12 June 1999",,,"DESY 99-172","hep-ph",,"  We study models of inflation where the inflaton corresponds to a flat
direction in field space and its mass term is generated by gravity mediated
soft supersymmetry breaking at high scale. Assuming the inflaton to have non
negligible couplings to other fields, its mass runs with scale and can reach
the small value required by slow roll inflation at a lower scale, even if its
initial value is too large. Slow roll inflation can therefore take place in
such a regime, as long as the mass remains small, with a spectral index that is
then scale dependent. We explore the parameter space of this kind of models to
find the region compatible with the present observations.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 16:03:43 GMT""}]","2007-05-23"
"hep-ph/9911402","Norberto N. Scoccola","Norberto N. Scoccola","Multibaryons in the Skyrme model","7 pages. To be published in the Proc. of ""Hadron Physics 99"".
  Coimbra, Portugal. September 10- 15, 1999",,"10.1063/1.1303011",,"hep-ph",,"  Low-lying multibaryon configurations are studied within the bound state
approach to the SU(3) Skyrme model. We use approximate ansaetze for the static
background fields based on rational maps which have the same symmetries of the
exact solutions. To determine the explicit form of the collective Hamiltonians
and wave functions we only make use of these symmetries. Thus, the expressions
obtained are also valid in the exact case. On the other hand, the meson
bindings, inertia parameters and hyperfine splitting constants we calculate do
depend on the detailed form of the ansaetze and are, therefore, approximate.
Using these values we compute the low-lying spectra of multibaryons with B =< 9
and strangeness 0 and -B. With these results the stability of some multilambda
configurations is discussed.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 17:19:30 GMT""}]","2009-10-31"
"hep-ph/9911403","Norberto N. Scoccola","Norberto N. Scoccola","Electromagnetic and weak hyperon properties in the Skyrme model","7 pages, 1 fig. Cont. to the Proc. of the ""School on Electromagnetic
  probes and the structure of hadrons and nuclei"". Erice, Italy. September 17-
  24, 1999 to be published in Progress in Particle and Nuclear Physics","Prog.Part.Nucl.Phys.44:243-252,2000","10.1016/S0146-6410(00)00075-2",,"hep-ph",,"  We report on the result of some investigations concerning the radiative
decays of decuplet baryons and the non-leptonic weak decays of the octet
baryons in the context of topological chiral soliton models. Our results are
compared with those of alternative baryon models. For the radiative decays we
find that the predictions are similar to those of quark models. In the case of
the non-leptonic weak decays, we find that although the predicted S-wave
amplitudes are in rather good agreement with the observed values, the model is
not able to reproduce the empirical P-wave amplitudes. Thus, in contrast to
previous expectations, the Skyrme model does not seem to provide a solution to
the long-standing 'S-wave/P-wave puzzle'.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 17:35:50 GMT""}]","2011-04-15"
"hep-ph/9911404","Christian Bauer","Christian W. Bauer, Craig N. Burrell","Nonperturbative corrections to moments of the decay B -> X_s l^+ l^-","24 pages, revtex, 4 figures, added an appendix with details, results
  unchanged","Phys.Rev.D62:114028,2000","10.1103/PhysRevD.62.114028","UTPT-99-19","hep-ph",,"  We study nonperturbative corrections to the inclusive rare decay B -> X_s l^+
l^- by performing an operator product expansion (OPE) to O(1/m_b^3). The values
of the matrix elements entering at this order are unknown and introduce
uncertainties into physical quantities. We study uncertainties introduced into
the partially integrated rate, moments of the hadronic spectrum, as well as the
forward-backward asymmetry. We find that for large dilepton invariant mass q^2
> M_{\psi'}^2 these uncertainties are large. We also assess the possibility of
extracting the HQET parameters \lambda_1 and \bar{\Lambda} using data from this
process.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 22:50:36 GMT""},{""version"":""v2"",""created"":""Thu, 13 Jan 2000 19:32:02 GMT""},{""version"":""v3"",""created"":""Mon, 28 Aug 2000 19:16:05 GMT""}]","2011-03-23"
"hep-ph/9911406","Michael Graesser","Csaba Csaki (Los Alamos), Michael Graesser (UC Santa Cruz), Lisa
  Randall (Princeton and ITP Santa Barbara), John Terning (Harvard)","Cosmology of Brane Models with Radion Stabilization","35 pages, Latex","Phys.Rev.D62:045015,2000","10.1103/PhysRevD.62.045015","SCIPP-99-49, HUTP-A061, NSF-ITP-99-130","hep-ph astro-ph gr-qc hep-th",,"  We analyze the cosmology of the Randall-Sundrum model and that of compact
brane models in general in the presence of a radius stabilization mechanism. We
find that the expansion of our universe is generically in agreement with the
expected effective four dimensional description. The constraint (which is
responsible for the appearance of non-conventional cosmologies in these models)
that must be imposed on the matter densities on the two branes in the theory
without a stabilized radius is a consequence of requiring a static solution
even in the absence of stabilization. Such constraints disappear in the
presence of a stablizing potential, and the ordinary FRW
(Friedmann-Robertson-Walker) equations are reproduced, with the expansion
driven by the sum of the physical values of the energy densities on the two
branes and in the bulk. For the case of the Randall-Sundrum model we examine
the kinematics of the radion field, and find that corrections to the standard
FRW equations are small for temperatures below the weak scale. We find that the
radion field has renormalizable and unsuppressed couplings to Standard Model
particles after electroweak symmetry breaking. These couplings may have
important implications for collider searches. We comment on the possibility
that matter off the TeV brane could serve as a dark matter candidate.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 00:24:36 GMT""},{""version"":""v2"",""created"":""Sun, 21 Nov 1999 23:56:16 GMT""}]","2009-09-15"
"hep-ph/9911407","Dennys A. Lopez Falcon","J. L. Diaz Cruz and D. A. Lopez Falcon (Puebla U., Mexico)","Testing models with non-minimal Higgs sector through the decay t->q+WZ","Typeset using REVTEX and EPSF, 5 pag, 2 figures","Phys.Rev.D61:051701,2000","10.1103/PhysRevD.61.051701","HEP-IFUAP-99-03","hep-ph",,"  We study the contribution of charged Higgs boson to the rare decay of the top
quark t->q+WZ (q=d,s,b) in models with Higgs sector that includes doublets and
triplets. Higgs doublets are needed to couple charged Higgs with quarks,
whereas the Higgs triplets are required to generate the non-standard vertex HWZ
at tree-level. It is found that within a model that respect the custodial SU(2)
symmetry and avoids flavour changing neutral currents by imposing discrete
symmetries, the decay mode t->b+WZ, can reach a branching ratio of order
0.0178, whereas the decay modes t->(d,s)+WZ, can reach a similar branching
ratio in models where flavour changing neutral currents are suppressed by
flavour symmetries.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 03:18:06 GMT""},{""version"":""v2"",""created"":""Fri, 18 Feb 2000 01:28:12 GMT""}]","2009-12-30"
"hep-ph/9911408","Heidrun Rheinfels","Reinhard Stock","Quark Matter 99 Summary: Hadronic Signals","18 pages","Nucl.Phys. A661 (1999) 282-299","10.1016/S0375-9474(99)85027-1",,"hep-ph",,"  I review the new data presented at QM99. The main emphasis is placed on the
CERN SPS hadron production systematics concluding that the boundary between a
partonic and a hadronic phase has now been located at $T=180 \pm10\:MeV$ and
$\epsilon \approx 1 \:GeV$ per $fm^3$.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 09:49:23 GMT""}]","2015-06-25"
"hep-ph/9911409","Nils Hammon","N. Hammon, H. St\""ocker, W. Greiner (Frankfurt), and A. Dumitru
  (Columbia)","Hadron yields from thermalized minijets at RHIC and LHC","Talk given at the International Europhysics Conference on High Energy
  Physics, EPS-HEP99, Tampere, Finland, July 1999, 3 pages",,,,"hep-ph",,"  We calculate the yields of pions, kaons, and $\phi$-mesons for RHIC and LHC
energies assuming thermodynamical equilibration of the produced minijets, and
using as input results from pQCD for the energy densities at midrapidity. In
the calculation of the production of partons and of transverse energy one has
to account for nuclear shadowing. By using two parametrizations for the gluon
shadowing one derives energy densities differing strongly in magnitude. In this
publication we link those perturbatively calculated energy densities of partons
via entropy conservation in an ideal fluid to the hadron multiplicities at
chemical freeze-out.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 12:15:34 GMT""}]","2007-05-23"
"hep-ph/9911410","Andrzej Czarnecki","Andrzej Czarnecki and Savely G. Karshenboim","Decays of Positronium","Talk given at the 14th International Workshop on High Energy Physics
  and Quantum Field Theory (QFTHEP99), May 1999, Moscow, Russia, to appear in
  the Proceedings; 9 pages, latex","B.B. Levchenko and V.I. Savrin (eds.), Proc. of the 14th
  International Workshop on High Energy Physics and Quantum Field Theory
  (QFTHEP99, Moscow 1999), MSU-Press 2000, pp. 538 - 544.",,"BNL-HET-99/37","hep-ph",,"  We briefly review the theoretical and experimental results concerning decays
of positronium. Possible solutions of the ""orthopositronium lifetime puzzle""
are discussed. Positronium annihilation into neutrinos is examined and
disagreement is found with previously published results.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 14:18:30 GMT""}]","2007-05-23"
"hep-ph/9911411","Norbert E. Ligterink","N.E. Ligterink","Solving multi-loop Feynman diagrams using light-front coordinates","7 pages, 3 figures","Phys.Rev. D61 (2000) 105010","10.1103/PhysRevD.61.105010","ECT*-99-016","hep-ph",,"  We determine the numerical values of scalar multi-loop two-vertex Feynman
diagrams, the generalized sunset diagrams, by integrating all but the
longitudinal momenta analytically. For the longitudinal momenta we introduce
one collective coordinate, which allows us to determine the numerical value of
the diagram efficiently and to an arbitrary accuracy. The imaginary part and
the threshold behavior of the diagram are also handled within this framework.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 15:11:06 GMT""}]","2009-10-31"
"hep-th/9911137","Sandip Trivedi","S. R. Das, S. Kalyana Rama and S. P. Trivedi","Supergravity with Self-dual B fields and Instantons in Noncommutative
  Gauge Theory","25 pages, harvmac","JHEP 0003 (2000) 004","10.1088/1126-6708/2000/03/004","TIFR-TH/99-57, MRI-PHY/P991134, IMSc/11/37","hep-th",,"  We study Type IIB supergravity in the presence of (euclidean) D3 branes and
nonzero self-dual B-fields. We point out that the Einstein frame metric is
identical to the full geometry for D3 branes without B fields turned on.
Furthermore, in a decoupling limit in which the theory is conjectured to be
dual to noncommutative Yang-Mills theory, the entire Einstein metric remains
intact, and in particular, is asymptotically flat. We construct D-instanton
solutions in this geometry. We show that in the decoupling limit the
D-instanton action agrees with the action of the corresponding instanton in the
noncommutative Yang-Mills theory and is expressed in terms of the open string
coupling. Some other aspects of this correspondence, which have unusual
features because the underlying metric is asymptotically flat, are explored.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 16:41:18 GMT""}]","2009-10-31"
"hep-th/9911149","Irina Arefeva","I.Ya. Aref'eva, A.S. Koshelev and P.B. Medvedev","On Stable Sector in Supermembrane Matrix Model","29 pages, 5 figures","Nucl.Phys. B579 (2000) 411-436","10.1016/S0550-3213(00)00205-4","SMI-5-99","hep-th",,"  We study the spectrum of SU(2) x SO(2) matrix supersymmetric quantum
mechanics. We use angular coordinates that allow us to find an explicit
solution of the Gauss law constraints and single out the quantum number n (the
Lorentz angular momentum). Energy levels are four-fold degenerate with respect
to n and are labeled by n_q, the largest n in a quartet. The Schr\""odinger
equation is reduced to two different systems of two-dimensional partial
differential equations. The choice of a system is governed by n_q. We present
the asymptotic solutions for the systems deriving thereby the asymptotic
formula for the spectrum. Odd n_q are forbidden, for even n_q the spectrum has
a continuous part as well as a discrete one, meanwhile for half-integer n_q the
spectrum is purely discrete. Taking half-integer n_q one can cure the model
from instability caused by the presence of continuous spectrum.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 23:22:21 GMT""}]","2009-10-31"
"hep-th/9911150","Max Banados","M. Banados","Gravitons and gauge fields in 5d Chern-Simons supergravity","Some improvements in the section on `backgrounds', and references
  added. 10 pages, latex, no figures, uses espcrc2.sty (twocolumn). Written
  version of an invited Lecture delivered at the QG99 meeting, held in
  Sardinia, Italy, on Sept. 1999","Nucl.Phys.Proc.Suppl. 88 (2000) 17-26","10.1016/S0920-5632(00)00749-0",,"hep-th",,"  Despite the nice geometrical properties of higher dimensional Chern-Simons
(CS) supergravity theories these actions suffer from one major drawback,
namely, their connection with the real world. After some quick remarks on
three-dimensional gravity, we consider five-dimensional CS supergravity and
study to what extend this theory reproduces the standard low energy description
of gravitons and gauge fields. We point out that if one deforms the CS action
by changing the value of the cosmological constant by a small amount (thus
breaking the CS symmetry), propagation around AdS becomes non-trivial,
asymptotically (AdS) Schwarzschild solutions exist, and the gauge field
acquires its standard quadratic propagator.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 18:50:45 GMT""},{""version"":""v2"",""created"":""Fri, 19 Nov 1999 17:35:53 GMT""}]","2009-10-31"
"hep-th/9911151","Cristian Valenzuela","M. Loewe and C. Valenzuela","Thermal Renormalons in Scalar Field Theory","12 pages, 3 figures, uses feynMF. Minor corrections","Mod.Phys.Lett. A15 (2000) 1181-1190","10.1142/S0217732300001481","UCCHEP-06/99","hep-th",,"  In the frame of the scalar theory $g \phi ^{4}$, we explore the occurrence of
thermal renormalons, i. e. temperature dependent singularities in the Borel
plane. The discussion of a particular renormalon type diagram at finite
temperature, using Thermofield Dynamics, allows us to establish that these
singularities actually get a temperature dependence. This dependence appears in
the residues of the poles, remaining their positions unchanged with
temperature.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 21:58:22 GMT""},{""version"":""v2"",""created"":""Wed, 5 Jul 2000 00:15:39 GMT""}]","2009-10-31"
"hep-th/9911152","Shin'ichi Nojiri","Shin'ichi Nojiri and Sergei D. Odintsov","Finite gravitational action for higher derivative and stringy gravities","LaTeX file, 21 pages","Phys.Rev.D62:064018,2000","10.1103/PhysRevD.62.064018",,"hep-th",,"  We generalize the local surface counterterm prescription suggested in
Einstein gravity for higher derivative (HD) and Weyl gravities. Explicitly, the
surface counterterm is found for three- and five-dimensional HD gravities. As a
result, the gravitational action for asymptotically AdS spaces is finite and
gravitational energy-momentum tensor is well-defined. The holographic trace
anomaly for d2 and d4 boundary (gauge) QFT dual to above HD gravity is
calculated from gravitational energy-momentum tensor. The calculation of AdS
black hole mass in HD gravity is presented within above prescrition. The
comparison with the standard prescription (using reference spacetime) is done.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 03:50:20 GMT""}]","2009-09-17"
"hep-th/9911153","Pei-Ming Ho","Chong-Sun Chu, Pei-Ming Ho and Miao Li","Matrix Theory in a Constant C Field Background","harvmac, 17 pages, references added","Nucl.Phys. B574 (2000) 275-287","10.1016/S0550-3213(00)00048-1","NEIP-99-017","hep-th",,"  D0-branes moving in a constant antisymmetric C field are found to be
described by quantum mechanics of the supersymmetric matrix model with a
similarity transformation. Sometimes this similarity transformation is singular
or ill-defined and cannot be ignored. As an example, when there are
non-vanishing C_{-ij} components, we obtain the theory for Dp-branes which is
effectively the noncommutative super Yang-Mills theory. We also briefly discuss
the effects of other non-vanishing components such as C_{+ij} and C_{ijk}.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 09:01:07 GMT""},{""version"":""v2"",""created"":""Sat, 4 Dec 1999 16:27:18 GMT""}]","2009-10-31"
"math-ph/9911025","Jakob Yngvason","Bernhard Baumgartner, Jan Philip Solovej, Jakob Yngvason","Atoms in strong magnetic fields: The high field limit at fixed nuclear
  charge",,,"10.1007/s002200000239",,"math-ph math.MP",,"  Let E(B,Z,N) denote the ground state energy of an atom with N electrons and
nuclear charge Z in a homogeneous magnetic field B. We study the asymptotics of
E(B,Z,N) as $B\to \infty$ with N and Z fixed but arbitrary. It is shown that
the leading term has the form $(\ln B)^2 e(Z,N)$, where e(Z,N) is the ground
state energy of a system of N {\em bosons} with delta interactions in {\em one}
dimension. This extends and refines previously known results for N=1 on the one
hand, and $N,Z\to\infty$ with $B/Z^3\to\infty$ on the other hand.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 15:52:17 GMT""}]","2009-10-31"
"math-ph/9911026","Jakob Yngvason","Elliott H. Lieb, Robert Seiringer and Jakob Yngvason","The Ground State Energy and density of Interacting Bosons in a Trap","For the Proceedings of `Quantum Theory and Symmetries' (Goslar, 18-22
  July 1999) (World Scientific, 2000), edited by H.-D. Doebner, V.K. Dobrev,
  J.-D. Hennig and W. Luecke",,,,"math-ph cond-mat math.MP",,"  In the theoretical description of recent experiments with dilute Bose gases
confined in external potentials the Gross-Pitaevskii equation plays an
important role. Its status as an approximation for the quantum mechanical
many-body ground state problem has recently been rigorously clarified. A
summary of this work is presented here.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 15:58:01 GMT""}]","2007-05-23"
"math/9911142","Alejandro Varela","E. Andruchow, G. Corach and D. Stojanoff","Projective spaces of a C*-algebra","26 pages, Latex",,,"PEAMICI 5-99","math.OA",,"  Based on the projective matrix spaces studied by B. Schwarz and A. Zaks, we
study the notion of projective space associated to a C*-algebra A with a fixed
projection p. The resulting space P(p) admits a rich geometrical structure as a
holomorphic manifold and a homogeneous reductive space of the invertible group
of A. Moreover, several metrics (chordal, spherical, pseudo-chordal,
non-Euclidean - in Schwarz-Zaks terminology) are considered, allowing a
comparison among P(p), the Grassmann manifold of A and the space of positive
elements which are unitary with respect to the bilinear form induced by the
reflection e = 2p-1. Among several metrical results, we prove that geodesics
are unique and of minimal length when measured with the spherical and
non-Euclidean metrics.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 18:04:01 GMT""}]","2007-05-23"
"math/9911143","Inhyeop Yi","Inhyeop Yi","Canonical symbolic dynamics for one-dimensional generalized solenoids",,,,,"math.DS",,"  We define canonical subshift of finite type cover for Williams' 1-dimensional
generalized solenoids, and use resulting invariants to distinguish some closely
related solenoids.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 20:56:48 GMT""}]","2007-05-23"
"math/9911144","Nigel Kalton","N.J. Kalton","On subspaces of c_0 and extension of operators into C(K)-spaces","18 pages",,,,"math.FA",,"  Johnson and Zippin recently showed that if $X$ is a weak^*-closed subspace of
$\ell_1$ and T:X-> C(K) is any bounded operator then T can extended to a
bounded operator $\tilde T:\ell_1\to C(K).$ We give a converse result: if X is
a subspace of $\ell_1$ so that $\ell_1/X$ has a (UFDD) and every operator T:X
-> C(K) can be extended to $\ell_1$ then there is an automorphism $\tau$ of
$\ell_1$ so that $\tau(X)$ is weak^*-closed. This result is proved by studying
subspaces of c_0 and several different characterizations of such subspaces are
given.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 21:19:16 GMT""}]","2007-05-23"
"math/9911145","Alejandro Varela","G. Corach (IAM, Argentina), A. Maestripieri (ICI-UNGS, Argentina) and
  D. Stojanoff (UNLP, Argentina)","Polar decomposition under perturbations of the scalar product","10 pages, Latex",,,"PEAMICI 6-99","math.OA",,"  Let A be a unital C* algebra with involution * represented in a Hilbert space
H, G the group of invertible elements of A, U the unitary group of A, G^s the
set of invertible selfadjoint elements of A, Q={e in G : e^2 = 1} the space of
reflections and P = Q\cap U. For any positive a in G consider the a-unitary
group U_a={g in G : a^{-1} g^* a = g^{-1}}, i.e. the elements which are unitary
with respect to the scalar product <\xi,\eta>_a = <a \xi,\eta> for \xi, \eta in
H. If \pi denotes the map that assigns to each invertible element its unitary
part in the polar decomposition, we show that the restriction \pi|_{U_a}: U_a
\to U is a diffeomorphism, that \pi(U_a \cap Q) = P and that \pi(U_a\cap G^s) =
U_a\cap G^s = {u in G: u=u^*=u^{-1} and au = ua}.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 23:35:10 GMT""}]","2007-05-23"
"math/9911146","Paul Norbury","Paul Norbury","Asymptotic values of hyperbolic monopoles","11 pages",,,,"math.DG math-ph math.MP",,"  We show that many hyperbolic monopoles can be distinguished from each other
via their asymptotic values in contrast to the case of Euclidean monopoles.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 03:39:58 GMT""}]","2007-05-23"
"math/9911147","Denis V. Juriev","Denis V. Juriev","Tactical games & behavioral self-organization","AMSTEX, 17 pages",,,,"math.GM",,"  The interactive game theoretical approach to tactics and behavioral
self-organization is developed. Though it uses the interactive game theoretical
formalization of dialogues as psycholinguistic phenomena, the crucial role is
played by the essentially new concept of a tactical game. Applications to the
perception processes and related subjects (memory, recollection, image
understanding, imagination) are discussed together with relations to the
computer vision and pattern recognition (the dynamical formation of patterns
and perception models during perception as a result of its self-organization)
and computer games (modelling of the tactical behavior and self-organization,
tactical RPG and elaboration of new tactical game techniques). The appendix is
devoted to the operative computer games and the user programming of operative
units in a multi-user online operative computer game.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 11:03:56 GMT""}]","2007-05-23"
"math/9911148","Karl-Henning Rehren","K.-H. Rehren (Univ. Goettingen)","New subfactors associated with closed systems of sectors","8 pages, contribution to workshop ""Advances in Operator Algebras"",
  RIMS, Kyoto, Sep. 1999","in: Progress in Operator Algebras, Kyoto 1999 Proceedings, RIMS
  Kokyuroku 1131 (2000) 32-39.",,,"math.OA math-ph math.MP",,"  A theorem is derived which (i) provides a new class of subfactors which may
be interpreted as generalized asymptotic subfactors, and which (ii) ensures the
existence of two-dimensional local quantum field theories associated with
certain modular invariant matrices.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 13:06:06 GMT""}]","2007-05-23"
"math/9911149","Karl-Henning Rehren","K.-H. Rehren (Univ. Goettingen)","Canonical tensor product subfactors","14 pages; references added and minor improvements","Commun.Math.Phys.211:395-406,2000","10.1007/s002200050818",,"math.OA hep-th math-ph math.MP",,"  Canonical tensor product subfactors (CTPS's) describe, among other things,
the embedding of chiral observables in two-dimensional conformal quantum field
theories. A new class of CTPS's is constructed some of which are associated
with certain modular invariants, thereby establishing the expected existence of
the corresponding two-dimensional theories.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 13:13:19 GMT""},{""version"":""v2"",""created"":""Fri, 3 Dec 1999 09:03:07 GMT""}]","2008-11-26"
"math/9911253","Robion Kirby","Robion Kirby, Paul Melvin","The E_8-manifold, singular fibers and handlebody decompositions","26 pages. Published copy, also available at
  http://www.maths.warwick.ac.uk/gt/GTMon2/paper13.abs.html","Geom. Topol. Monogr. 2 (1999), 233-258",,"G&T migration mon2-13","math.GT",,"  The E_8-manifold has several natural framed link descriptions, and we give an
efficient method (via `grapes') for showing that they are indeed the same
4-manifold. This leads to explicit handle pictures for the perturbation of
singular fibers in an elliptic surface to a collection of fishtails. In the
same vein, we show how the degeneration of a regular fiber to a singular fiber
in an elliptic surface provides rich examples of Gromov's compactness theorem.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 00:00:00 GMT""}]","2016-09-07"
"nucl-th/9911064","J. Raufeisen","J. Huefner, Yu.P. Ivanov, B.Z. Kopeliovich, J. Raufeisen","Prompt Contributions to the Dilepton Yield in Heavy Ion Collisions","10 pages, 4 figures, using epsfig, minor changes, results unchanged","Eur.Phys.J. A7 (2000) 391-396","10.1007/s100500050407",,"nucl-th hep-ph",,"  The mass spectrum is calculated for those dileptons which are produced in the
early phase of a heavy ion collisions via the direct production NN ->
(l^+)(l^-)X and via the Compton process GN -> (l^+)(l^-)X with prompt gluons
radiated in preceding NN interactions. Both mechanisms produce a mass spectrum
which decreases steeply with invariant mass of the l^+l^- pair and which is
below the CERES data for Pb-Au collisions by about one order of magnitude.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 17:56:55 GMT""},{""version"":""v2"",""created"":""Tue, 22 Feb 2000 12:51:38 GMT""}]","2009-10-31"
"nucl-th/9911065","Dinghui Lu","D.H. Lu, S.N. Yang (Taiwan Univ), A.W. Thomas (Adelaide Univ)","Scaling law for the electromagnetic form factors of the proton","8 pages, REVTeX, 2 figures included","J.Phys.G26:L75-L80,2000","10.1088/0954-3899/26/6/101","ADP-99-36/T373","nucl-th",,"  The violation of the scaling law for the electric and magnetic form factors
of the proton are examined within the cloudy bag model. The suppression of the
ratio of the electric and magnetic form factors is natural in the bag model.
The pion cloud plays a moderate role in understanding the recent data from
TJNAF.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 15:12:55 GMT""}]","2010-02-17"
"patt-sol/9911006","Alan R. Champneys","Alan Champneys (University of Bristol) Yuri S. Kivshar (Australian
  National University)","Origin of Multikinks in Dispersive Nonlinear Systems","4 pages 5 figures. To appear in Phys Rev E",,"10.1103/PhysRevE.61.2551",,"patt-sol nlin.PS",,"  We develop {\em the first analytical theory of multikinks} for strongly {\em
dispersive nonlinear systems}, considering the examples of the weakly discrete
sine-Gordon model and the generalized Frenkel-Kontorova model with a piecewise
parabolic potential. We reveal that there are no $2\pi$-kinks for this model,
but there exist {\em discrete sets} of $2\pi N$-kinks for all N>1. We also show
their bifurcation structure in driven damped systems.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 14:12:59 GMT""}]","2009-10-31"
"physics/9911042","Andres Aguado","Andres Aguado, Jose M. Lopez, Julio A. Alonso, and M. J. Stott","Melting in large sodium clusters: An orbital-free molecular dynamics
  study","LaTeX file. 7 pages with 9 pictures. In the revised version, the
  discussion of melting of amorphous clusters is removed, and that of melting
  of icosahedral clusters is extended",,,,"physics.atm-clus cond-mat",,"  The melting-like transition in sodium clusters Na_N, with N=55, 92, and 142
is studied by using constant-energy molecular dynamics simulations. An
orbital-free version of the Car-Parrinello technique is used which scales
linearly with system size allowing investigation of the thermal behaviour of
large clusters. The ground state isomer of Na_142 (an uncomplete three-shell
icosahedron) melts in two steps: the first one (at approx. 240 K) is
characterized by the high mobility of the atoms located on the cluster surface;
the second, homogeneous melting (at approx. 270 K), involves diffusive motion
of all the atoms across the cluster. For the case of Na_92, the icosahedral
structure has a larger number of surface vacancies, and melts in two well
separated steps, surface melting at approx. 130 K and homogeneous melting at
approx. 240 K. Na_55, a complete two-shell icosahedron, melts in a single stage
at approx. 190 K. Our results on homogeneous melting for Na_142 and Na_92 are
in excellent agreement with recent experimental determinations of melting
temperatures and latent heats. However, the experimentally observed enhancement
of the melting temperature around N=55 is not reproduced by the calculations.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 20:18:43 GMT""},{""version"":""v2"",""created"":""Sat, 6 May 2000 07:22:12 GMT""}]","2007-05-23"
"physics/9911043","Alan R. Champneys","Alan R Champneys (University of Bristol) Boris A Malomed (Tel Aviv
  Univerisity)","Moving Embedded Solitons","9 pages 2 figures",,,,"physics.optics nlin.PS",,"  The first theoretical results are reported predicting {\em moving} solitons
residing inside ({\it embedded} into) the continuous spectrum of radiation
modes. The model taken is a Bragg-grating medium with Kerr nonlinearity and
additional second-derivative (wave) terms. The moving embedded solitons (ESs)
are doubly isolated (of codimension 2), but, nevertheless, structurally stable.
Like quiescent ESs, moving ESs are argued to be stable to linear approximation,
and {\it semi}-stable nonlinearly. Estimates show that moving ESs may be
experimentally observed as $\sim$10 fs pulses with velocity $\leq 1/10$th that
of light.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 12:10:02 GMT""}]","2007-05-23"
