"adap-org/9911003","Liane Gabora","L. Gabora","Amplifying Phenomenal Information: Toward a Fundamental Theory of
  Consciousness","26 pages, 12 figures","Journal of Consciousness Studies 9(8):3-29 (2002)",,,"adap-org nlin.AO",,"  Fundamental approaches bypass the problem of getting consciousness from
non-conscious components by positing that consciousness is a universal
primitive. For example, the double aspect theory of information holds that
information has a phenomenal aspect. How then do you get from phenomenal
information to human consciousness? This paper proposes that an entity is
conscious to the extent it amplifies information, first by trapping and
integrating it through closure, and second by maintaining dynamics at the edge
of chaos through simultaneous processes of divergence and convergence. The
origin of life through autocatalytic closure, and the origin of an
interconnected worldview through conceptual closure, induced phase transitions
in the degree to which information, and thus consciousness, is locally
amplified. Divergence and convergence of cognitive information may involve
phenomena observed in light e.g. focusing, interference, and resonance. By
making information flow inward-biased, closure shields us from external
consciousness; thus the paucity of consciousness may be an illusion.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 23:59:19 GMT""},{""version"":""v2"",""created"":""Wed, 30 Oct 2002 12:47:05 GMT""}]","2007-05-23"
"cs/9911004","Wolfgang Slany","Wolfgang Slany","Graph Ramsey games","47 pages; To actually play small but nontrivial game instances, go to
  http://www.dbai.tuwien.ac.at/proj/ramsey/",,,"DBAI-TR-99-34","cs.CC cs.DM math.CO",,"  We consider combinatorial avoidance and achievement games based on graph
Ramsey theory: The players take turns in coloring still uncolored edges of a
graph G, each player being assigned a distinct color, choosing one edge per
move. In avoidance games, completing a monochromatic subgraph isomorphic to
another graph A leads to immediate defeat or is forbidden and the first player
that cannot move loses. In the avoidance+ variants, both players are free to
choose more than one edge per move. In achievement games, the first player that
completes a monochromatic subgraph isomorphic to A wins. Erdos & Selfridge
(1973) were the first to identify some tractable subcases of these games,
followed by a large number of further studies. We complete these investigations
by settling the complexity of all unrestricted cases: We prove that general
graph Ramsey avoidance, avoidance+, and achievement games and several variants
thereof are PSPACE-complete. We ultra-strongly solve some nontrivial instances
of graph Ramsey avoidance games that are based on symmetric binary Ramsey
numbers and provide strong evidence that all other cases based on symmetric
binary Ramsey numbers are effectively intractable.
  Keywords: combinatorial games, graph Ramsey theory, Ramsey game,
PSPACE-completeness, complexity, edge coloring, winning strategy, achievement
game, avoidance game, the game of Sim, Polya's enumeration formula,
probabilistic counting, machine learning, heuristics, Java applet
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 11:28:11 GMT""}]","2007-05-23"
"gr-qc/9911033","Luis Lehner","Luis Lehner","Matching characteristic codes: exploiting two directions","10 pages, 9 postscript figures. To appear in Int. Journ. of Mod.
  Phys. D","Int.J.Mod.Phys.D9:459-474,2000","10.1142/S0218271800000451",,"gr-qc",,"  Combining incoming and outgoing characteristic formulations can provide
numerical relativists with a natural implementation of Einstein's equations
that better exploits the causal properties of the spacetime and gives access to
both null infinity and the interior region simultaneously (assuming the
foliation is free of caustics and crossovers). We discuss how this combination
can be performed and illustrate its behavior in the Einstein-Klein-Gordon field
in 1D.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 17:58:27 GMT""}]","2014-11-17"
"gr-qc/9911034","Bernard F. Schutz","Bernard F Schutz","Gravitational wave astronomy","29 pages, 2 figures, as submitted for special millenium issue of
  Classical and Quantum Gravity","Class.Quant.Grav.16:A131-A156,1999","10.1088/0264-9381/16/12A/307","AEI-1999-34","gr-qc",,"  The first decade of the new millenium should see the first direct detections
of gravitational waves. This will be a milestone for fundamental physics and it
will open the new observational science of gravitational wave astronomy. But
gravitational waves already play an important role in the modeling of
astrophysical systems. I review here the present state of gravitational
radiation theory in relativity and astrophysics, and I then look at the
development of detector sensitivity over the next decade, both on the ground
(such as LIGO) and in space (LISA). I review the sources of gravitational waves
that are likely to play an important role in observations by first- and
second-generation interferometers, including the astrophysical information that
will come from these observations. The review covers some 10 decades of
gravitational wave frequency, from the high-frequency normal modes of neutron
stars down to the lowest frequencies observable from space. The discussion of
sources includes recent developments regarding binary black holes, spinning
neutron stars, and the stochastic background.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 19:32:52 GMT""}]","2010-04-06"
"gr-qc/9911035","G. R. Filewood","G Filewood","The Principle of Equivalence and Electromagnetism","39 page revtex document. No figures. Revised version with corrected
  equations for the uncertainty principle (previous expressions on page 24
  completely wrong)",,,,"gr-qc",,"  The problem of unification of Gravitation and Electromagnetism in four
dimensions; some new ideas involving mixtures of commuting and anti-commuting
co-ordinates. Maxwell's equations are extracted in terms of the curvature of
the anti-commuting component of space-time. The profound difference in the size
of the coupling constants of the two forces is interpreted in terms of the
degree of expansion of the two kinds of space-time with evolution of the
universe. Uncertainty in the quantum realm is interpreted in terms of an
unmeasurable component of anti-commuting space-time.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 04:31:36 GMT""},{""version"":""v2"",""created"":""Mon, 15 Nov 1999 11:24:04 GMT""},{""version"":""v3"",""created"":""Mon, 22 Nov 1999 06:07:27 GMT""}]","2007-05-23"
"gr-qc/9911036","Stanislav Alexeyev","S.O. Alexeyev, M.V. Sazhin and M.V. Pomazanov (Moscow State
  University)","Black Holes of a Minimal Size in String Gravity","6 LaTeX pages, 1 PostScript figure (epsfig.sty), minor changes in the
  text and references, submitted to Int.J.Mod.Phys","Int.J.Mod.Phys. D10 (2001) 225-230","10.1142/S0218271801000780",,"gr-qc",,"  A lower limit for a neutral black hole size is obtained in the frames of the
string gravity model with the second order curvature correction. It is shown
that this effect remains when the third order curvature correction is also
taken into account and argued that such restriction does exist in all
perturbative orders of curvature expansions.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 07:35:15 GMT""},{""version"":""v2"",""created"":""Tue, 30 Nov 1999 06:46:45 GMT""}]","2009-10-31"
"gr-qc/9911037","Plamen Fiziev","P. P. Fiziev","A Minimal Model for Dilatonic Gravity","10 pages, LaTeX, no figures. A new Appendex added, new references,
  comments and acknowledgments added, typos corrected. Final version: to appear
  in Modern Physics Letters A",,"10.1142/S0217732300002553","SU-FzF: 4/99","gr-qc astro-ph hep-ph hep-th",,"  We study a new minimal scalar-tensor model of gravity with Brans-Dicke factor
$\omega(\Phi)\equiv 0$ and cosmological factor $\Pi(\Phi)$. The constraints on
$\Pi(\Phi)$ from known gravitational experiments are derived. We show that
almost any time evolution of the scale factor in a homogeneous isotropic
Universe can be obtained via properly chosen $\Pi(\Phi)$ and discuss the
general properties of models of this type.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 07:40:10 GMT""},{""version"":""v2"",""created"":""Thu, 13 Jan 2000 12:58:54 GMT""},{""version"":""v3"",""created"":""Sat, 2 Dec 2000 15:50:59 GMT""}]","2009-10-31"
"gr-qc/9911038","Diego F. Torres","Franz E. Schunck and Diego F. Torres","Boson stars with generic self-interactions","Revtex, 11 figures","Int.J.Mod.Phys. D9 (2000) 601-618","10.1142/S0218271800000608",,"gr-qc",,"  We study boson star configurations with generic, but not non-topological,
self-interaction terms, i.e. we do not restrict ourselves just to consider the
standard $\lambda |\psi|^4$ interaction but more general
U(1)-symmetry-preserving profiles. We find that when compared with the usual
potential, similar results for masses and number of particles appear. However,
changes are of order of few percent of the star masses. We explore the
stability properties of the configurations, that we analyze using catastrophe
theory. We also study possible observational outputs: gravitational redshifts,
rotation curves of accreted particles, and lensing phenomena, and compare with
the usual case.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 13:26:21 GMT""}]","2009-10-31"
"gr-qc/9911039","Toporenskij A. V.","S.A.Pavluchenko and A.V.Toporensky","Chaos in FRW cosmology with gently sloping scalar field potentials","13 pages with 5 eps figures","Grav.Cosmol. 6 (2000) 241-245",,,"gr-qc",,"  The chaotic behavior in FRW cosmology with a scalar field is studied for
scalar field potentials less steep than quadratic. We describe a transition to
much stronger chaos for appropriate parameters of such potentials. The range of
parameters which allows this transition is specified. The influence of ordinary
matter on the chaotic properties of this model is also discussed.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 14:52:36 GMT""}]","2007-05-23"
"hep-ex/9911011","J. William GARY","J. William Gary","Determination of the QCD color factor ratio CA/CF from the scale
  dependence of multiplicity in three jet events","20 pages including 6 figures Version 2 corrects typographical error
  in equation (2)","Phys.Rev. D61 (2000) 114007","10.1103/PhysRevD.61.114007","UCRHEP-E265","hep-ex",,"  I examine the determination of the QCD color factor ratio CA/CF from the
scale evolution of particle multiplicity in e+e- three jet events. I fit an
analytic expression for the multiplicity in three jet events to event samples
generated with QCD multihadronic event generators. I demonstrate that a one
parameter fit of CA/CF yields the expected result CA/CF=2.25 in the limit of
asymptotically large energies if energy conservation is included in the
calculation. In contrast, a two parameter fit of CA/CF and a constant offset to
the gluon jet multiplicity, proposed in a recent study, does not yield
CA/CF=2.25 in this limit. I apply the one parameter fit method to recently
published data of the DELPHI experiment at LEP and determine the effective
value of CA/CF from this technique, at the finite energy of the Z0 boson, to be
1.74+-0.03+-0.10, where the first uncertainty is statistical and the second is
systematic.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 17:35:59 GMT""},{""version"":""v2"",""created"":""Sun, 14 Nov 1999 22:03:08 GMT""}]","2009-10-31"
"hep-lat/9911011","Chris Maynard","UKQCD Collaboration, K.C. Bowler, L. Del Debbio, J.M. Flynn, L.
  Lellouch, V. Lesk, C.M. Maynard, J. Nieves, D.G. Richards","Improved B -> pi l nu_l form factors from the lattice","8 Pages, 4 colour figures, Accepted for Publication in Phys.Lett.B.
  Typset in REVTeX 3.1 added figure and table with minor text modification","Phys.Lett.B486:111-117,2000","10.1016/S0370-2693(00)00754-1","Edinburgh-1999/10, HEP-99/12, CERN/TH-99-265, CPT-99/P.3885
  LAPTH-757/99, JLAB-THY-99-25","hep-lat hep-ph",,"  We present the results of a lattice computation of the form factors for B^0
->pi^- l^+nu_l decays near zero-recoil. These results will allow a
determination of the CKM matrix element |Vub| when measurements of the
differential decay rate become available. We also provide models for
extrapolation of the form factors and rate to the full recoil range. Our
computation is performed in the quenched approximation to QCD on a 24^3x48
lattice at beta=6.2, using a non-perturbatively O(a)-improved action. The
masses of all light valence quarks involved are extrapolated to their physical
values.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 16:02:29 GMT""},{""version"":""v2"",""created"":""Wed, 10 Nov 1999 09:30:40 GMT""},{""version"":""v3"",""created"":""Wed, 21 Jun 2000 11:25:34 GMT""}]","2014-11-17"
"hep-ph/9911284","Levan Baboukhadia","L. Babukhadia, Ya. A. Berdnikov, A. N. Ivanov, and M. D. Scadron","Chiral Shielding","Accepted for publication in Physical Review D. LaTeX2e, 14 pages, 4
  figures","Phys.Rev.D62:037901,2000","10.1103/PhysRevD.62.037901",,"hep-ph",,"  We demonstrate how a chiral soft pion theorem (SPT) shields the scalar meson
ground state isoscalar $\sigma(600-700)$ and isospinor $\kappa(800-900)$ from
detection in $a_{1}\to\pi(\pi\pi)_{\mathrm{swave}}$,
$\gamma\gamma\to2\pi^{\circ}$, $\pi^{-}p\to\pi^{-}\pi^{+}n$ and $K^{-}p\to
K^{-}\pi^{+}n$ processes. While pseudoscalar meson PVV transitions are known to
be determined by (only) quark loop diagrams, the above SPT also constrains
scalar meson SVV transitions to be governed (only) by meson loop diagrams. We
apply this latter SVV theorem to $a_{0}\to\gamma\gamma$ and
$f_{0}\to\gamma\gamma$ decays.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 16:58:35 GMT""},{""version"":""v2"",""created"":""Mon, 24 Jan 2000 21:09:30 GMT""},{""version"":""v3"",""created"":""Tue, 11 Apr 2000 22:45:39 GMT""}]","2010-11-15"
"hep-ph/9911287","Eugenio Marco Rubio","E. Marco and W. Weise","QCD spectral sum rules and spontaneously broken chiral symmetry","9 pages, 2 figures","Phys.Lett. B482 (2000) 87-92","10.1016/S0370-2693(00)00536-0","TUM/T39-99-24","hep-ph",,"  The gap Delta = 4 pi f_pi ~ 1.2 GeV of spontaneous chiral symmetry breaking
is introduced as a scale delineating resonance and continuum regions in the QCD
spectral sum rules for vector mesons. Basic current algebra results are easily
recovered, and accurate sum rules for the lower moments of the spectral
distributions are derived. The in-medium scaling of vector meson masses finds a
straightforward interpretation, at least in the narrow width limit.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 17:42:02 GMT""}]","2009-10-31"
"hep-ph/9911288","Robert M. Harris","Robert M. Harris, Christopher T. Hill, and Stephen J. Parke","Cross Section for Topcolor Z' decaying to top-antitop","20 pages in a latex file including 2 tables and 7 figures in
  encapsulated postscript",,,"Fermilab-FN-687","hep-ph hep-ex",,"  We present a calculation of the cross section for the process p pbar -> Zt'
-> t tbar, the production of a Topcolor Z' with subsequent decay to top quark
pairs in proton anti-proton collisions at 1.8 TeV. Variations of the cross
section with varying assumptions about the model, the resonance width, the
parton distributions and the renormalization scale are presented.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 21:37:46 GMT""}]","2007-05-23"
"hep-ph/9911289","Anne Ruth Billups","A.H. Mueller","Small-x Physics, High Parton Densities and Parton Saturation in QCD","33 pages 15 figures",,,"CU-TP-954","hep-ph",,"  Partons are defined as the quanta in a Fock space description of a hadron.
Gluon saturation is described in the Weizs\""{a}cker-Williams approximation for
a large nucleus. The elements of DGLAP and BFKL evolution are given with the
BFKL equation derived in a large-$N_c$ dipole formalism. A more general
discussion of saturation is given in terms of a dipole scattering on a nucleon
or nucleus. Possible evidence for saturation at HERA is discussed.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 21:53:33 GMT""}]","2007-05-23"
"hep-ph/9911290","Diosi Lajos","L. Di\'osi, S. Krasznovszky and I. Wagner","KNO Scaling in the Neutral Pion Multiplicity Distributions for
  pi^{-}-proton interactions at 40 and 250 GeV/c","8pp LaTeX, 1 Postscript Figure","Phys.Lett. B454 (1999) 381-385","10.1016/S0370-2693(99)00388-3",,"hep-ph",,"  We analysed the binomial multiplicity moments of the neutral pions, using an
extension of the generating functional technique for detection losses. We
applied this model-independent method to the individual gamma-weights of 10000
events of pi^{-}-proton interactions at 40 GeV/c. We compared the obtained
results to those of 250 GeV/c. We used the FRITIOF and a shifted KW
distribution to describe the data.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 23:00:13 GMT""}]","2009-10-31"
"hep-ph/9911291","Yu. A. Simonov","A.B.Kaidalov and Yu.A.Simonov (ITEP, Moscow)","Glueball spectrum and the Pomeron in the Wilson loop approach","LaTeX2e, 49 pages, 2 figures","Phys.Atom.Nucl.63:1428-1447,2000; Yad.Fiz.63:1428-1447,2000","10.1134/1.1307465",,"hep-ph",,"  Using a nonperturbative method based on asymptotic behaviour of Wilson loops
we calculate masses of glueballs and corresponding Regge-trajectories. The only
input is string tension fixed by meson Regge slope, while perturbative
contributions to spin splittings are defined by standard alpha_s values. The
masses of lowest glueball states are in a perfect agreement with lattice
results. The leading glueball trajectory which is associated with Pomeron is
discussed in details and its mixing with f and f' trajectories is taken into
account.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 22:27:27 GMT""}]","2014-11-17"
"hep-ph/9911292","Thais Lungov","O. J. P. Eboli and T. L. Lungov","Single Production of Leptoquarks at the Tevatron","18pages, 9 figures","Phys.Rev. D61 (2000) 075015","10.1103/PhysRevD.61.075015",,"hep-ph hep-ex",,"  We study the single production of first generation leptoquarks in association
with a e+/- at the Fermilab Tevatron. We focus our attention on final states
exhibiting a e+e- pair and jets, and perform a detailed analyses of signal and
backgrounds. The single leptoquark production cross section depends on the
leptoquark Yukawa coupling to lepton-quark pairs and we show that the study of
this mode can extend considerably the leptoquark search for a large range of
these couplings. In fact, for Yukawa couplings of the electromagnetic strength,
the combined results of the Tevatron experiments can exclude the existence of
leptoquarks with masses up to 260--285 (370--425)
  GeV at the RUN I (RUN II), depending on their type.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 22:54:24 GMT""}]","2016-09-06"
"hep-ph/9911294","Alex Pomarol","Alex Pomarol","Gauge bosons in a five-dimensional theory with localized gravity","10 pages, Latex","Phys.Lett. B486 (2000) 153-157","10.1016/S0370-2693(00)00737-1",,"hep-ph hep-th",,"  We consider the possibility of gauge bosons living in the recently proposed
five-dimensional theory with localized gravity. We study the mass spectrum of
the Kaluza-Klein (KK) excitations of the gauge fields and calculate their
couplings to the boundaries of the fifth dimension. We find a different
behaviour from the case of the graviton. In particular, we find that the
massless mode is not localized in the extra dimension and that the KK
excitations have sizeable couplings to the two boundaries. We also discuss
possible phenomenological implications for the case of the standard model gauge
bosons.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 00:06:26 GMT""}]","2009-10-31"
"hep-ph/9911295","Per Osland","P. Osland (Bergen) and P. N. Pandita (Shillong)","Multiple Higgs Production and Measurement of Higgs Trilinear Couplings
  in the MSSM","2+12 pages, LaTeX, including figures, uses epsf. To appear in the
  Proceedings of ""XIVth International Workshop: High Energy Physics and Quantum
  Field Theory (QFTHEP99)"", Moscow, Russia, 27 May - 2 June 1999",,,"Bergen 1999-09","hep-ph",,"  An elementary Higgs boson, which is the remnant of the spontaneous symmetry
breaking mechanism in the Standard Model, remains one of the most elusive
particles. If a Higgs boson candidate is found at future accelerators, it
becomes necessary to determine its properties, beyond the mass, production
cross section and decay rates. The other crucial properties relate to the
self-couplings of the Higgs boson, which are necessary to reconstruct the Higgs
potential, and thereby confirm the mechanism of spontaneous symmetry breaking.
In this paper we review the question of the measurability of some of the
trilinear couplings of the neutral Higgs bosons of the Minimal Supersymmetric
Standard Model at a high-energy e+e- collider.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 11:57:52 GMT""}]","2007-05-23"
"hep-ph/9911296","Mark Alexander Jack","M. Jack (DESY Zeuthen, Germany)","QED radiative corrections to e+e- --> f+f- with realistic cuts at LEP
  energies and beyond","7 pages (Latex), 6 figures (Postscript), 2 tables, uses
  sprocl_mod.sty",,,"DESY 99-166","hep-ph",,"  After 10 years of steadily increasing the experimental precision at LEP/SLC,
there is a strong demand on an update of existing programs for fermion pair
production. We present a rederivation of the O(alpha) Bremsstrahlung
corrections to e+e- --> f+f- for the semi-analytic program ZFITTER. We focus on
observables like total cross section and forward-backward asymmetry in the
leptonic case with combined cuts on acollinearity angle, acceptance angle, and
minimal energy of the fermions. The outcome of our analysis is a shift of the
predictions by ZFITTER at LEP 1 energies off-resonance of a few per mil while
at the Z resonance numerical changes can be neglected. Thus we obtain for cross
sections and asymmetries at LEP 1 a level of agreement with other programs of
better than per mil, like for the kinematically simpler s' cut option. A
preliminary analysis of ZFITTER, TOPAZ0, and other codes at LEP 2 energies
showing deviations of several per cent with acollinearity cuts enforce a future
examination of higher order effects with different cuts. The predictions by
LEP/SLC data, however, are not affected within the experimental errors.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 10:14:06 GMT""}]","2007-05-23"
"hep-ph/9911297",,"J.A. Oller, E. Oset and J. R. Pelaez","The phi to pi+ pi- decay within a chiral unitary approach","Discussion extended to consider different scenarios of the phi-omega
  mixing that contribute differently to the final result. Extended discussion
  on OZI rule violation. To appear in Phys. Rev. D","Phys.Rev. D62 (2000) 114017","10.1103/PhysRevD.62.114017",,"hep-ph nucl-th",,"  Starting from the Chiral Perturbation Theory Lagrangian, but keeping
different masses for the charged and neutral mesons, and using a previously
developed non-perturbative unitary scheme that generates the lightest
meson-meson resonances, we construct K Kbar to K Kbar and K Kbar to pi+ pi- in
the vector channel. This allows us to obtain the kaon-loop contribution to the
phi-rho mixing and study the phi to pi+pi- decay. The dominant contribution to
this decay comes from the phi to gamma to pi+pi- process. However, there can be
large interferences with the subdominant contributions coming from phi-rho and
phi-omega mixing, or of these two contributions among themselves. As a
consequence, a reliable measurement of phi to pi+pi- decay could be used to
differentiate between some phi-omega mixing scenarios proposed in the
literature.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 10:01:47 GMT""},{""version"":""v2"",""created"":""Tue, 12 Sep 2000 11:08:23 GMT""}]","2009-10-31"
"hep-ph/9911298","Werner Rodejohann","Marion Flanz, Werner Rodejohann, Kai Zuber (Dortmund University)","Bounds on effective Majorana neutrino masses at HERA","9 pages, 4 figures, revised version","Phys.Lett.B473:324-329,2000; Erratum-ibid.B480:418,2000","10.1016/S0370-2693(99)01483-5","DO-TH 99/20","hep-ph",,"  The lepton-number violating process e p \to nu_e l l' X mediated by Majorana
neutrinos is studied for the HERA collider for (l l') = (e tau), (mu tau), (mu
mu) and (tau tau). Only the muonic decay of the tau is considered. The direct
limit on the effective muon Majorana mass, <m_{mu mu}> is improved
significantly to 4.0 times 10^3 GeV and for the first time direct limits on the
analogous effective masses connected with the tau sector are given, namely 4.2
times 10^3 GeV for <m_{e tau}>, 4.4 times 10^3 GeV for <m_{mu tau}> and 2.0
times 10^4 GeV for <m_{tau tau}>. We find that a more general analysis for an
upgraded HERA could improve this values by a factor of up to 40, yet still
being orders of magnitude worse than indirect limits.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 10:20:17 GMT""},{""version"":""v2"",""created"":""Tue, 7 Mar 2000 16:02:39 GMT""}]","2011-07-19"
"hep-ph/9911299","Yuri Dokshitzer","Yu.L. Dokshitzer","Perturbative QCD and Power Corrections","Invited talk at the International Conference ``Frontiers of Matter'',
  Blois, France, June 1999 10 pages, 9 figures",,,,"hep-ph",,"  A short review is given of the present status of the studies of genuine
confinement effects in multiple hadron production in hard processes
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 11:39:26 GMT""},{""version"":""v2"",""created"":""Fri, 12 Nov 1999 12:38:20 GMT""}]","2007-05-23"
"hep-ph/9911300","Konstantin Zyablyuk","K.Zyablyuk","Dirac operator spectral density and low energy sum rules","8 pages, latex, published version; NLO QCD correction to the Dirac
  operator spectral density is added to the text","JHEP06(2000)025","10.1088/1126-6708/2000/06/025","ITEP-TH-64-99","hep-ph",,"  The spectral density of euclidean Dirac operator is investigated in partially
quenched QCD with arbitrary quark masses. A representation of scalar and
pseudoscalar correlators in terms of the spectral density is discussed. The
spectral density, obtained from the partially quenched chiral perturbation
theory is shown to be compatible with low energy sum rules, obtained earlier.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 11:57:26 GMT""},{""version"":""v2"",""created"":""Fri, 12 Nov 1999 11:31:06 GMT""},{""version"":""v3"",""created"":""Wed, 12 Jul 2000 08:39:01 GMT""}]","2009-10-31"
"hep-ph/9911301","Philip Page","Philip R. Page","(Field) Symmetrization Selection Rules","20 pages, LaTeX. Two postscript figures. Final published version","Phys.Rev. D64 (2001) 056009","10.1103/PhysRevD.64.056009","LA-UR-99-5756","hep-ph hep-th",,"  QCD and QED exhibit an infinite set of three-point Green's functions that
contain only OZI rule violating contributions, and (for QCD) are subleading in
the large N_c expansion. The Green's functions describe the ``decay'' of a
J^{PC}={1,3,5 ...}^{-+} exotic hybrid meson current to two J=0 (hybrid) meson
currents with identical P and C. We prove that the QCD amplitude for a neutral
hybrid {1,3,5 ...}^{-+} exotic current to create eta pi0 only comes from OZI
rule violating contributions under certain conditions, and is subleading in
N_c.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 14:35:23 GMT""},{""version"":""v2"",""created"":""Fri, 12 Nov 1999 20:11:02 GMT""},{""version"":""v3"",""created"":""Thu, 6 Jan 2000 02:31:01 GMT""},{""version"":""v4"",""created"":""Wed, 18 Jul 2001 22:55:13 GMT""}]","2009-10-31"
"hep-ph/9911302",,"G.F. Giudice, A. Riotto, I. Tkachev (CERN)","Thermal and Non-Thermal Production of Gravitinos in the Early Universe","31 pages, 7 Postscript figures. New references added","JHEP 9911 (1999) 036","10.1088/1126-6708/1999/11/036","CERN-TH/99-336","hep-ph astro-ph hep-th",,"  The excessive production of gravitinos in the early universe destroys the
successful predictions of nucleosynthesis. The thermal generation of gravitinos
after inflation leads to the bound on the reheating temperature, T_{RH}< 10^9
GeV. However, it has been recently realized that the non-thermal generation of
gravitinos in the early universe can be extremely efficient and overcome the
thermal production by several orders of magnitude, leading to much tighter
constraints on the reheating temperature. In this paper, we first investigate
some aspects of the thermal production of gravitinos, taking into account that
in fact reheating is not instantaneous and inflation is likely to be followed
by a prolonged stage of coherent oscillations of the inflaton field. We then
proceed by further investigating the non-thermal generation of gravitinos,
providing the necessary tools to study this process in a generic time-dependent
background with any number of superfields. We also present the first numerical
results regarding the non-thermal generation of gravitinos in particular
supersymmetric models.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 15:11:43 GMT""},{""version"":""v2"",""created"":""Fri, 12 Nov 1999 10:11:35 GMT""}]","2009-10-31"
"hep-th/9911055","Jaume Garriga","Jaume Garriga and Takahiro Tanaka","Gravity in the Randall-Sundrum Brane World","8 pages, 1 figure. Replaced with revised version to be published in
  Phys. Rev. Lett. Some comments added","Phys.Rev.Lett.84:2778-2781,2000","10.1103/PhysRevLett.84.2778","UAB-FT-476, OU-TAP-106, NI99022-SFU","hep-th astro-ph gr-qc hep-ph",,"  We discuss the weak gravitational field created by isolated matter sources in
the Randall-Sundrum brane-world. In the case of two branes of opposite tension,
linearized Brans-Dicke (BD) gravity is recovered on either wall, with different
BD parameters. On the wall with positive tension the BD parameter is larger
than 3000 provided that the separation between walls is larger than 4 times the
AdS radius. For the wall of negative tension, the BD parameter is always
negative but greater than -3/2. In either case, shadow matter from the other
wall gravitates upon us. For equal Newtonian mass, light deflection from shadow
matter is 25 % weaker than from ordinary matter. Hence, the effective mass of a
clustered object containing shadow dark matter would be underestimated if
naively measured through its lensing effect. For the case of a single wall of
positive tension, Einstein gravity is recovered on the wall to leading order,
and if the source is stationary the field stays localized near the wall. We
calculate the leading Kaluza-Klein corrections to the linearized gravitational
field of a non-relativistic spherical object and find that the metric is
different from the Schwarzschild solution at large distances. We believe that
our linearized solution corresponds to the field far from the horizon after
gravitational collapse of matter on the brane.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 23:30:08 GMT""},{""version"":""v2"",""created"":""Sat, 13 Nov 1999 18:15:20 GMT""},{""version"":""v3"",""created"":""Fri, 17 Dec 1999 20:52:40 GMT""},{""version"":""v4"",""created"":""Tue, 29 Feb 2000 12:05:10 GMT""}]","2010-02-18"
"hep-th/9911057","Akikazu Hashimoto","Akikazu Hashimoto and N. Itzhaki","On the Hierarchy Between Non-Commutative and Ordinary Supersymmetric
  Yang-Mills","16 pages, 3 figures, references added","JHEP 9912 (1999) 007","10.1088/1126-6708/1999/12/007","NSF-ITP-99-133","hep-th",,"  Non-commutative supersymmetric Yang-Mills with rational Theta is dual to an
ordinary supersymmetric Yang-Mills with a 't Hooft flux. It is believed that
the simplest description is via the ordinary supersymmetric Yang-Mills. We
claim, however, that the two descriptions form a hierarchy. The SYM description
is the proper description in the ultra violet while the non-commutative
description takes over in the infra red.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 19:51:51 GMT""},{""version"":""v2"",""created"":""Wed, 8 Dec 1999 18:10:29 GMT""}]","2009-10-31"
"hep-th/9911058","Robert Paul Thomas Talbot","Robert P. T. Talbot","Pasquier Models at c=1: Cylinder Partition Functions and the role of the
  Affine Coxeter Element","LaTeX, 20 pages. Requires packages: vmargin, theorem, xspace,
  amsmath, amscd, amssymb, array. Requires and includes custom .sty file","J.Phys.A33:9101-9118,2000","10.1088/0305-4470/33/49/306","DTP/99/79","hep-th",,"  We calculate the partition functions of the affine Pasquier models on the
cylinder in the continuum limit. We show that the partition function of any
affine model may be expressed in terms of the orbit structure of the affine
Coxeter element of the Weyl group associated with the defining graph of the
model. Some of the consequences of this geometric relationship are explored.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 20:57:12 GMT""}]","2008-11-26"
