"adap-org/9907004","Klaus Behrndt","Andreas Schaale","A dynamical model of non regulated markets","12 pages LaTeX, 4 ps figures, Contact: Schaale@snafu.de",,,"IfH-DESY Seminar Report 12-22-1998","adap-org nlin.AO",,"  The main focus of this work is to understand the dynamics of non regulated
markets. The present model can describe the dynamics of any market where the
pricing is based on supply and demand. It will be applied here, as an example,
for the German stock market presented by the Deutscher Aktienindex (DAX), which
is a measure for the market status. The duality of the present model consists
of the superposition of the two components - the long and the short term
behaviour of the market. The long term behaviour is characterised by a stable
development which is following a trend for time periods of years or even
decades. This long term growth (or decline) is based on the development of
fundamental market figures. The short term behaviour is described as a
dynamical evaluation (trading) of the market by the participants. The trading
process is described as an exchange between supply and demand. In the framework
of this model there the trading is modelled by a system of nonlinear
differential equations. The model also allows to explain the chaotic behaviour
of the market as well as periods of growth or crashes.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 19:54:35 GMT""}]","2007-05-23"
"hep-ex/9907022","Georg Steinbrueck","D0 Collaboration, B. Abbott, et al","Measurement of the Angular Distribution of Electrons from W to e nu
  Decays Observed in ppbar Collisions at sqrt(s) = 1.8 TeV","Contributed paper to EPS99 and Lepton-Photon99, 15 pages",,,"Fermilab Conf-99/201-E","hep-ex",,"  We present a preliminary measurement of the electron angular distribution
parameter alpha2 in W to e nu events using data collected by the D0 detector
during the 1994--1995 Tevatron run. We compare our results with next-to-leading
order perturbative QCD, which predicts an angular distribution of 1 +/- alpha1
cos theta* +alpha_2 cos^2 theta*, where theta* is the angle between the charged
lepton and the antiproton in the Collins-Soper frame. In the presence of QCD
corrections, the parameters alpha1 and alpha2 become functions of pT(W), the W
boson transverse momentum. We present the first measurement of alpha_2 as a
function of pT(W). This measurement is of importance, because it provides a
test of next-to-leading order QCD corrections which are a non-negligible
contribution to the W mass measurement.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 16:43:20 GMT""}]","2007-05-23"
"hep-ex/9907023","David Waters","ZEUS Collaboration","W Production and the Search for Events with an Isolated High-Energy
  Lepton and Missing Transverse Momentum at HERA","17 pages including 7 figures and 2 tables, final version for
  Phys.Lett","Phys.Lett.B471:411-428,2000","10.1016/S0370-2693(99)01358-1","DESY-99-054","hep-ex",,"  A search for the leptonic decays of W bosons produced in the reaction e^+
p\to e^+ W^\pm X at a centre-of-mass energy of 300 GeV has been performed with
the ZEUS detector at HERA using an integrated luminosity of 47.7 pb^-1 . Three
events consistent with W\to e\nu decay are found, giving a cross section of 0.9
+1.0 -0.7 \pm 0.2 pb, in good agreement with the Standard Model prediction. The
corresponding 95% C.L. upper limit on the cross section is 3.3 pb. A search for
the decay W\to \mu\nu has a smaller selection efficiency and yields no
candidate events. Limits on the cross section for W production with large
hadronic transverse momentum have been obtained. A search for
high-transverse-momentum isolated tracks in events with large missing
transverse momentum yields results in good agreement with Standard Model
expectations, in contrast to a recent report by the H1 collaboration of the
observation of an excess of such events.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 17:03:47 GMT""},{""version"":""v2"",""created"":""Wed, 24 Nov 1999 01:42:50 GMT""}]","2012-08-27"
"hep-ex/9907024","Tommaso Tabarelli de Fatis","M. Aglietta, M. Ambrosio, E. Aprile, G. Bologna, M. Bonesini, G.
  Bencivenni, M. Calvi, A. Castellina, A. Curioni, W. Fulgione, P. L. Ghia, C.
  Gustavino, R. P. Kokoulin, G. Mannocchi, F. Murtas, G. P. Murtas, P. Negri,
  M. Paganoni, L. Periale, A. A. Petrukhin, P. Picchi, A. Pullia, S. Ragazzi,
  N. Redaelli, L. Satta, T. Tabarelli de Fatis, F. Terranova, A. Tonazzo, G.
  Trinchero, P. Vallania, B. Villone","Measurement of neutrino oscillations by means of a high density detector
  on the atmospheric neutrino beam","12 pp., 5 figg., paper contributed to Lepton-Photon 99",,,,"hep-ex",,"  A high-density calorimeter, consisting of magnetized iron planes interleaved
by RPCs, as tracking and timing devices, is a good candidate for a next
generation experiment on atmospheric neutrinos. With 34 kt of mass and in four
years of data taking, this experiment will be sensitive to $\nu_\mu \to \nu_x$
oscillation with $\Delta m^2 > 6 \times 10^{-5}$ and mixing near to maximal and
fully cover the region of oscillation parameters suggested by Super-Kamiokande
results. Moreover, the experimental method will enable to measure the
oscillation parameters from the modulation of the L/E spectrum ($\nu_\mu$
disappearance). For $\Delta m^2 > 3 \times 10^{-3}$ eV$^2$, this experiment can
also establish whether the oscillation occurs into a tau or a sterile neutrino,
by looking for an excess of muon-less events at high energies produced by
upward-going tau neutrinos ($\nu_\tau$ appearance).
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 00:11:54 GMT""}]","2007-05-23"
"hep-ex/9907026","Zurab Silagadze","M.N.Achasov, V.M.Aulchenko, A.V.Berdyugin, A.V.Bozhenok, D.A.Bukin,
  S.V.Burdin, T.V.Dimova, V.P.Druzhinin, M.S.Dubrovin, I.A.Gaponenko,
  V.B.Golubev, V.N.Ivanchenko, I.A.Koop, A.A.Korol, S.V.Koshuba,
  E.V.Pakhtusova, A.A.Salnikov, V.V.Shary, S.I.Serednyakov, Yu.M.Shatunov,
  V.A.Sidorov, Z.K.Silagadze, A.A.Valishev","Investigation of the $e^+e^- \to \omega \pi^0 \to \pi^0 \pi^0 \gamma$
  reaction in the energy domain near the $\phi$-meson","34 pages, 7 figures, LaTeX, uses FEYNMAN package. Erroneously
  reported C_{12} coefficient corrected (an error discovered in
  hep-ph/0603241). in the published version Nucl. Phys. B569(2000), 158 this
  coefficient is reported incorrectly","Nucl.Phys.B569:158-182,2000","10.1016/S0550-3213(99)00482-4",,"hep-ex hep-ph",,"  The $e^+e^- \to \omega \pi^0 \to \pi^0 \pi^0 \gamma$ process was investigated
in the SND experiment at the VEPP-2M collider. A narrow energy interval near
the $\phi$-meson was scanned. The observed cross-section reveals, at the level
of three standard deviation, the interference effect caused by $\phi \to
\pi^0\pi^0\gamma$ decay. The cross-section parameters, as well as the real and
imaginary parts of the $\phi$-meson related amplitude, were measured.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 12:00:18 GMT""},{""version"":""v2"",""created"":""Fri, 3 Mar 2000 09:43:17 GMT""},{""version"":""v3"",""created"":""Mon, 31 Mar 2008 07:00:08 GMT""}]","2009-09-25"
"hep-ex/9907027","John Dainton","C. Adloff, et al. (H1 Collaboration)","Measurements of Transverse Energy Flow in Deep-Inelastic Scattering at
  HERA","26 pages, 8 figures, submitted to Eur. Phys. J","Eur.Phys.J.C12:595-607,2000","10.1007/s100520000287","DESY 99-091","hep-ex",,"  Measurements of transverse energy flow are presented for neutral current
deep-inelastic scattering events produced in positron-proton collisions at
HERA. The kinematic range covers squared momentum transfers Q^2 from 3.2 to
2,200 GeV^2, the Bjorken scaling variable x from 8.10^{-5} to 0.11 and the
hadronic mass W from 66 to 233 GeV. The transverse energy flow is measured in
the hadronic centre of mass frame and is studied as a function of Q^2, x, W and
pseudorapidity. A comparison is made with QCD based models. The behaviour of
the mean transverse energy in the central pseudorapidity region and an interval
corresponding to the photon fragmentation region are analysed as a function of
Q^2 and W.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 14:33:00 GMT""}]","2008-11-26"
"hep-lat/9907006","Kurt Langfeld","Kurt Langfeld, Gwansoo Shin","Lattice Yang-Mills theory at finite densities of heavy quarks","26 pages, 3 PS figures, LaTeX using epsf","Nucl.Phys. B572 (2000) 266-288","10.1016/S0550-3213(00)00031-6","KIAS-P99025","hep-lat hep-ph",,"  SU(N_c) Yang-Mills theory is investigated at finite densities of N_f heavy
quark flavors. The calculation of the (continuum) quark determinant in the
large-mass limit is performed by analytic methods and results in an effective
gluonic action. This action is then subject to a lattice representation of the
gluon fields and computer simulations. The approach maintains the same number
of quark degrees of freedom as in the continuum formulation and a physical
heavy quark limit (to be contrasted with the quenched approximation N_f -> 0).
The proper scaling towards the continuum limit is manifest. We study the
partition function for given values of the chemical potential as well as the
partition function which is projected onto a definite baryon number. First
numerical results for an SU(2) gauge theory are presented. We briefly discuss
the breaking of the color-electric string at finite densities and shed light
onto the origin of the overlap problem inherent in the Glasgow approach.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 17:18:35 GMT""}]","2009-10-31"
"hep-lat/9907008","Federico Berruto","F. Berruto, G. Grignani, G. W. Semenoff and P. Sodano","Quantum Spin-1/2 Antiferromagnetic Chains and Strongly Coupled
  Multiflavor Schwinger Models","40 pages, 5 figures, Proceedings of the International Conference on
  ""Mathematical Methods in Modern Theoretical Physics"" Tbilisi, Georgia,
  September 1998",,,,"hep-lat cond-mat.stat-mech",,"  We review the correspondence between strongly coupled lattice multiflavor
Schwinger models and SU(N) antiferromagnetic chains. We show that finding the
low lying states of the gauge models is equivalent to solving an SU(N)
Heisenberg antiferromagnetic chain. For the two-flavor lattice Schwinger model
the massless excitations correspond to gapless states of the Heisenberg chain,
while the massive states are created by fermion transport in the ground state
of the spin chain. Our analysis shows explicitly how spinons may arise in
lattice gauge theories.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 15:12:49 GMT""}]","2007-05-23"
"hep-ph/9907380","Dimitri Bourilkov","Dimitri Bourilkov","Global Analysis of Bhabha Scattering at LEP2 and Limits on Low Scale
  Gravity Models","7 pages, 1 table, 2 figures; submitted to JHEP","JHEP 9908:006,1999","10.1088/1126-6708/1999/08/006",,"hep-ph hep-ex",,"  A global analysis of the data on Bhabha scattering from the four LEP
experiments ALEPH, DELPHI, L3 and OPAL is performed to search for effects of
virtual graviton exchange in models with low scale gravity. No statistically
significant deviations from the Standard Model expectations are observed and
lower limits on the scale of models with large extra dimensions of $\Lambda_T =
1.077 TeV$ for $\lambda = -1$ and $\Lambda_T = 1.412 TeV$ for $\lambda = +1$ at
95% confidence level are derived.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 19:17:20 GMT""}]","2010-02-03"
"hep-ph/9907381","Robertus Potting","A. Kovner, A. Krasnitz and R. Potting","Sphaleron Transition Rate in Presence of Dynamical Fermions","20 pages, 7 figures, LaTeX, psfig","Phys.Rev. D61 (2000) 025009","10.1103/PhysRevD.61.025009","UAlg/TP/98-3","hep-ph",,"  We investigate the effect of dynamical fermions on the sphaleron transition
rate at finite temperature for the Abelian Higgs model in one spatial
dimension. The fermion degrees of freedom are included through bosonization.
Using a numerical simulation, we find that massless fermions do not change the
rate within the measurement accuracy. Surprisingly, the exponential dependence
of the sphaleron energy on the Yukawa coupling is not borne out by the
transition rate, which shows a very weak dependence on the fermion mass.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 16:14:25 GMT""}]","2009-10-31"
"hep-ph/9907382","Massimo Blasone","Massimo Blasone and Giuseppe Vitiello","Remarks on the neutrino oscillation formula","10 pages, RevTeX, revised version with comments added","Phys.Rev.D60:111302,1999","10.1103/PhysRevD.60.111302",,"hep-ph",,"  We show that the neutrino oscillation formula recently derived in the quantum
field theory framework holds true despite the arbitrariness in the mass
parameter for the flavor fields. This formula is exact and exhibits new
features with respect to the usual Pontecorvo formula, which is however valid
in the relativistic limit.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 16:45:31 GMT""},{""version"":""v2"",""created"":""Mon, 16 Aug 1999 17:09:00 GMT""}]","2009-12-30"
"hep-ph/9907383","John F. Beacom","J.F. Beacom and P. Vogel (Caltech)","Neutrino magnetic moments, flavor mixing, and the SuperKamiokande solar
  data","4 pages including two inline figures. New version has 825 days SK
  result, some minor revisions. Accepted for Physical Review Letters","Phys.Rev.Lett.83:5222-5225,1999","10.1103/PhysRevLett.83.5222",,"hep-ph astro-ph hep-ex nucl-ex nucl-th",,"  We find that magnetic neutrino-electron scattering is unaffected by
oscillations for vacuum mixing of Dirac neutrinos with only diagonal moments
and for Majorana neutrinos with two flavors. For MSW mixing, these cases again
obtain, though the effective moments can depend on the neutrino energy. Thus,
e.g., the magnetic moments measured with $\bar{\nu}_e$ from a reactor and
$\nu_e$ from the Sun could be different. With minimal assumptions, we find a
new limit on $\mu_{\nu}$ using the 825-days SuperKamiokande solar neutrino
data: $|\mu_{\nu}| \le 1.5\times 10^{-10} \mu_B$ at 90% CL, comparable to the
existing reactor limit.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 01:03:04 GMT""},{""version"":""v2"",""created"":""Mon, 25 Oct 1999 18:15:58 GMT""}]","2008-11-26"
"hep-ph/9907384","Jie Jun Tseng","Tzuu-Kang Chyi, Chien-Wen Hwang, W. F. Kao, Guey-Lin Lin, Kin-Wang Ng,
  Jie-Jun Tseng","Neutrino-photon scattering and its crossed processes in a background
  magnetic field","Revtex, 10 pages, 4 ps figures, to appear in Phys. Lett. B","Phys.Lett. B466 (1999) 274-280","10.1016/S0370-2693(99)01111-9",,"hep-ph",,"  We study the neutrino-photon processes such as $\gamma\gamma\to \nu\bar{\nu}$
and $\nu\gamma\to \nu\gamma$ in a background magnetic field smaller than the
critical magnetic field $B_c\equiv m_e^2/e$. Using Schwinger's proper-time
method, we extract leading magnetic-field contributions to the above processes.
Our result is valid throughout the kinematic regime where both neutrino and
photon energies are significantly smaller than $m_W$. We briefly discuss the
astrophysical implications of our result.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 02:14:01 GMT""},{""version"":""v2"",""created"":""Tue, 12 Oct 1999 02:01:27 GMT""}]","2009-10-31"
"hep-ph/9907385","Oleg Veretin","V.A.Smirnov and O.L.Veretin","Analytical Results for Dimensionally Regularized Massless On-shell
  Double Boxes with Arbitrary Indices and Numerators","LaTeX, 16 pages; misprints in ff. (8), (24), (30) corrected; some
  explanations added","Nucl.Phys. B566 (2000) 469-485","10.1016/S0550-3213(99)00686-0",,"hep-ph hep-th",,"  We present an algorithm for the analytical evaluation of dimensionally
regularized massless on-shell double box Feynman diagrams with arbitrary
polynomials in numerators and general integer powers of propagators. Recurrence
relations following from integration by parts are solved explicitly and any
given double box diagram is expressed as a linear combination of two master
double boxes and a family of simpler diagrams. The first master double box
corresponds to all powers of the propagators equal to one and no numerators,
and the second master double box differs from the first one by the second power
of the middle propagator. By use of differential relations, the second master
double box is expressed through the first one up to a similar linear
combination of simpler double boxes so that the analytical evaluation of the
first master double box provides explicit analytical results, in terms of
polylogarithms $\Li{a}{-t/s}$, up to $a=4$, and generalized polylogarithms
$S_{a,b}(-t/s)$, with $a=1,2$ and $b=2$, dependent on the Mandelstam variables
$s$ and $t$, for an arbitrary diagram under consideration.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 08:28:52 GMT""},{""version"":""v2"",""created"":""Mon, 19 Jul 1999 12:49:37 GMT""},{""version"":""v3"",""created"":""Mon, 8 Nov 1999 14:23:28 GMT""}]","2015-06-25"
"hep-ph/9907386","Frank Krueger","F. Kr\""uger, L. M. Sehgal, N. Sinha, R. Sinha","Angular Distribution and CP Asymmetries in the Decays B->K^-pi^+e^-e^+
  and B->pi^-pi^+e^-e^+","19 pages, REVTeX, no figures. Equations (2.19a), (2.19b), (5.5)-(5.7)
  have been corrected; all results remain unchanged. These changes will appear
  in an Erratum submitted to Phys. Rev. D","Phys.Rev.D61:114028,2000; Erratum-ibid.D63:019901,2001","10.1103/PhysRevD.61.114028 10.1103/PhysRevD.63.019901","FISIST/5-99/CFIF, IMSc-99/05/17, PITHA 99/15","hep-ph",,"  The short-distance Hamiltonian describing b->s(d)e^-e^+ in the standard model
is used to obtain the decay spectrum of \bar{B}->K^-pi^+e^-e^+ and
\bar{B}->pi^-pi^+e^-e^+, assuming the Kpi and pipi systems to be the decay
products of K^* and rho respectively. Specific features calculated are (i)
angular distribution of K^- (or pi^-) in the K^-pi^+ (or pi^-pi^+)
centre-of-mass (c.m.) frame; (ii) angular distribution of e^- in the e^-e^+
c.m. frame; and (iii) the correlation between the meson and lepton planes. We
also derive CP-violating observables obtained by combining the above decays
with the conjugate processes B->K^+pi^-e^-e^+ and B->pi^-pi^+e^-e^+.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 08:30:25 GMT""},{""version"":""v2"",""created"":""Mon, 7 Feb 2000 18:12:13 GMT""},{""version"":""v3"",""created"":""Thu, 5 Oct 2000 14:09:44 GMT""}]","2014-11-17"
"hep-ph/9907387","Francisco Jose Yndurain","J. Santiago and F. J. Yndurain","NNLO Calculation of DIS; Precision Determination of the Strong Coupling
  Constant, Extraction of the Gluon Density, and Comments on ""Hidden"" Gluinos","Plain TeX file. Two figures","Nucl.Phys.Proc.Suppl. 86 (2000) 69-73","10.1016/S0920-5632(00)00544-2","FTUAM 99-17","hep-ph",,"  Calculations of deep inelastic processes (DIS) to next-to-next to leading
order are discussed. Fitting $ep$ experiment in the range $2.5\leq Q^2\leq 230
GeV^2$, we find the coupling $\alpha_s(M_Z^2)=0.1163\pm0.0023$. We also get the
gluon density $xG(x,Q^2\simeq 10 GeV^2)=0.51 x^{-0.44}(1-x)^{8.1}$, and
negative evidence for the existence of light gluinos
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 10:17:13 GMT""}]","2009-10-31"
"hep-ph/9907388","Pankaj Jain","Pankaj Jain, Bijoy Kundu, Hsiang-nan Li, John P. Ralston and Jim
  Samuelsson","A Review of pQCD Calculations of Electromagnetic Form Factors of Hadrons","Based on talk given at NUCLEON'99, Frascati, June 7-9, 1999","Nucl.Phys. A666 (2000) 75-83","10.1016/S0375-9474(00)00012-9","IITK/HEP/99/52","hep-ph nucl-ex nucl-th",,"  We review the current status of perturbative QCD calculation of hadronic
electromagnetic form factors.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 10:53:05 GMT""}]","2009-10-31"
"hep-ph/9907389","Renard Fernand Michel","M. Beccaria, P. Ciafaloni, D. Comelli, F.M. Renard and C. Verzegnassi","The role of the top mass in b-production at future lepton colliders","9 pages and 3 figures; version submitted to Phys.ReV.D,Rapid. e-mail:
  renard@lpm.univ-montp2.fr","Phys.Rev.D61:011301,2000","10.1103/PhysRevD.61.011301","PM/99-28","hep-ph",,"  We compute the one loop contribution coming from vertex and box diagrams,
where virtual top quarks are exchanged, to the asymptotic energy behaviour of
$b\bar b$ pair production at future lepton colliders. We find that the effect
of the top mass is an extra linear logarithmic term of Sudakov type that is not
present in the case of (u,d,s,c) production. This appears to be particularly
relevant in the case of the $b\bar{b}$ cross section.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 11:10:30 GMT""},{""version"":""v2"",""created"":""Mon, 27 Sep 1999 11:27:43 GMT""}]","2009-12-30"
"hep-ph/9907390","Anjan Joshipura","Anjan S. Joshipura and Saurabh D. Rindani","Neutrino Anomalies in an Extended Zee Model","11 pages including 2 figures; a reference added and text changed
  accordingly","Phys.Lett. B464 (1999) 239-243","10.1016/S0370-2693(99)00995-8","PRL-Th-99/004","hep-ph",,"  We discuss an extended $SU(2)\times U(1)$ model which naturally leads to mass
scales and mixing angles relevant for understanding both the solar and
atmospheric neutrino anomalies. No right-handed neutrinos are introduced in the
model.The model uses a softly broken $L_e-L_{\mu}-L_{\tau}$ symmetry. Neutrino
masses arise only at the loop level. The one-loop neutrino masses which arise
as in the Zee model solve the atmospheric neutrino anomaly while breaking of
$L_e-L_{\mu}-L_{\tau}$ generates at two-loop order a mass splitting needed for
the vacuum solution of the solar neutrino problem. A somewhat different model
is possible which accommodates the large-angle MSW resolution of the solar
neutrino problem.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 11:30:25 GMT""},{""version"":""v2"",""created"":""Fri, 30 Jul 1999 10:51:05 GMT""}]","2009-10-31"
"hep-ph/9907391","Adam K. Leibovich","Adam K. Leibovich, and I. Z. Rothstein (Carnegie Mellon University)","The Resummed Rate for B -> X_s gamma","17 pages, 5 figures","Phys.Rev. D61 (2000) 074006","10.1103/PhysRevD.61.074006",,"hep-ph",,"  In this paper we investigate the effect of the resummation of threshold logs
on the rate for B -> X_s gamma. We calculate the differential rate
dGamma/dE_gamma including the infinite set of terms of the form alpha_s^n
log^{n+1}(1-x) and alpha_s^n log^n(1-x) in the Sudakov exponent. The
resummation is potentially important since these logs turn into
log(2E_{cut}/m_b), when the rate is integrated from the lower cut
x=2E_{cut}/m_b to 1. The resummed rate is then convolved with models for the
structure function to study whether or not the logs will be enhanced due to the
fermi motion of the heavy quark. A detailed discussion of the accuracy of the
calculation with and without the inclusion of the non-perturbative effects
dictated by the B meson structure function is given. We also investigate the
first moment with respect to (1-x), which can be used to measure \bar\Lambda
and lambda_1. It is shown that there are some two loop corrections which are
just as large as the alpha_s^2 beta_0 term, which are usually expected to
dominate. We conclude that, for the present energy cut, the threshold logs do
not form a dominant sub-series and therefore their resummation is unnecessary.
Thus, the prospects for predicting the rate for B -> X_s gamma accurately,
given the present energy cut, are promising.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 15:38:20 GMT""}]","2009-10-31"
"hep-ph/9907392","Peter Landshoff","P V Landshoff","Soft and hard pomerons","8 pages, plain tex, with 6 figures embedded using epsf. Lecture at
  Workshop on New Trends in HERA Physics, Ringberg (june 1999)",,,"DAMTP-1999-90","hep-ph",,"  Regge theory provides an excellent description of small-$x$
structure-function data from $Q^2=0$ up to the highest available values. The
large-$Q^2$ data should also be described by perturbative QCD: the two
descriptions must agree in the region where they overlap. However, at present
there is a serious lack in our understanding of how to apply perturbative QCD
at small $x$. The usual lowest-order or next-to-lowest order expansion is not
valid, at least not until $Q^2$ becomes much larger than is usually assumed; a
resummation is necessary, but as yet we do not know how to do this resummation.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 13:33:41 GMT""}]","2007-05-23"
"hep-ph/9907393","Dominik Stockinger","W. Hollik, E. Kraus, D. St\""ockinger","Renormalization and Symmetry Conditions in Supersymmetric QED","38 pages, 4 figures","Eur.Phys.J.C11:365-381,1999","10.1007/s100520050642","KA-TP-8-1999, BN-TH-99-11","hep-ph hep-th",,"  For supersymmetric gauge theories a consistent regularization scheme that
preserves supersymmetry and gauge invariance is not known. In this article we
tackle this problem for supersymmetric QED within the framework of algebraic
renormalization. For practical calculations, a non-invariant regularization
scheme may be used together with counterterms from all power-counting
renormalizable interactions. From the Slavnov--Taylor identity, expressing
gauge invariance, supersymmetry and translational invariance, simple symmetry
conditions are derived that are important in a twofold respect: they establish
exact relations between physical quantities that are valid to all orders, and
they provide a powerful tool for the practical determination of the
counterterms. We perform concrete one-loop calculations in dimensional
regularization, where supersymmetry is spoiled at the regularized level, and
show how the counterterms necessary to restore supersymmetry can be read off
easily. In addition, a specific example is given how the supersymmetry
transformations in one-loop order are modified by non-local terms.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 14:08:50 GMT""}]","2011-09-13"
"hep-th/9907117","Supriya Kar","Supriya Kar","Generalized Dirichlet Branes and Zero-modes","LaTex, 20 pages, v2: minor changes and added references v3:typos
  corrected, some statements are clarified in the context of zero-modes","Int.J.Mod.Phys. A1 (2001) 41-56","10.1142/S0217751X01002816",,"hep-th",,"  We investigate the effective dynamics of an arbitrary Dirichlet p-brane, in a
path-integral formalism, by incorporating the massless excitations of closed
string modes in open bosonic string theory. It is shown that the closed string
background fields in the bosonic sector of type II theories induce invariant
extrinsic curvature on the world-volume. In addition, the curvature can be seen
to be associated with a divergence at the boundary of string world-sheet. The
re-normalization of the collective coordinates, next to leading order in its
derivative expansion, is performed to handle the divergence and the effective
dynamics is encoded in Dirac-Born-Infeld action. Furthermore, the collective
dynamics is generalized to include appropriate fermionic partners in type I
super-string theory. The role of string modes is reviewed in terms of the
collective coordinates and the gauge theory on the world-volume is argued to be
non-local in presence of the U(1) invariant field strength.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 22:02:42 GMT""},{""version"":""v2"",""created"":""Sun, 25 Jul 1999 18:36:17 GMT""},{""version"":""v3"",""created"":""Tue, 24 Aug 1999 13:24:06 GMT""}]","2015-06-26"
"hep-th/9907129","Steve Giddings","Steven B. Giddings","Flat-space scattering and bulk locality in the AdS/CFT correspondence","25 pages, harvmac. v2: Very minor corrections to eqs. v3: Minor
  improvements of discussion of locality bounds and string scattering v4. Typos
  fixed","Phys.Rev. D61 (2000) 106008","10.1103/PhysRevD.61.106008",,"hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The large radius limit in the AdS/CFT correspondence is expected to provide a
holographic derivation of flat-space scattering amplitudes. This suggests that
questions of locality in the bulk should be addressed in terms of properties of
the S-matrix and their translation into the conformal field theory. There are,
however, subtleties in this translation related to generic growth of amplitudes
near the boundary of anti de-Sitter space. Flat space amplitudes are recovered
after a delicate projection of CFT correlators onto normal-mode frequencies of
AdS. Once such amplitudes are obtained from the CFT, possible criteria for
approximate bulk locality include bounds on growth of amplitudes at high
energies and reproduction of semiclassical gravitational scattering at long
distances.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 16:09:02 GMT""},{""version"":""v2"",""created"":""Mon, 16 Aug 1999 21:52:59 GMT""},{""version"":""v3"",""created"":""Fri, 15 Oct 1999 00:00:32 GMT""},{""version"":""v4"",""created"":""Mon, 4 May 2009 19:38:13 GMT""}]","2009-10-31"
"hep-th/9907130","Chi-Wei Herbert Lee","C.-W. H. Lee","Symmetry Algebras of Quantum Matrix Models in the Large-N Limit","150 pages, 21 eps figures, 6 tables; Ph.D. thesis; citation added",,,,"hep-th cond-mat.str-el math-ph math.MP nlin.SI solv-int",,"  Quantum matrix models in the large-N limit arise in many physical systems
like Yang-Mills theory with or without supersymmetry, quantum gravity,
string-bit models, various low energy effective models of string theory,
M(atrix) theory, quantum spin chain models, and strongly correlated electron
systems like the Hubbard model. We introduce, in a unifying fashion, a hierachy
of infinite-dimensional Lie superalgebras of quantum matrix models. One of
these superalgebras pertains to the open string sector and another one the
closed string sector. Physical observables of quantum matrix models like the
Hamiltonian can be expressed as elements of these Lie superalgebras. This
indicates the Lie superalgebras describe the symmetry of quantum matrix models.
We present the structure of these Lie superalgebras like their Cartan
subalgebras, root vectors, ideals and subalgebras. They are generalizations of
well-known algebras like the Cuntz algebra, the Virasoro algebra, the Toeplitz
algebra, the Witt algebra and the Onsager algebra. Just like we learnt a lot
about critical phenomena and string theory through their conformal symmetry
described by the Virasoro algebra, we may learn a lot about quantum
chromodynamics, quantum gravity and condensed matter physics through this
symmetry of quantum matrix models described by these Lie superalgebras.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 16:32:19 GMT""},{""version"":""v2"",""created"":""Wed, 21 Jul 1999 21:32:17 GMT""}]","2007-05-23"
"hep-th/9907131","Suresh Govindarajan","Suresh Govindarajan (IITM), T. Jayaraman (IMSc) and Tapobrata Sarkar
  (IMSc)","Worldsheet approaches to D-branes on supersymmetric cycles","28 pages, LaTeX with revtex; (v2) Condition involving superpotential
  in the boundary LG model imposed, references included ; (v3) final version to
  appear in journal","Nucl.Phys. B580 (2000) 519-547","10.1016/S0550-3213(00)00140-1","IMSc 99/07/25","hep-th",,"  We consider D-branes wrapped around supersymmetric cycles of Calabi-Yau
manifolds from the viewpoint of N=2 Landau-Ginzburg models with boundary as
well as by consideration of boundary states in the corresponding Gepner models.
The Landau-Ginzburg approach enables us to provide a target space
interpretation for the boundary states. The boundary states are obtained by
applying Cardy's procedure to combinations of characters in the Gepner models
which are invariant under spectral flow. We are able to relate the two
descriptions using the common discrete symmetries of the two descriptions. We
are thus able to provide an extension to the boundary of the bulk
correspondence between Landau-Ginzburg orbifolds and the corresponding Gepner
models.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 16:52:43 GMT""},{""version"":""v2"",""created"":""Tue, 7 Sep 1999 05:56:40 GMT""},{""version"":""v3"",""created"":""Tue, 28 Mar 2000 09:49:27 GMT""}]","2009-10-31"
