"adap-org/9903001","James P. Crutchfield","James P. Crutchfield and Erik van Nimwegen","The Evolutionary Unfolding of Complexity","28 pages, 5 figures",,,"Santa Fe Institute Working Paper 99-02-015","adap-org nlin.AO q-bio.PE",,"  We analyze the population dynamics of a broad class of fitness functions that
exhibit epochal evolution---a dynamical behavior, commonly observed in both
natural and artificial evolutionary processes, in which long periods of stasis
in an evolving population are punctuated by sudden bursts of change. Our
approach---statistical dynamics---combines methods from both statistical
mechanics and dynamical systems theory in a way that offers an alternative to
current ``landscape'' models of evolutionary optimization. We describe the
population dynamics on the macroscopic level of fitness classes or phenotype
subbasins, while averaging out the genotypic variation that is consistent with
a macroscopic state. Metastability in epochal evolution occurs solely at the
macroscopic level of the fitness distribution. While a balance between
selection and mutation maintains a quasistationary distribution of fitness,
individuals diffuse randomly through selectively neutral subbasins in genotype
space. Sudden innovations occur when, through this diffusion, a genotypic
portal is discovered that connects to a new subbasin of higher fitness
genotypes. In this way, we identify innovations with the unfolding and
stabilization of a new dimension in the macroscopic state space. The
architectural view of subbasins and portals in genotype space clarifies how
frozen accidents and the resulting phenotypic constraints guide the evolution
to higher complexity.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 21:43:12 GMT""}]","2007-05-23"
"math/9902157","Hiroshi Goda","Hiroshi Goda and Masakazu Teragaito","Dehn surgeries on knots which yield lens spaces and genera of knots","20 pages, 6 figures",,"10.1017/S0305004100004692","UC Davis Math 1999-7","math.GT",,"  Let $K$ be a hyperbolic knot in the 3-sphere. If $r$-surgery on $K$ yields a
lens space, then we show that the order of the fundamental group of the lens
space is at most $12g-7$, where $g$ is the genus of $K$. If we specialize to
genus one case, it will be proved that no lens space can be obtained from genus
one, hyperbolic knots by Dehn surgery. Therefore, together with known facts, we
have that a genus one knot $K$ admits Dehn surgery yielding a lens space if and
only if $K$ is the trefoil.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 20:32:32 GMT""}]","2009-10-31"
"math/9902158","Adam Epstein","Adam Epstein","Infinitesimal Thurston Rigidity and the Fatou-Shishikura Inequality","12 pages, 1 PostScript figure",,,"Stony Brook IMS 1999/1","math.DS math.CV",,"  We prove a refinement of the Fatou-Shishikura Inequality - that the total
count of nonrepelling cycles of a rational map is less than or equal to the
number of independent infinite forward critical orbits - from a suitable
application of Thurston's Rigidity Theorem - the injectivity of $I-f_*$ on
spaces of meromorphic quadratic differentials.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 20:34:47 GMT""}]","2007-05-23"
"math/9902159","Vadim Kaloshin","Vadim Kaloshin","Generic Diffeomorphisms with Superexponential Growth of Number of
  Periodic Orbits","12 pages, 7 postscript figures",,"10.1007/s002200050811","Stony Brook IMS 1999/2","math.DS",,"  Consider a compact manifold M of dimension at least 2 and the space of
C^r-smooth diffeomorphisms Diff^r(M). The classical Artin-Mazur theorem says
that for a dense subset D of Diff^r(M) the number of isolated periodic points
grows at most exponentially fast (call it the A-M property). We extend this
result and prove that diffeomorphisms having only hyperbolic periodic points
with the A-M property are dense in Diff^r(M). Our proof of this result is much
simpler than the original proof of Artin-Mazur. The second main result is that
the A-M property is not (Baire) generic. Moreover, in a Newhouse domain ${\cal
N} \subset Diff^r(M)$, an arbitrary quick growth of the number of periodic
points holds on a residual set. This result follows from a theorem of
Gonchenko-Shilnikov-Turaev, a detailed proof of which is also presented.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 22:53:33 GMT""}]","2009-10-31"
"math/9903001","Denis V. Juriev","Denis V. Juriev","Interactive games, dialogues and the verbalization",,,,,"math.HO",,"  The note is devoted to an interactive game theoretic formalization of
dialogues as psycholinguistic phenomena and the unraveling of a hidden dialogue
structure of 2-person differential interactive games. In the field-theoretic
description of interactive games the dialogues are defined naively as
interactive games of discrete time with intention fields of continuous time;
the correct mathematical formulation is proposed. The states and the controls
of a dialogue correspond to the speech whereas the intention fields describe
the understanding. In the case of dialogues the main inverse problem is to
describe geometrical and algebraical properties of the understanding. On the
other hand, a precise mathematical definition of dialogues allows to formulate
a problem of the unraveling of a hidden dialogue structure of any 2-person
differential interactive game. Such procedure is called the verbalization. It
means that the states of a differential interactive game are interpreted as
intention fields of a hidden dialogue and the problem is to describe such
dialogue completely. If a 2-person differential interactive game is
verbalizable one is able to consider many linguistic (e.g. the formal grammar
of a related hidden dialogue) or psycholinguistic (e.g. the dynamical
correlation of various implications) aspects of it.
","[{""version"":""v1"",""created"":""Sat, 27 Feb 1999 08:00:17 GMT""}]","2007-05-23"
"nucl-th/9902075","Eduardo Garrido Bellido","E. Garrido and E. Moya de Guerra (IEM-CSIC)","Electron scattering on two-neutron halo nuclei: The case of $^6$He","17 pages, figures included","Nucl.Phys. A650 (1999) 387-417","10.1016/S0375-9474(99)00116-5",,"nucl-th",,"  The formalism to describe electron scattering reactions on two-neutron halo
nuclei is developed. The halo nucleus is described as a three-body system
(core+n+n), and the wave function is obtained by solving the Faddeev equations
in coordinate space. We discuss elastic and quasielastic scattering using the
impulse approximation to describe the reaction mechanism. We apply the method
to investigate the case of electron scattering on $^6$He. Spectral functions,
response functions, and differential cross sections are calculated for both
neutron knockout and $\alpha$ knockout by the electron.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 17:55:20 GMT""}]","2009-10-31"
"nucl-th/9902076","Arno Bohm","Arno R. Bohm and Raymond Scurek and Sujeewa Wikramasekara","Resonances, Gamow Vectors and Time Asymmetric Quantum Theory","15 pages latex. XXII Symposium on Nuclear Physics, Oaxtepec, Mexico,
  January (1999)",,,,"nucl-th math-ph math.MP",,"  Decaying states can be represented by Gamow vectors with an exponential,
asymmetric time evolution. This asymmetric evolution is a manifestation of
irreversibility on the microphysical level. The Rigged Hilbert Space provides a
mathematical theory.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 20:11:06 GMT""}]","2007-05-23"
"nucl-th/9902077","Noam Shoresh","Gautam Rupak and Noam Shoresh","NNLO Calculation of Two-Nucleon Scattering in EFT for a Two Yukawa Toy
  Model","24 pages, 11 EPS figures, revtex; typos in formulae corrected; More
  typos corrected, expressions in appendix added, minor changes in style, graph
  Fig3(b) replaced","Phys.Rev. C60 (1999) 054004","10.1103/PhysRevC.60.054004","NT@UW-99-15","nucl-th",,"  The effective field theory (EFT) for a toy model of nucleons interacting via
a short range and a long range Yukawa potential is presented. The scattering
amplitude in the 1S0 channel is calculated up to NNLO using KSW power counting
scheme. A particular expansion of the amplitude about the pole at low
(imaginary) momentum is used to derive matching conditions for the EFT
couplings. In addition, after imposing constraints from a Renormalization Group
analysis, there are no new free parameters in the amplitude at NNLO. Comparing
the NNLO phase shifts to the full model we show that the EFT expansion is
converging.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 21:39:31 GMT""},{""version"":""v2"",""created"":""Mon, 1 Mar 1999 04:11:33 GMT""},{""version"":""v3"",""created"":""Fri, 12 Mar 1999 23:49:55 GMT""}]","2009-10-31"
"quant-ph/9902086","Irena Dobrovolska","I. V. Dobrovolska, R. S. Tutik","Semiclassical treatment of logarithmic perturbation theory","6 pages, LATEX 2.09 using IOP styles","J.Phys.A32:563-568,1999","10.1088/0305-4470/32/3/011",,"quant-ph",,"  The explicit semiclassical treatment of logarithmic perturbation theory for
the nonrelativistic bound states problem is developed. Based upon
$\hbar$-expansions and suitable quantization conditions a new procedure for
deriving perturbation expansions for the one-dimensional anharmonic oscillator
is offered. Avoiding disadvantages of the standard approach, new handy
recursion formulae with the same simple form both for ground and exited states
have been obtained. As an example, the perturbation expansions for the energy
eigenvalues of the harmonic oscillator perturbed by $\lambda x^{6}$ are
considered.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 18:35:15 GMT""}]","2008-11-26"
"quant-ph/9902087","Diosi Lajos","Lajos Diosi","Emergence of Classicality: From Collapse Phenomenologies to Hybrid
  Dynamics","8pp LaTeX (Springer-macros), to appear in Decoherence: Theoretical,
  Experimental and Conceptual Problems (Springer). Minor corrections","Lect.Notes Phys. 538 (2000) 243-250",,,"quant-ph",,"  In the past ten-fifteen years, stochastic models of continuous wave function
collapse were being proposed to describe the continuous emergence of
classicality from quantum. We advocate that the hybrid dynamics of canonically
coupled quantum and classical systems is a more basic concept. Continuous
collapse formalisms are obtained as special cases. To illustrate our claim we
show how von Neumann collapse follows from hybrid dynamical equations.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 20:23:04 GMT""},{""version"":""v2"",""created"":""Wed, 12 May 1999 10:43:54 GMT""}]","2007-05-23"
"quant-ph/9903001","Lucien Hardy","Lucien Hardy","A Method of Areas for Manipulating the Entanglement Properties of One
  Copy of a Two-Particle Pure State","29 pages, 9 figures. Section 2.4 clarified. Error in second colouring
  theorem (section 3.2) corrected. Some other minor changes",,"10.1103/PhysRevA.60.1912",,"quant-ph",,"  We consider the problem of how to manipulate the entanglement properties of a
general two-particle pure state, shared between Alice and Bob, by using only
local operations at each end and classical communication between Alice and Bob.
A method is developed in which this type of problem is found to be equivalent
to a problem involving the cutting and pasting of certain shapes along with a
certain colouring problem. We consider two problems. Firstly we find the most
general way of manipulating the state to obtain maximally entangled states.
After such a manipulation the entangled state |11>+|22>+....|mm> is obtained
with probability p_m. We obtain an expression for the optimal average
entanglement. Also, some results of Lo and Popescu pertaining to this problem
are given simple geometric proofs. Secondly, we consider how to manipulate one
two particle entangled pure state to another with certainty. We derive
Nielsen's theorem (which states the necessary and sufficient condition for this
to be possible) using the method of areas.
","[{""version"":""v1"",""created"":""Sat, 27 Feb 1999 04:05:48 GMT""},{""version"":""v2"",""created"":""Tue, 30 Mar 1999 02:06:20 GMT""}]","2009-10-31"
