"adap-org/9912003","D'hulst","R. d'Hulst and G.J. Rodgers","Democracy versus Dictatorship in Self-Organized Models of Financial
  Markets","6 pages, 4 figures (included)",,"10.1016/S0378-4371(00)00089-3",,"adap-org nlin.AO",,"  Models to mimic the transmission of information in financial markets are
introduced. As an attempt to generate the demand process, we distinguish
between dictatorship associations, where groups of agents rely on one of them
to make decision, and democratic associations, where each agent takes part in
the group decision. In the dictatorship model, agents segregate into two
distinct populations, while the democratic model is driven towards a critical
state where groups of agents of all sizes exist. Hence, both models display a
level of organization, but only the democratic model is self-organized. We show
that the dictatorship model generates less volatile markets than the democratic
model.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 16:03:29 GMT""}]","2009-10-31"
"gr-qc/9912067","Guy Bonneau","Guy Bonneau (LPTHE, Paris)","Cohomogeneity-one Einstein-Weyl structures : a local approach","36 pages, Latex file, corrections in some definitions and
  terminology, no change in results, final version to appear in `` Journal of
  Geometry and Physics""","J.Geom.Phys. 39 (2001) 135-173","10.1016/S0393-0440(01)00008-0","PAR/LPTHE/99-36","gr-qc math-ph math.DG math.MP",,"  We analyse in a systematic way the (non-)compact n-dimensional Einstein Weyl
spaces equipped with a cohomogeneity-one metric. With no compactness
hypothesis, we prove that, as soon as the (n-1)-dimensional space is an
homogeneous reductive Riemannian space with an unimodular group of left-acting
isometries G
  1)a non-exact Einstein-Weyl stucture may exist only if the (n-1)-dimensional
homogeneous space G/H contains a non trivial subgroup H' that commutes with the
isotropy subgroup H,
  2) the extra isometry due to this Killing vector corresponds to the
right-action of one of the generators of the algebra of the subgroup H'.
  We also prove that the subclass with a one-dimensional subgroup H'
corresponds to n-dimensional Riemannian locally conformally K\""ahler metrics,
the (n-2)-dimensional space G/(HxH') being an arbitrary compact symmetric
K\""ahler coset space.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 10:49:20 GMT""},{""version"":""v2"",""created"":""Tue, 2 May 2000 15:29:05 GMT""},{""version"":""v3"",""created"":""Thu, 21 Dec 2000 10:57:59 GMT""}]","2015-06-25"
"gr-qc/9912068","Michael Bachmann","Michael Bachmann and Hans-Jurgen Schmidt","Period-doubling bifurcation in strongly anisotropic Bianchi I quantum
  cosmology","Latest update of the paper at
  http://www.physik.fu-berlin.de/~mbach/publics.html#6","Phys.Rev. D62 (2000) 043515","10.1103/PhysRevD.62.043515",,"gr-qc",,"  We solve the Wheeler-DeWitt equation for the minisuperspace of a cosmological
model of Bianchi type I with a minimally coupled massive scalar field $\phi$ as
source by generalizing the calculation of Lukash and Schmidt [1]. Contrarily to
other approaches we allow strong anisotropy. Combining analytical and numerical
methods, we apply an adiabatic approximation for $\phi$, and as new feature we
find a period-doubling bifurcation. This bifurcation takes place near the
cosmological quantum boundary, i.e., the boundary of the quasiclassical region
with oscillating $\psi$-function where the WKB-approximation is good. The
numerical calculations suggest that such a notion of a ``cosmological quantum
boundary'' is well-defined, because sharply beyond that boundary, the
WKB-approximation is no more applicable at all. This result confirms the
adequateness of the introduction of a cosmological quantum boundary in quantum
cosmology.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 11:31:16 GMT""}]","2009-10-31"
"hep-ex/9912034","Karl M. Ecklund","Karl M. Ecklund (Cornell University)","Semileptonic B Decays from CLEO","Invited talk presented at Heavy Flavours 8, Southampton, UK, 1999. 14
  pages, 11 figures",,"10.1063/1.57770","CLNS 99/1654","hep-ex hep-ph",,"  I report results in semileptonic decays of B mesons from the CLEO
collaboration, with a focus on recent results. Results for exclusive
reconstruction of B -> D* l nu, B -> D l nu and B -> rho l nu are given
including the q^2 dependence of the form factors. These results are used to
measure |V_cb| and |V_ub|. Two preliminary analyses using inclusive techniques
measure the lepton momentum spectrum and hadronic recoil mass spectrum in B ->
X_c l nu decays, showing promise for future precision measurements of |V_cb|.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 18:14:49 GMT""}]","2009-10-31"
"hep-ex/9912035","Tamar Djobava","L. Chkhaidze, T. Djobava, L. Kharkhelauri","Study of collective matter flow in central C-Ne and C-Cu collisions at
  energy of 3.7 GeV per nucleon","15 pages with 4 postscript figures. submitted to Phys.Lett.B","Phys.Lett. B479 (2000) 21-28","10.1016/S0370-2693(00)00346-4","TSU-HEPI-99-03","hep-ex",,"  The transverse momentum technique is used to analyse charged-particle
exclusive data in the central C-Ne and C-Cu interactions at energy of 3.7 Gev
per nucleon. The clear evidence of in-plane and out-of-plane (squeeze-out) flow
effects for protons and $\pi^{-}$ mesons have been obtained. In C-Ne
interactions the $\pi^{-}$ mesons in-plane flow is in the same direction to the
protons, while in C-Cu collisions pions show antiflow behaviour. From the
transverse momentum and azimuthal distributions of protons and pi^{-} mesons
with respect to the reaction plane the flow F (the measure of the amount of
collective transverse momentum transfer in the reaction plane) and the
parameter a_{2} (the measure of the strength of the anisotropic emission) have
been extracted. The flow effects increase with the mass of the particle and
atomic number of target A_{T}. The comparison of our in-plane flow results with
flow data of various projectile/target configurations had been done by a scaled
flow F_{S}=F/(A_{P}^{1/3}+A_{T}^{1/3}). F_{S} demonstrates a common scaling
behaviour among flow values from different systems.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 13:58:52 GMT""}]","2009-10-31"
"hep-lat/9912023","Peter Suranyi","Peter Suranyi","Vortes solutions in nonabelian Higgs theories","8 pages, added references, other changes, including title and
  abstract","Phys.Lett. B481 (2000) 136-142","10.1016/S0370-2693(00)00440-8","UCTP-120-99","hep-lat hep-th",,"  A new class of vortex solutions is found in SU(2) gauge theories with two
adjoint representation Higgs bosons. Implications of these new solutions and
their possible connection with Center Gauge fixed pure gauge theories are
discussed.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 16:31:55 GMT""},{""version"":""v2"",""created"":""Wed, 29 Dec 1999 20:44:10 GMT""},{""version"":""v3"",""created"":""Sat, 1 Jan 2000 01:31:18 GMT""},{""version"":""v4"",""created"":""Tue, 4 Apr 2000 15:07:45 GMT""}]","2016-09-01"
"hep-lat/9912024","M. N. Chernodub","M.N. Chernodub, E.-M. Ilgenfritz and A. Schiller","Embedded vortices and their interactions at electroweak crossover","4 pages, 4 EPS figures, uses crckapb.sty and epsfig.sty. Presented at
  the workshop ""Lattice fermions and structure of the vacuum"", 5-9 Oct. 1999,
  Dubna, Russia",,,"ITEP-TH-31/99 and LU-ITP 1999/022","hep-lat hep-ph",,"  We study properties of Z-vortices in the crossover region of the 3D SU(2)
Higgs model. Correlators of the vortex currents with gauge field energy and
Higgs field squared (""quantum vortex profile"") reveal a structure that can be
compared with a classical vortex. We define a core size and a penetration depth
from the vortex profile. Z-vortices are found to interact with each other
analogously to Abrikosov vortices in a type-I superconductor.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 16:43:11 GMT""}]","2007-05-23"
"hep-lat/9912025","Maarten F. L. Golterman","Wolfgang Bock, Maarten Golterman, Ka Chun Leung, Yigal Shamir","Abelian and Nonabelian Lattice Chiral Gauge Theories through Gauge
  Fixing","15 pages, contribution to workshop ""Lattice Fermions and Structure of
  the Vacuum"" (Dubna, Russia), uses crckapb.sty",,,,"hep-lat",,"  After an introduction in which we review the fundamental difficulty in
constructing lattice chiral gauge theories, we summarize the analytic and
numerical evidence that abelian lattice chiral gauge theories can be
nonperturbatively constructed through the gauge-fixing approach. In addition,
we indicate how we believe that the method may be extended to nonabelian chiral
gauge theories.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 20:37:36 GMT""}]","2007-05-23"
"hep-lat/9912026","Shoichi Ichinose","Shoichi Ichinose","Heat-Kernel Approach to the Overlap Formalism","Talk at CHIRAL'99, 9 pages, No figures","Chin.J.Phys.38:663-670,2000",,"US-99-09","hep-lat",,"  We present a new regularization method, for d dim (Euclidean) quantum field
theories in the continuum formalism, based on the domain wall configuration in
(1+d) dim space-time. It is inspired by the recent progress in the chiral
fermions on lattice. The wall ""height"" is given by 1/M, where M is a
regularization mass parameter and appears as a (1+d) dim Dirac fermion mass.
The present approach gives a {\it thermodynamic view} to the domain wall or the
overlap formalism in the lattice field theory. We will show qualitative
correspondence between the present continuum results and those of lattice. The
extra dimension is regarded as the (inverse) {\it temperature} t. The domains
are defined by the {\it directions} of the ""system evolvement"", not by the sign
of M as in the original overlap formalism. We take the 4 dim QED and 2 dim
chiral gauge theory as examples. Especially the consistent and covariant
anomalies are correctly obtained.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 06:55:54 GMT""},{""version"":""v2"",""created"":""Sat, 18 Dec 1999 03:47:31 GMT""}]","2011-04-15"
"hep-lat/9912027","Yigal Shamir","Yigal Shamir","Better Domain-Wall Fermions","13 pages, contribution to workshop ""Lattice Fermions and Structure of
  the Vacuum"" (Dubna, Russia), uses crckapb.sty",,,"TAUP 2603-99","hep-lat",,"  We discuss two modifications of domain-wall fermions, aimed to reduce the
chiral-symmetry violations presently encountered in numerical simulations.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 12:06:14 GMT""}]","2007-05-23"
"hep-ph/9912353","Laurent Lellouch","Laurent Lellouch (CERN/LAPTH/CPT Marseille)","Exclusive semileptonic B decays: lattice results and dispersive bounds","14 pages, 22 figure files, epsfig, JHEP.cls (included). Invited talk
  at the 8th International Symposium on Heavy Flavour Physics (Heavy Flavours
  8), Southampton, UK, 25-29 July 1999",,,"CERN-TH/99-352, LAPTH-Conf-765/99, CPT-99/P.3911","hep-ph hep-lat",,"  The current status of lattice and dispersive bound calculations for exclusive
semileptonic B decays is reviewed. Emphasis is placed on decays relevant for
the measurement of the sides of the unitarity triangle determined by |V_{ub}|
and |V_{cb}|.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 18:18:27 GMT""}]","2007-05-23"
"hep-ph/9912359","V. Markushin","S. von Rotz, M.P. Locher, V.E. Markushin (Paul Scherrer Institute,
  Switzerland)","Higher Order Two Step Mechanisms in Nucleon Antinucleon Annihilation and
  the OZI Rule","18 pages, 2 PostScript figures, will be published in Eur. Phys. J. A","Eur.Phys.J. A7 (2000) 261-269","10.1007/s100500050390","PSI-PR-99-31","hep-ph",,"  We evaluate three meson doorway mechanisms for nucleon-antinucleon
annihilation at rest for the first time. Detailed results are presented for the
final state phi pi0 originating from the 3S1 initial state and for the phi rho
channel originating from 1S0. The results presented also include the improved
contributions from two meson doorway states and from the tree diagrams. For all
the channels considered a consistent explanation of large and small OZI
violations emerges.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 16:40:41 GMT""},{""version"":""v2"",""created"":""Tue, 18 Jan 2000 16:57:27 GMT""}]","2009-10-31"
"hep-ph/9912360","Kaidalov","A. Kaidalov","Review of Theory Talks at Xxix International Symposium on Multiparticle
  Dynamics","12 pages, 0 postscript figures",,,"ITEP Moscow 99/66","hep-ph",,"  A short summary of main results of theoretical talks presented at XXIX
International Symposium on Multiparticle Dynamics is given.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 16:45:33 GMT""}]","2007-05-23"
"hep-ph/9912361","Xiaofeng Guo","Xiaofeng Guo, Jianwei Qiu, and Xiaofei Zhang","Nuclear dependence coefficient $\alpha(A,q_T)$ for the Drell-Yan and
  J/$\psi$ production","latex, 28 pages, 10 figures, updated two figures, and add more
  discussions","Phys.Rev. D62 (2000) 054008","10.1103/PhysRevD.62.054008","UK/TP 99-19","hep-ph nucl-th",,"  Define the nuclear dependence coefficient $\alpha(A,q_T)$ in terms of ratio
of transverse momentum spectrum in hadron-nucleus and in hadron-nucleon
collisions: $\frac{d\sigma^{hA}}{dq_T^2}/ \frac{d\sigma^{hN}}{dq_T^2}\equiv
A^{\alpha(A,q_T)}$. We argue that in small $q_T$ region, the $\alpha(A,q_T)$
for the Drell-Yan and J/$\psi$ production is given by a universal function:\
$a+b q_T^2$, where parameters a and b are completely determined by either
calculable quantities or independently measurable physical observables. We
demonstrate that this universal function $\alpha(A,q_T)$ is insensitive to the
A for normal nuclear targets. For a color deconfined nuclear medium, the
$\alpha(A,q_T)$ becomes strongly dependent on the A. We also show that our
$\alpha(A,q_T)$ for the Drell-Yan process is naturally linked to perturbatively
calculated $\alpha(A,q_T)$ at large $q_T$ without any free parameters, and the
$\alpha(A,q_T)$ is consistent with E772 data for all $q_T$.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 17:36:32 GMT""},{""version"":""v2"",""created"":""Tue, 11 Apr 2000 18:40:14 GMT""}]","2009-10-31"
"hep-ph/9912362","Oleg Lebedev","S.J. Gates, Jr., O. Lebedev","Searching for Supersymmetry in Hadrons","14 pages, 2 figures","Phys.Lett. B477 (2000) 216-222","10.1016/S0370-2693(00)00172-6","UMDEPP 00-47, VPI-IPPAP-99-12","hep-ph",,"  We discuss the possibility of the existence of a long-lived top squark
($\tau\ll 10^{10} years$) and its motivation. If the stop is indeed metastable,
it forms hadrons. We study properties of the low-energy stop-containing hadrons
and their signatures in collider experiments.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 19:11:24 GMT""}]","2019-08-14"
"hep-ph/9912363","Sergio Pastor","J. Lesgourgues, S. Pastor, S. Prunet","Cosmological measurement of neutrino mass in the presence of leptonic
  asymmetry","8 pages, 2 PS figures, version to be published","Phys.Rev.D62:023001,2000","10.1103/PhysRevD.62.023001","SISSA 149/99/EP","hep-ph astro-ph",,"  We show that even the smallest neutrino mass consistent with the
Super--Kamiokande data is relevant for cosmological models of structure
formation and cosmic microwave background (CMB) anisotropies, provided that a
relic neutrino asymmetry exists. We calculate the precision with which a 0.07
eV neutrino mass could be extracted from CMB anisotropy and large-scale
structure data by the future Planck satellite and Sloan Digital Sky Survey. We
find that such a mass can be detected, assuming a large relic neutrino
asymmetry still allowed by current experimental data. This measurement of the
absolute value of the neutrino mass would be crucial for our understanding of
neutrino models.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 19:24:07 GMT""},{""version"":""v2"",""created"":""Tue, 13 Jun 2000 12:53:14 GMT""}]","2009-12-30"
"hep-ph/9912364","Markus Diehl","M. Diehl, Th. Feldmann, P. Kroll and C. Vogt","The perturbative limit of the two-pion distribution amplitude","14 pages, 4 figures","Phys.Rev. D61 (2000) 074029","10.1103/PhysRevD.61.074029","WU B 99-30, SLAC-PUB-8320, PITHA 99/39","hep-ph",,"  We consider pion pair production in two-photon collisions, gamma* gamma ->
pi+ pi-, at large photon virtuality Q^2 and center-of-mass energy \sqrt{s} in
the hard-scattering picture. In the limit where s is large but s << Q^2 we
derive an expression for the two-pion light-cone distribution in terms of the
conventional pion distribution amplitudes. Our result reproduces the well-known
scaling behavior, helicity selection rule and symmetry relations in this
regime.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 19:34:58 GMT""}]","2009-10-31"
"hep-ph/9912365","Tomas Blazek","Gregory W. Anderson and Tomas Blazek","$E_6$ unification model building I: Clebsch-Gordan coefficients of
  $27\otimes \ol{27}$","11 pages, LaTeX","J.Math.Phys. 41 (2000) 4808-4816","10.1063/1.533380","NUHEP-TH-99-75","hep-ph",,"  In an effort to develop tools for grand unified model building for the Lie
group $E_6$, in this paper we present the computation of the Clebsch-Gordan
coefficients for the product (100000) $\otimes$ (000010), where (100000) is the
fundamental 27-dimensional representation of $E_6$ and (000010) is its charged
conjugate. The results are presented in terms of the dominant weight states of
the irreducible representations in this product. These results are necessary
for the group analysis of $E_6$ operators involving also higher
representations, which is the next step in this project. In this paper we apply
the results to the construction of the operator ${\bf 27}^3$.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 19:47:49 GMT""}]","2009-10-31"
"hep-ph/9912366","Sadek Wagdy Mansour","T.K. Kuo, Guo-Hong Wu, and Sadek W. Mansour","Mass Hierarchies and the Seesaw Neutrino Mixing","11 pages, no figures, replaced with final version. Minor corrections
  and one typo corrected. Added one reference","Phys.Rev.D61:111301,2000","10.1103/PhysRevD.61.111301","PURD-TH-99-09","hep-ph",,"  We give a general analysis of neutrino mixing in the seesaw mechanism with
three flavors. Assuming that the Dirac and u-quark mass matrices are similar,
we establish simple relations between the neutrino parameters and individual
Majorana masses. They are shown to depend rather strongly on the physical
neutrino mixing angles. We calculate explicitly the implied Majorana mass
hierarchies for parameter sets corresponding to different solutions to the
solar neutrino problem.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 20:52:02 GMT""},{""version"":""v2"",""created"":""Mon, 20 Mar 2000 15:46:31 GMT""}]","2009-12-30"
"hep-ph/9912367","Yuri V. Kovchegov","Yuri V. Kovchegov (BNL), Eugene Levin (BNL/Tel Aviv University), Larry
  McLerran (BNL)","Large Scale Rapidity Correlations in Heavy Ion Collisions","REVTeX, 13 pages, 3 figures","Phys.Rev. C63 (2001) 024903","10.1103/PhysRevC.63.024903","BNL-NT-99/7, TAUP-2613-99","hep-ph nucl-ex nucl-th",,"  We discuss particle production mechanisms for heavy ion collisions. We
present an argument demonstrating how the fluctuations of the number of
produced particles in a series of classical emissions can account for KNO
scaling. We predict rapidity correlations in the particle production in the
event by event analysis of heavy ion collisions on the rapidity scales of the
order of one over the strong coupling constant.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 22:06:35 GMT""}]","2009-10-31"
"hep-ph/9912368","Andrzej Zembrzuski","Maria Krawczyk and Andrzej Zembrzuski (Institute of Theoretical
  Physics, Warsaw University, Poland)","The forward photon production and the gluonic content of the real and
  virtual photon at the HERA collider","7 pages, 2 ps figures, latex using psfig.sty and axodraw.sty.
  Presented at the International Conference on the Structure and Interactions
  of the Photon, PHOTON'99, 23-27 May 1999, Freiburg im Breisgan, Germany","Nucl.Phys.Proc.Suppl. 82 (2000) 167-172","10.1016/S0920-5632(00)00149-3","IFT 99/16","hep-ph",,"  The discussion on the production of prompt photons with pT of a few GeV in
the tagged process ep -> e gamma X with small Q^2 (DIC process) at the HERA
collider is presented. Photons produced in the forward (proton) direction are
mainly originating from subprocesses involving interactions of the gluonic
content of the exchanged photon. The large enhancement over the Born term
(direct photon) is found up to a factor of 35 for a real photon and up to 5 for
a virtual photon with a squared virtuality 1 GeV^2. It gives a possibility of
extracting a gluonic density of the real and of the virtual photon. The BFKL
approach to the description of the forward particle production is shortly
discussed.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 22:31:19 GMT""}]","2009-10-31"
"hep-ph/9912369","Gerhard Buchalla","Gerhard Buchalla (CERN)","CP Violation and Rare Kaon Decays","Plenary talk at EPS-HEP99, Tampere, Finland, 21 pages, 6 figures",,,"CERN-TH/99-395","hep-ph",,"  We summarize both the study of CP violation with $K$ and $B$ mesons, as well
as rare decays of kaons, emphasizing recent developments. The topics discussed
include the unitarity triangle, $\epsilon'/\epsilon$, $K\to\pi\nu\bar\nu$ and
other rare $K$ decays, T-odd asymmetries in kaon physics, theoretical aspects
of CP violation in B decays, $B\to J/\Psi K_S$, $B\to\pi\pi$, $B\to\pi K$ and
inclusive CP asymmetries.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 22:47:36 GMT""}]","2007-05-23"
"hep-ph/9912370","Jen-Chieh Peng","Jen-Chieh Peng and Gerald T. Garvey","Flavor Asymmetry of the Sea Quark Distributions","48 pages, 16 figures, to be published in ""Trend in Particle and
  Nuclear Physics"", Volume 1, Plenum Press, New York",,,"LA-UR-99-5003","hep-ph",,"  Recent deep inelastic scattering and Drell-Yan experiments have revealed a
surprisingly large asymmetry between the up and down sea quark distributions in
the nucleon. In this article, we review the status of the flavor asymmetry of
the nucleon sea. The implications of the recent results on various theoretical
models as well as possible future measurements are also discussed.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 23:34:03 GMT""},{""version"":""v2"",""created"":""Thu, 6 Jan 2000 01:26:09 GMT""}]","2007-05-23"
"hep-ph/9912371","Jen-Chieh Peng","Jen-Chieh Peng","Dileptons from P-Nucleus Collisions","11 pages, 8 figures, Paper presented at the 11th International Light
  Cone Conference Workshop, June 21-25, 1999, Kyungju, Korea. Published in AIP
  Conference Proceedings 494 (1999)","AIP Conf.Proc.494:503-512,1999","10.1063/1.1301701","LA-UR-99-5004","hep-ph",,"  Various QCD tests using recent results from fixed-target dimuon production
experiments at Fermilab are discussed. We emphasize that clear evidence for
scaling-violation in the Drell-Yan process remains to be established. Further
experimental and theoretical work are needed to understand the polarization of
the Drell-Yan pairs. The nuclear medium effects for dilepton productions are
also discussed. In particular, the energy-loss of partons traversing nuclear
medium is deduced from the Drell-Yan nuclear dependence.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 00:54:28 GMT""}]","2010-12-13"
"hep-ph/9912372","Hai-Yang Cheng","Hai-Yang Cheng","Hadronic Two-Body Charmless B Decays","7 pages, invited talk presented at the Third International Conference
  on B Physics and CP Violation, Dec. 3-7, Taipei",,"10.1142/9789812791870_0034",,"hep-ph",,"  Implications of recent CLEO measurements of hadronic charmless B decays are
discussed.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 02:02:54 GMT""}]","2016-11-23"
"hep-ph/9912373","Asakawa Eri","Eri Asakawa, Jun-ichi Kamoshita, Akio Sugamoto, Isamu Watanabe","Production of Scalar Higgs and Pseudoscalar Higgs in Multi-Higgs Doublet
  Models at $\gamma\gamma$ Colliders","23 pages, LATEX file with 8 PS figures, to be published in
  Eur.Phys.J.C","Eur.Phys.J.C14:335-345,2000","10.1007/s100520000347","OCHA-PP-130, AJC-HEP-32","hep-ph",,"  We present the effects of heavy CP-even (H) and CP-odd (A) Higgs bosons on
the production cross section of the process $\gamma\gamma$ $\to t\bar{t}$ at
the energy around the mass poles of the Higgs bosons. It is found that the
interference between H and A with the small mass gap, as well as the ones
between Higgs bosons and the continuum, contributes to the cross section, if
the photon beams are polarized and if we observe the helicity of the top
quarks. It is demonstrated in the framework of the minimal supersymmetric
extension of the standard model that the H and A contributions can be sizable
at future $\gamma\gamma$ colliders for small value of $\tan\beta$. The methods
to measure the CP-parity of the Higgs boson are also presented. The statistical
significances of detecting the Higgs signals and measuring the Higgs CP-parity
are evaluated.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 02:43:38 GMT""},{""version"":""v2"",""created"":""Mon, 31 Jan 2000 03:46:59 GMT""}]","2015-06-25"
"hep-ph/9912374","Shi-yuan Li","Shi-yuan Li, Zong-guo Si, Qu-bing Xie, Qun Wang","$e^{+}e^{-}\to Z^0Z^0\to b\bar{b}c\bar{c}$ events as model independent
  probe of colour reconnection effects","16 pages, 3 ps figures, Latex format","Phys.Lett.B458:370-374,1999","10.1016/S0370-2693(99)00594-8",,"hep-ph",,"  According to the basic properties of QCD, colour reconnection effects can
occur in hadronic processes at high energies. The comparison of $e^{+}e^{-}\to
Z^0Z^0\to q\bar{q}q'\bar{q'}$ events with the superposition of $Z^0\to
q\bar{q}$ and $Z^0\to q'\bar{q'}$ events from LEP1 would provide an unambiguous
model-independent probe. We show that at LEP2 energy, the background processes
are negligible if we select only $e^{+}e^{-}\to Z^0Z^0\to b \bar{b}c\bar{c}$
events, and limit the measurements in the phase space of on-shell $Z^0Z^0$
events.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 04:47:52 GMT""}]","2011-01-25"
"hep-ph/9912375","C. S. Lim","C.S. Lim and Bungo Taga (Kobe U.)","Effective Action Approach to Heavy Particle Contributions and Wilsonian
  Renormalization","13 pages, LaTeX209 file, using axodraw.sty","Prog.Theor.Phys. 103 (2000) 795-806","10.1143/PTP.103.795","KOBE-TH-99-08","hep-ph",,"  We work in theories with both light and heavy particles. A method to obtain
an effective low energy action with respect to the light particle is presented.
Thanks to Wilsonian renormalization, we obtain effective actions with finite
number of local operators describing possible non-decoupling effects of heavy
particles. The validity of the method is first checked by explicit computation
of a specific observable, the $\rho$ - parameter, in the framework of effective
theory. Then we discuss a procedure to obtain the full effective action with
respect to light particles in a typical example of the system of (t, b)
doublet, gauge bosons and Higgs doublet, regarding only t quark as a heavy
particle.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 09:59:00 GMT""},{""version"":""v2"",""created"":""Tue, 21 Dec 1999 03:21:15 GMT""}]","2009-10-31"
"hep-ph/9912376","Maxim Polyakov","B. Dressler, M.V. Polyakov","On the twist-3 contribution to h_L in the instanton vacuum","6 pages, no figures","Phys.Rev. D61 (2000) 097501","10.1103/PhysRevD.61.097501",,"hep-ph",,"  We show that the instanton model of the QCD vacuum indicates the parametric
smallness of the twist-3 contributions to the polarized structure function h_L.
This smallness is related to the diluteness of the QCD instanton vacuum.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 10:09:45 GMT""}]","2009-10-31"
"hep-ph/9912377","Casalbuoni","R. Casalbuoni, S. De Curtis and D. Guetta","Study of the anomalous couplings at NLC with polarized beams","15 pages, 8 figures, contribution to ECFA-DESY working group",,,"LC-TH-1999-013","hep-ph",,"  The present contribution reports a study of the effects of anomalous gauge
and fermionic couplings in the process $e^+e^- -> W^+W^-$ at the Next Linear
Collider focusing in particular on the option of polarized beams. We conclude
that polarized beams with adjustable degree of polarization would constitute a
very significant tool in the search for new physics.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 11:55:59 GMT""}]","2007-05-23"
"hep-ph/9912378","Marina Nielsen","F. Carvalho, F. O. Dur\~aes, F. S. Navarra, M. Nielsen and F. M.
  Steffens","Meson Cloud and SU(3) Symmetry Breaking in Parton Distributions","17 pages, LaTeX, 8 figures in .ps files","Eur.Phys.J.C18:127-136,2000","10.1007/s100520000512",,"hep-ph",,"  We apply the Meson Cloud Model to the calculation of nonsinglet parton
distributions in the nucleon sea, including the octet and the decuplet cloud
baryon contributions. We give special attention to the differences between
nonstrange and strange sea quarks, trying to identify possible sources of SU(3)
flavor breaking. A analysis in terms of the $\kappa$ parameter is presented,
and we find that the existing SU(3) flavor asymmetry in the nucleon sea can be
quantitatively explained by the meson cloud. We also consider the $\Sigma^+$
baryon, finding similar conclusions.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 14:11:40 GMT""}]","2014-11-17"
"hep-ph/9912379","Dieter Mueller","A.V. Belitsky, A. Freund, D. M\""uller","Evolution kernels of skewed parton distributions: method and two-loop
  results","53 pages LaTeX, 1 figure","Nucl.Phys. B574 (2000) 347-406","10.1016/S0550-3213(00)00012-2",,"hep-ph",,"  We present a formalism and explicit results for two-loop flavor singlet
evolution kernels of skewed parton distributions in the minimal subtraction
scheme. This approach avoids explicit multiloop calculations in QCD and is
based on the known pattern of conformal symmetry breaking in this scheme as
well as constraints arising from the graded algebra of the $\cN = 1$ super
Yang-Mills theory. The conformal symmetry breaking part of the kernels is
deduced from commutator relations between scale and special conformal anomalies
while the symmetric piece is recovered from the next-to-leading order splitting
functions and $\cN = 1$ supersymmetry relations.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 14:17:54 GMT""}]","2009-10-31"
"hep-ph/9912380","Amadeus On The Run","Darwin Chang and A. Zee","Radiatively Induced Neutrino Majorana Masses and Oscillation","17 pages, 5 figures, RevTex file","Phys.Rev.D61:071303,2000","10.1103/PhysRevD.61.071303",,"hep-ph",,"  We review and remark on models of radiatively induced neutrino Majorana
masses and oscillations. It is pointed out that while the models are capable of
accounting for the observed solar and atmospheric neutrino oscillation, some of
them can also induce neutrinoless double beta decay and $\mu^-$ -- $e^+$
conversion in nuclei large enough to be potentially observable in the near
future.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 14:19:00 GMT""}]","2009-12-30"
