"adap-org/9912001","J. Doyne Farmer","J. Doyne Farmer and Andrew W. Lo","Frontiers of finance: Evolution and efficient markets","2 pages","Proceedings of the National Academy of Science, Vol . 96, p.
  9991-9992","10.1073/pnas.96.18.9991",,"adap-org nlin.AO",,"  In this review article we explore several recent advances in the quantitative
modeling of financial markets. We begin with the Efficient Markets Hypothesis
and describe how this controversial idea has stimulated a number of new
directions of research, some focusing on more elaborate mathematical models
that are captable of rationalizing the empirical facrts, others taking a
completely different different tack in rejecting rationality altogether. One of
the most promising directions is to view financial markets from a biological
perspective and, specifically, with an evolutionary framework in which markets,
instruments, institutions, and investors interact and evolve dynamically
according to the ""law"" of economic selection. Under this view, financial agents
compete and adapt, but they do not necessarily do so in an optimal fashion.
Evolutionary and ecological models of financial markets is truly a new frontier
whose exploration has just begun.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 22:11:21 GMT""}]","2009-10-31"
"gr-qc/9912035","Massimo Giovannini","D. Babusci (LNF, INFN) and M. Giovannini (Institute for Theoretical
  Physics, Lausanne University)","Upgraded VIRGO detector(s) and stochastic gravitational waves
  backgrounds","19 pages in Revtex style, 9 figures",,,"UNIL-IPT/99-7","gr-qc astro-ph hep-ph hep-th",,"  The sensitivity achievable by a pair of VIRGO detectors to stochastic and
isotropic gravitational wave backgrounds of cosmological origin is discussed in
view of the development of a second VIRGO interferometer. We describe a
semi-analytical technique allowing to compute the signal-to-noise ratio for
(monotonic or non-monotonic) logarithmic energy spectra of relic gravitons of
arbitrary slope. We apply our results to the case of two correlated and
coaligned VIRGO detectors and we compute their achievable sensitivities. The
maximization of the overlap reduction function is discussed. We focus our
attention on a class of models whose expected sensitivity is more promising,
namely the case of string cosmological gravitons. We perform our calculations
both for the case of minimal string cosmological scenario and in the case of a
non-minimal scenario where a long dilaton dominated phase is present prior to
the onset of the ordinary radiation dominated phase. In this framework, we
study possible improvements of the achievable sensitivities by selective
reduction of the thermal contributions (pendulum and pendulum's internal modes)
to the noise power spectra of the detectors. Since a reduction of the shot
noise does not increase significantly the expected sensitivity of a VIRGO pair
(in spite of the relative spatial location of the two detectors) our findings
support the experimental efforts directed towards a substantial reduction of
thermal noise.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 12:28:50 GMT""}]","2007-05-23"
"hep-ex/9912018","Steven Worm","CDF Collaboration","Search for Scalar Top Quark Production in p-pbar Collisions at 1.8 TeV","13 pages, 4 figures","Phys.Rev.Lett.84:5273-5278,2000","10.1103/PhysRevLett.84.5273","FERMILAB-PUB-99/340-E","hep-ex",,"  We have searched for direct production of scalar top quarks at the Collider
Detector at Fermilab in 88 pb-1 of p anti-p collisions at s**(1/2) = 1.8 TeV.
We assume the scalar top quark decays into either a bottom quark and a chargino
or a bottom quark, a lepton, and a scalar neutrino. The event signature for
both decay scenarios is a lepton, missing transverse energy, and at least two
b-quark jets. For a chargino mass of 90 GeV/c2 and scalar neutrino masses of at
least 40 GeV/c2, we find no evidence for scalar top production and present
upper limits on the production cross section in both decay scenarios.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 20:05:37 GMT""}]","2012-08-27"
"hep-lat/9912015","Pedro Bicudo","Pedro J. de A. Bicudo","Criterium for the index theorem on the lattice","Talk presented in '' II International Workshop on Hadron Physics'',
  25-29 September, 2002, Coimbra, Portugal and presented in, '' Quark
  confinement and the hadron spectrum V '', 10-14 September 2002, Gargnano,
  Italy",,,,"hep-lat",,"  We study how far the Index Theorem can be extrapolated from the continuum to
finite lattices with finite topological charge densities. To examine how the
Wilson action approximates the Index theorem, we specialize in the lattice
version of the Schwinger model. We propose a new criterion for solutions of the
Ginsparg-Wilson Relation constructed with the Wilson action. We conclude that
the Neuberger action is the simplest one that maximally complies with the Index
Theorem, and that its best parameter in d=2 is m0=1.1 +- 0.1 .
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 13:04:45 GMT""},{""version"":""v2"",""created"":""Fri, 19 May 2000 10:09:20 GMT""},{""version"":""v3"",""created"":""Sat, 7 Oct 2000 09:17:45 GMT""},{""version"":""v4"",""created"":""Tue, 24 Oct 2000 22:25:39 GMT""},{""version"":""v5"",""created"":""Wed, 7 Nov 2001 17:37:25 GMT""},{""version"":""v6"",""created"":""Fri, 6 Dec 2002 14:57:42 GMT""}]","2007-05-23"
"hep-lat/9912016","Adriano Di Giacomo","Adriano Di Giacomo","Non Perturbative QCD","Lectures delivered at the XVII Autumn School of Physics ""QCD:
  Perturbative or Nonperturbative?"", Lisboa 29 Sept.- 4 Oct. 1999. To appear on
  the proceedings",,,"IFUP-TH 66/99","hep-lat hep-ph",,"  This series of lectures consists of two parts. In the first part the
foundations of perturbative and non perturbative formulation are discussed. The
ambiguity in the definition of vacuum condensates is then analyzed. In the
second part the symmetry patterns of the deconfining phase transition are
discussed.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 15:56:14 GMT""}]","2007-05-23"
"hep-ph/9912271","Moultaka Gilbert","D. Kazakov, G. Moultaka","Analytical Study of Non-Universality of the Soft Terms in the MSSM","Latex, 18 pages, 3 figures","Nucl.Phys. B577 (2000) 121-138","10.1016/S0550-3213(00)00107-3","PM/99-49","hep-ph",,"  We obtain general analytical forms for the solutions of the one-loop
renormalization group equations in the top/bottom/$\tau$ sector of the MSSM.
These solutions are valid for any value of $\tan \beta$ as well as any
non-universal initial conditions for the soft SUSY breaking parameters and
non-unification of the Yukawa couplings. We establish analytically a generic
screening effect of non-universality, in the vicinity of the infrared quasi
fixed point, which allows to determine sector-wise a hierarchy of sensitivity
to initial conditions. We give also various numerical illustrations of this
effect away from the quasi fixed point and assess the sensitivity of the Higgs
and sfermion spectra to the non-universality of the various soft breaking
sectors. As a by-product, a typical anomaly-mediated non-universality of the
gaugino sector would have marginal influence on the scalar spectrum.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 19:24:35 GMT""}]","2009-10-31"
"hep-ph/9912272","Jean-Marc Virey","P. Taxil, E. Tugcu and J.-M. Virey","Search and identification of Scalar and Vector Leptoquarks at HERA with
  polarization","Version to appear in Eur.Phys.J.C. 3 typos have been corrected","Eur.Phys.J.C14:165-178,2000","10.1007/s100520050743","DO-TH 99/15, CPT-99/P.3831","hep-ph",,"  We analyze the effects of Scalar and Vector Leptoquarks on various
observables in electron (positron) - proton deep inelastic scattering. In view
of the future program of the HERA collider, with a high luminosity and also
with polarization, we present the constraints that can be reached using this
facility for several Leptoquark scenarios. We address the question of the
identification of the nature of a discovered Leptoquark. We emphasize the
relevance of having polarized lepton and proton beams in order to disentangle
completely the various Leptoquark models. This study is also relevant in the
context of the TESLA$\times$HERA project.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 16:45:05 GMT""},{""version"":""v2"",""created"":""Wed, 12 Jan 2000 14:00:00 GMT""}]","2011-09-13"
"hep-ph/9912273","Rudnei O. Ramos","Marcus B. Pinto and Rudnei O. Ramos","A Nonperturbative Study of Inverse Symmetry Breaking at High
  Temperatures","28 pages,5 eps figures (uses epsf), RevTeX. Only a small misprint in
  Eq. (2.10) and a couple of typos fixed","Phys.Rev. D61 (2000) 125016","10.1103/PhysRevD.61.125016","DFT-IF-UERJ-99/21","hep-ph hep-th",,"  The optimized linear $\delta$-expansion is applied to multi-field $O(N_1)
\times O(N_2)$ scalar theories at high temperatures. Using the imaginary time
formalism the thermal masses are evaluated perturbatively up to order
$\delta^2$ which considers consistently all two-loop contributions. A
variational procedure associated with the method generates nonperturbative
results which are used to search for parameters values for inverse symmetry
breaking (or symmetry nonrestoration) at high temperatures. Our results are
compared with the ones obtained by the one-loop perturbative approximation, the
gap equation solutions and the renormalization group approach, showing good
agreement with the latter method. Apart from strongly supporting inverse
symmetry breaking (or symmetry nonrestoration), our results reveal the
possibility of other high temperature symmetry breaking patterns for which the
last term in the breaking sequence is $O(N_1-1) \times O(N_2-1)$.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 21:21:15 GMT""},{""version"":""v2"",""created"":""Tue, 14 Dec 1999 13:15:26 GMT""}]","2009-10-31"
"hep-ph/9912274","Krishna Rajagopal","Boris Berdnikov (MIT), Krishna Rajagopal (MIT)","Slowing Out of Equilibrium Near the QCD Critical Point","21 pages, 5 figures, reference added, typo corrected, to appear in
  Phys. Rev. D","Phys.Rev. D61 (2000) 105017","10.1103/PhysRevD.61.105017","MIT-CTP-2931","hep-ph hep-ex nucl-ex nucl-th",,"  The QCD phase diagram may feature a critical end point at a temperature T and
baryon chemical potential $\mu$ which is accessible in heavy ion collisions.
The universal long wavelength fluctuations which develop near this Ising
critical point result in experimental signatures which can be used to find the
critical point. The magnitude of the observed effects depends on how large the
correlation length $\xi$ becomes. Because the matter created in a heavy ion
collision cools through the critical region of the phase diagram in a finite
time, critical slowing down limits the growth of $\xi$, preventing it from
staying in equilibrium. This is the fundamental nonequilibrium effect which
must be calculated in order to make quantitative predictions for experiment. We
use universal nonequilibrium dynamics and phenomenologically motivated values
for the necessary nonuniversal quantities to estimate how much the growth of
$\xi$ is slowed.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 21:27:45 GMT""},{""version"":""v2"",""created"":""Mon, 31 Jan 2000 20:27:19 GMT""}]","2009-10-31"
"hep-ph/9912275","Rudolph C. Hwa","Rudolph C. Hwa and Qing-hui Zhang","Erraticity of Rapidity Gaps","10 pages LaTeX + 5 figures ps","Phys.Rev. D62 (2000) 014003","10.1103/PhysRevD.62.014003","OITS-684","hep-ph",,"  The use of rapidity gaps is proposed as a measure of the spatial pattern of
an event. When the event multiplicity is low, the gaps between neighboring
particles carry far more information about an event than multiplicity spikes,
which may occur very rarely. Two moments of the gap distrubiton are suggested
for characterizing an event. The fluctuations of those moments from event to
event are then quantified by an entropy-like measure, which serves to describe
erraticity. We use ECOMB to simulate the exclusive rapidity distribution of
each event, from which the erraticity measures are calculated. The dependences
of those measures on the order of $q$ of the moments provide single-parameter
characterizations of erraticity.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 21:57:14 GMT""}]","2009-10-31"
"hep-ph/9912276","Dennis E. Krause","Dennis E. Krause and Ephraim Fischbach","Searching for Extra Dimensions and New String-Inspired Forces in the
  Casimir Regime","16 pages, 6 figures, LaTeX, (uses cite.sty), will appear in ""Testing
  General Relativity in Space: Gyroscopes, Clocks, and Interferometers,"" edited
  by C. L\""ammerzahl, C. W. F. Everitt, F. W. Hehl (Springer-Verlag, 2000);
  replaced with slight revision which adds an additional reference and updates
  another reference","Lect.Notes Phys. 562 (2001) 292-309","10.1007/3-540-40988-2_14",,"hep-ph",,"  The appearance of new fundamental forces and extra-dimensional modifications
to gravity in extensions of the Standard Model has motivated considerable
interest in testing Newtonian gravity at short distances (<10^-3 m). Presently
a number of new gravity experiments are searching for non-Newtonian effects in
the ranges 10^-4 m -- 10^-3 m. However, as challenging as these experiments
are, formidable new obstacles await the next generation of experiments which
will probe gravity at distances <10^-4 m where Casimir/van der Waals forces
become dominant. Here we will review the motivation for conducting such very
short distance gravity experiments, and discuss some of the new problems that
may arise in future experiments. Finally, we suggest schematic designs for null
experiments which would address some of these problems using the
``iso-electronic'' and ``finite-size'' effects.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 01:59:21 GMT""},{""version"":""v2"",""created"":""Mon, 13 Dec 1999 21:48:25 GMT""}]","2016-12-07"
"hep-ph/9912277","Liaoyi","Jun-Yu Guo, Yi Liao and Yu-Ping Kuang (Tsinghua Univ)","Associated production of Higgs bosons and heavy quarks at photon
  colliders","Version to appear in Phys. Rev. D. Conclusions are not changed, but
  some changes are made: (1) The title is changed to better fit the content;
  (2) More precise relations amongst Higgs masses and angles are used to
  compute couplings and cross sections. Numerical results are accordingly
  revised; (3) References are updated and more are added",,"10.1103/PhysRevD.62.035007","TU-HEP-TH-99/110","hep-ph",,"  The idea of fermion mass generation through Yukawa couplings between Higgs
bosons and fermions may be tested by their associated production at future
linear colliders (LC). We study the production mechanism in the minimal
supersymmeric standard model at photon colliders that can be realized by the
laser back-scattering technique at the LC. We find that the cross sections for
the production of the light Higgs-top pair, heavy Higgs-bottom pair and
pseudoscalr Higgs-bottom pair can reach the level of \sim 1.0 fb or higher for
phenomenologically favoured values of the parameters in the Higgs sector. Since
this mechanism is not affected by the appearance of Higgs resonances as in
electron collisions, it may provide a more sensitive way to determine the
Yukawa couplings between Higgs bosons and heavy quarks.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 14:12:30 GMT""},{""version"":""v2"",""created"":""Sun, 9 Apr 2000 04:03:28 GMT""}]","2009-10-31"
"hep-ph/9912278","Peter John","S.J. Huber, P. John, M. Laine and M.G. Schmidt","CP Violating Bubble Wall Profiles",,"Phys.Lett.B475:104-110,2000","10.1016/S0370-2693(00)00064-2",,"hep-ph",,"  We solve the equations of motion for a CP violating phase between the two
Higgs doublets at the bubble wall of the MSSM electroweak phase transition.
Contrary to earlier suggestions, we do not find indications of spontaneous
``transitional'' CP violation in the MSSM. On the other hand, in case there is
explicit CP violation in the stop and chargino/neutralino sectors, the relative
phase between the Higgses does become space dependent, but only mildly even in
the maximal case. We also demonstrate that spontaneous CP violation within the
bubble wall could occur, e.g., if the Higgs sector of the MSSM were
supplemented by a singlet. Finally we point out some implications for
baryogenesis computations.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 14:02:59 GMT""}]","2014-11-17"
"hep-ph/9912279","Gian Giudice","G.F. Giudice (CERN)","Recent Developments in Physics Beyond the Standard Model","25 pages, 2 eps figures","Int.J.Mod.Phys.A15S1:440-463,2000; eConf C990809:440-463,2000",,,"hep-ph",,"  In this talk I discuss some recent developments in physics beyond the
Standard Model. After some initial comments on neutrino masses, I discuss the
status of low-energy supersymmetry and finally turn to describing some recent
work in theories with extra spatial dimensions. Plenary talk at the XIX
International Symposium on Lepton and Photon Interactions at High Energies,
Stanford University, 9-14 August 1999.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 14:33:19 GMT""}]","2011-04-15"
"hep-ph/9912280","Don Lichtenberg","D.B. Lichtenberg","Whither Hadron Supersymmetry?","7 pages, plaintex, no figures",,,"IUHET-416","hep-ph",,"  A dynamically broken hadron supersymmetry appears to exist as a consequence
of QCD. The reasons for the supersymmetry appear most transparently in the
framework of the constituent quark model with a diquark approximation to two
quarks. Applications of the supersymmetry have led to relations between meson
and baryon masses and to predictions that certain kinds of exotic hadrons
should not be observed. I summarize the successful applications and discuss
possible future directions for this research.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 15:58:21 GMT""}]","2007-05-23"
"hep-th/9912060","Martin Gremm","Martin Gremm","Four-dimensional gravity on a thick domain wall","11 pages, 2 figures, references added","Phys.Lett. B478 (2000) 434-438","10.1016/S0370-2693(00)00303-8","PUPT-1903","hep-th",,"  We consider an especially simple version of a thick domain wall in $AdS$
space and investigate how four-dimensional gravity arises in this context. The
model we consider has the advantage, that the equivalent quantum mechanics
problem can be stated in closed form. The potential in this Schr\""odinger
equation suggests that there could be resonances in the spectrum of the
continuum modes. We demonstrate that there are no such resonances in the model
we consider.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 23:54:50 GMT""},{""version"":""v2"",""created"":""Sat, 11 Dec 1999 22:10:40 GMT""}]","2009-10-31"
"hep-th/9912065","Andre Miemiec","D. Lust and A. Miemiec","Supersymmetric M5-branes with H-field","10 pages,1 figure, minor corrections, 1 reference added","Phys.Lett.B476:395-401,2000","10.1016/S0370-2693(00)00136-2",,"hep-th",,"  In this paper we investigate the form of calibrated M5-branes in the presence
of a nonvanishing 3-form field H. We discuss the influence of the H-field on
the deformation of supersymmetric n-cycles (in particular SLAG submanifolds in
R^n). In addition we argue for a construction which relates calibrated
M5-branes of different curved dimensions to each other.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 18:29:47 GMT""},{""version"":""v2"",""created"":""Thu, 16 Dec 1999 11:25:53 GMT""}]","2009-10-07"
"hep-th/9912067","Katrin Wendland","W. Nahm (Bonn U.), K. Wendland (Bonn U.)","A Hiker's Guide to K3 - Aspects of N=(4,4) Superconformal Field Theory
  with central charge c=6","58 pages, version submitted to Comm. Math. Phys; references added and
  minor mistakes corrected","Commun.Math.Phys.216:85-138,2001","10.1007/PL00005548",,"hep-th math-ph math.MP",,"  We study the moduli space ${\cal M}$ of N=(4,4) superconformal field theories
with central charge c=6. After a slight emendation of its global description we
find the locations of various known models in the component of ${\cal M}$
associated to K3 surfaces. Among them are the Z_2 and Z_4 orbifold theories
obtained from the torus component of ${\cal M}$. Here, SO(4,4) triality is
found to play a dominant role. We obtain the B-field values in direction of the
exceptional divisors which arise from orbifolding. We prove T-duality for the
Z_2 orbifolds and use it to derive the form of ${\cal M}$ purely within
conformal field theory. For the Gepner model (2)^4 and some of its orbifolds we
find the locations in ${\cal M}$ and prove isomorphisms to nonlinear sigma
models. In particular we prove that the Gepner model (2)^4 has a geometric
interpretation with Fermat quartic target space.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 18:18:56 GMT""},{""version"":""v2"",""created"":""Fri, 24 Dec 1999 12:52:06 GMT""},{""version"":""v3"",""created"":""Fri, 14 Jul 2000 19:15:04 GMT""}]","2009-02-23"
"hep-th/9912072","Shiraz Minwalla","Shiraz Minwalla, Mark Van Raamsdonk and Nathan Seiberg","Noncommutative Perturbative Dynamics","33 pages, 17 figures, harvmac; v2 minor changes","JHEP 0002:020,2000","10.1088/1126-6708/2000/02/020","PUPT-1905 IASSNS-HEP-99-112","hep-th",,"  We study the perturbative dynamics of noncommutative field theories on R^d,
and find an intriguing mixing of the UV and the IR. High energies of virtual
particles in loops produce non-analyticity at low momentum. Consequently, the
low energy effective action is singular at zero momentum even when the original
noncommutative field theory is massive. Some of the nonplanar diagrams of these
theories are divergent, but we interpret these divergences as IR divergences
and deal with them accordingly. We explain how this UV/IR mixing arises from
the underlying noncommutativity. This phenomenon is reminiscent of the channel
duality of the double twist diagram in open string theory.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 23:03:50 GMT""},{""version"":""v2"",""created"":""Tue, 21 Dec 1999 22:13:54 GMT""}]","2009-10-31"
"hep-th/9912073","Miguel S. Costa","Miguel S. Costa (Princeton University)","Absorption by Double-Centered D3-Branes and the Coulomb Branch of N=4
  SYM Theory","25 pages, 3 figures, Latex; (v2) a few details corrected, references
  added; (v3) minor corrections, version to appear in JHEP","JHEP 0005:041,2000","10.1088/1126-6708/2000/05/041","PUPT-1906","hep-th",,"  We calculate the classical cross-section for absorption of a minimally
coupled scalar in the double-centered D3-brane geometry. The dual field theory
has gauge symmetry broken to S(U(N_1)*U(N_2)) and is on the Coulomb branch of
N=4 Super Yang-Mills theory. Our analysis is valid at energy scales much
smaller than the W particles mass, giving logarithmic corrections to the cross
section calculated at the IR conformal fixed points. These corrections are
associated with deformations of the N=4 Super Yang-Mills theory by irrelevant
operators that break conformal invariance and correspond to processes where a
virtual pair of gauge particles or a virtual pair of W bosons interact with the
incident wave to create a pair of gauge particles.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 04:05:24 GMT""},{""version"":""v2"",""created"":""Mon, 27 Mar 2000 19:25:04 GMT""},{""version"":""v3"",""created"":""Tue, 6 Jun 2000 02:35:57 GMT""}]","2010-02-03"
"hep-th/9912074","Chuan-Jie Zhu","Roberto Iengo, Chuan-Jie Zhu","Evidence for Nonvanishing Cosmological Constant in NonSusy Superstring
  Models","30 pages, Latex","JHEP 0004 (2000) 028","10.1088/1126-6708/2000/04/028",,"hep-th",,"  We reanalyse the computation of the cosmological constant $\Lambda$ at two
loops in recently proposed Superstring models without massless gravitini, both
in the theta-function based formalism and by a detailed computation in the more
explicit hyperelliptic description of the underlying genus two Riemann surface.
$\Lambda$ is expressed as the integral over the surface moduli of an amplitude
which is zero if susy is not completely broken, but we find it to be
nonvanishing in the susy breaking models which can be given an explicitly
workable fermionic formulation. Thus unfortunately the issue of getting
realistic and perturbatively viable models from Superstring Theory remains
open.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 05:09:42 GMT""}]","2009-10-31"
"hep-th/9912075","Irina Aref'eva","I. Ya. Aref'eva, D. M. Belov, A. S. Koshelev","Two-Loop Diagrams in Noncommutative $\phi^4_4$ theory","11 pages, 9 figures, Table and references added, typos corrected","Phys.Lett.B476:431-436,2000","10.1016/S0370-2693(00)00169-6","SMI-15-99","hep-th",,"  Explicit two-loop calculations in noncommutative $\phi^4_4$ theory are
presented. It is shown that the model is two-loop renormalizable.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 08:14:50 GMT""},{""version"":""v2"",""created"":""Tue, 14 Dec 1999 16:57:05 GMT""}]","2008-11-26"
"hep-th/9912076","Dmitri Sorokin","Paolo Pasti, Dmitri Sorokin and Mario Tonin","Branes in Super-AdS Backgrounds and Superconformal Theories","LaTeX file, 14 pages. Talk given by D.S. at the International
  Workshop ``Supersymmetry and Quantum Symmetries'', JINR, Dubna, Russia, July
  26-31, 1999",,,"DFPD 99/TH/53","hep-th",,"  We demonstrate how actions for interacting superconformal field theories in
(p+1)-dimensions arise as a result of gauge fixing worldvolume diffeomorphisms
and fermionic kappa-symmetry in actions for super-p-branes propagating in
superbackgrounds of AdS(p+2)xS(D-p-2) geometry. The method of nonlinear
realizations and coset spaces is used for getting an explicit form of
supervielbeins and superconnections of the AdSxS superbackgrounds, which are
required for the construction of the superconformal theories. Subtleties of
consistent gauge fixing worldvolume symmetries of the branes are discussed.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 08:39:03 GMT""}]","2007-05-23"
"math/9912062","Alexander N. Dranishnikov","A.N. Dranishnikov","On Large Scale Properties of Manifolds","11 pages",,,,"math.GT",,"  We show that a space with a finite asymptotic dimension is embeddable in a
non-positively curved manifold. Then we prove that if a uniformly contractible
manifold X is uniformly embeddable in $\R^n$ or non-positively curved
n-dimensional simply connected manifold then $X\times\R^n$ is integrally
hyperspherical. If a uniformly contractible manifold X of bounded geometry is
uniformly embeddable into a Hilbert space, then X is stably integrally
hyperspherical.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 17:07:26 GMT""}]","2007-05-23"
"math/9912063","Valeryi Tolstoy","V.N. Tolstoy, O.V. Ogievetsky, P.N. Pyatov, A.P. Isaev","Modified Affine Hecke Algebras and Drinfeldians of Type A","11 pages, LATEX. Contribution to Proceedings ""Quantum Theory and
  Symmetries"" (Goslar, July 18-22, 1999) (World Scientific, 2000)",,,,"math.QA math-ph math.MP math.RT",,"  We introduce a modified affine Hecke algebra $\h{H}^{+}_{q\eta}({l})$
($\h{H}_{q\eta}({l})$) which depends on two deformation parameters $q$ and
$\eta$. When the parameter $\eta$ is equal to zero the algebra
$\h{H}_{q\eta=0}(l)$ coincides with the usual affine Hecke algebra
$\h{H}_{q}(l)$ of type $A_{l-1}$, if the parameter q goes to 1 the algebra
$\h{H}^{+}_{q=1\eta}(l)$ is isomorphic to the degenerate affine Hecke algebra
$\Lm_{\eta}(l)$ introduced by Drinfeld. We construct a functor from a category
of representations of $H_{q\eta}^{+}(l)$ into a category of representations of
Drinfeldian $D_{q\eta}(sl(n+1))$ which has been introduced by the first author.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 19:01:53 GMT""}]","2007-05-23"
"math/9912064","Ulrich Goertz","U. Goertz","On the flatness of models of certain Shimura varieties of PEL-type","41 pages, LaTeX",,,"991208.ugoertz.1","math.AG",,"  Consider a PEL-Shimura variety associated to a unitary group that splits over
an unramified extension of Q_p. Rapoport and Zink have defined a model of the
Shimura variety over the ring of integers of the completion of the reflex field
at a place lying over p, with parahoric level structures at p. We show that
this model is flat, as conjectured by Rapoport and Zink, and that its special
fibre is reduced.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 19:26:55 GMT""}]","2009-09-25"
"math/9912065","Stephen Sawin","Stephen Sawin","Three-Dimensional 2-Framed TQFTs and Surgery","19 pages, 9 figures using epsfig","J.Knot Theor.Ramifications 13 (2004) 947",,,"math.QA math.AT",,"  The notion of 2-framed three-manifolds is defined. The category of 2-framed
cobordisms is described, and used to define a 2-framed three-dimensional TQFT.
Using skeletonization and special features of this category, a small set of
data and relations is given that suffice to construct a 2-framed
three-dimensional TQFT. These data and relations are expressed in the language
of surgery.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 20:33:31 GMT""}]","2007-05-23"
"math/9912066","Gregory G. Smith","Gregory G. Smith","Irreducible components of characteristic varieties","20 pages","Journal of Pure and Applied Algebra 165 (2001) 291-306","10.1016/S0022-4049(01)00109-8",,"math.AG math.AP math.RA",,"  We give a dimension bound on the irreducible components of the characteristic
variety of a system of linear partial differential equations defined from a
suitable filtration of the Weyl algebra $A_{n}(k)$. This generalizes an
important consequence of the fact that a characteristic variety defined from
the order filtration is involutive.
  More explicitly, we consider a filtration of $A_{n}(k)$ induced by any vector
$(u,v) \in {\mathbb Z}^{n}\times {\mathbb Z}^{n}$ such that the associated
graded algebra is the commutative polynomial ring in $2n$ indeterminates. The
order filtration is the special case $(u,v) = (0,1)$. Any finitely generated
left $A_{n}(k)$-module $M$ has a good filtration with respect to $(u,v)$ and
this gives rise to a characteristic variety $\Ch_{(u,v)}(M)$ which depends only
on $(u,v)$ and $M$. When $(u,v) = (0,1)$, the characteristic variety is
involutive and this implies that its irreducible components have dimension at
least $n$. In general, the characteristic variety may fail to be involutive,
but we are still able to prove that each irreducible component of
$\Ch_{(u,v)}(M)$ has dimension at least $n$.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 20:46:01 GMT""}]","2010-03-15"
"math/9912067","Jie Du","Jie Du and Leonard L. Scott","Stratifying q-Schur Algebras of Type D","35 pages",,,,"math.QA math.GR math.RA math.RT",,"  Two families of q-Schur algebras associated to Hecke algebras of type D are
introduced, and related to a family used by Geck, Gruber and Hiss [10], [11].
We prove that the algebras in one family, called the q-Schur^{1.5} algebras,
are integrally free, stable under base change, and are standardly stratified if
the base field has odd characteristic. In the so-called linear prime case of
[10], [11], all three families give rise to Morita equivalent algebras. A final
section discusses a different example, and speculates on the direction of a
general theory.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 20:51:05 GMT""}]","2007-05-23"
"math/9912068","Shlomo Gelaki","Pavel Etingof, Shlomo Gelaki, Robert Guralnick and Jan Saxl","Biperfect Hopf Algebras","5 pages, latex",,,,"math.QA",,"  Recall that a finite group is called perfect if it does not have non-trivial
1-dimensional representations (over the field of complex numbers C). By
analogy, let us say that a finite dimensional Hopf algebra H over C is perfect
if any 1-dimensional H-module is trivial. Let us say that H is biperfect if
both H and H^* are perfect. Note that, H is biperfect if and only if its
quantum double D(H) is biperfect. It is not easy to construct a biperfect Hopf
algebra of dimension >1. The goal of this note is to describe the simplest such
example we know. The biperfect Hopf algebra H we construct is based on the
Mathiew group of degree 24, and it is semisimple. Therefore, it yields a
negative answer to Question 7.5 from a previous paper of the first two authors
(math.QA/9905168). Namely, it shows that Corollary 7.4 from this paper stating
that a triangular semisimple Hopf algebra over C has a non-trivial group-like
element, fails in the quasitriangular case. The counterexample is the quantum
double D(H).
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 21:35:54 GMT""}]","2007-05-23"
