"astro-ph/9912046","Jerome Martin","Philippe Brax and Jerome Martin","The Robustness of Quintessence","16 pages, 7 figures","Phys.Rev. D61 (2000) 103502","10.1103/PhysRevD.61.103502","t99/075","astro-ph gr-qc hep-ph hep-th",,"  Recent observations seem to suggest that our Universe is accelerating
implying that it is dominated by a fluid whose equation of state is negative.
Quintessence is a possible explanation. In particular, the concept of tracking
solutions permits to adress the fine-tuning and coincidence problems. We study
this proposal in the simplest case of an inverse power potential and
investigate its robustness to corrections. We show that quintessence is not
affected by the one-loop quantum corrections. In the supersymmetric case where
the quintessential potential is motivated by non-perturbative effects in gauge
theories, we consider the curvature effects and the K\""ahler corrections. We
find that the curvature effects are negligible while the K\""ahler corrections
modify the early evolution of the quintessence field. Finally we study the
supergravity corrections and show that they must be taken into account as
$Q\approx m_{\rm Pl}$ at small red-shifts. We discuss simple supergravity
models exhibiting the quintessential behaviour. In particular, we propose a
model where the scalar potential is given by $V(Q)=\frac{\Lambda^{4+\alpha
}}{Q^{\alpha}}e^{\frac{\kappa}{2}Q^2}$. We argue that the fine-tuning problem
can be overcome if $\alpha \ge 11$. This model leads to $\omega_Q\approx -0.82$
for $\Omega_{\rm m}\approx 0.3$ which is in good agreement with the presently
available data.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 16:18:41 GMT""}]","2009-10-31"
"cond-mat/9912053","Bonitz","N.-H. Kwong and M. Bonitz","Real-time Kadanoff-Baym approach to plasma oscillations in a correlated
  electron gas","4 pages two-column RevTeX, 6 figures including 4 diagrams included in
  text, submitted to Phys. Rev. Lett","Phys.Rev.Lett.84:1768-1771,2000","10.1103/PhysRevLett.84.1768",,"cond-mat.str-el cond-mat.stat-mech",,"  A nonequilibrium Green's functions approach to the collective response of
correlated Coulomb systems at finite temperature is presented. It is shown that
solving Kadanoff-Baym type equations of motion for the two-time correlation
functions with the external perturbing field included allows to compute the
plasmon spectrum with collision effects in a systematic and consistent way. The
scheme has ``built-in'' sum rule preservation and is simpler to implement
numerically than the equivalent equilibrium approach based on the
Bethe-Salpeter equation.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 13:34:30 GMT""}]","2009-02-11"
"cond-mat/9912054","Susanna Manrubia","S.C. Manrubia and A.S. Mikhailov","Very long transients in globally coupled maps","4 pages, 5 figures included",,"10.1209/epl/i2000-00309-6",,"cond-mat",,"  Very long transients are found in the partially ordered phase of type II of
globally coupled logistic maps. The transients always lead the system in this
phase to a state with a few synchronous clusters. This transient behaviour is
not significantly influenced by the introduction of weak noises. However, such
noises generally favor cluster partitions with more stable periodic dynamics.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 13:51:19 GMT""}]","2009-10-31"
"cond-mat/9912055","Bonitz","V.S. Filinov, P.R. Levashov, V.E.Fortov, and M. Bonitz","Thermodynamic Properties of Correlated Strongly Degenerate Plasmas","8 pages, 4 figures, uses sprocl.sty (included) to be published in
  ""Progress in Nonequilibrium Green's functions"", M. Bonitz (Ed.), World
  Scientific 2000",,"10.1142/9789812793812_0042",,"cond-mat.str-el cond-mat.stat-mech",,"  An efficient numerical approach to equilibrium properties of strongly coupled
systems which include a subsystem of fermionic quantum particles and a
subsystem of classical particles is presented. It uses an improved path
integral representation of the many-particle density operator and allows to
describe situations of strong coupling and strong degeneracy, where analytical
theories fail. A novel numerical method is developed, which allows to treat
degenerate systems with full account of the spin scatistics. Numerical results
for thermodynamic properties such as internal energy, pressure and pair
correlation functions are presented over a wide range of degeneracy parameter.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 14:41:46 GMT""}]","2017-08-23"
"cond-mat/9912056","Mohammad Kohandel","Mohammad Kohandel, Mehran Kardar","Instability and Fluctuations of Flux Lines with Point Impurities in a
  Parallel Current","10 pages, 6 figures",,"10.1103/PhysRevB.61.11729",,"cond-mat.stat-mech cond-mat.supr-con",,"  A parallel current can destabilize a single flux line (FL), or an array of
FLs. We consider the effects of pinning by point impurities on this
instability. The presence of impurities destroys the long-range order of a flux
lattice, leading to the so called Bragg glass (BrG) phase. We first show that
the long-range topological order of the BrG is also destroyed by a parallel
current. Nonetheless, some degree of short-range order should remain, whose
destruction by thermal and impurity fluctuations, as well as the current, is
studied here. To this end, we employ a cage model for a single FL in the
presence of impurities and current, and study it analytically (by replica
variational methods), and numerically (using a transfer matrix technique). The
results are in good agreement, and in conjunction with a Lindemann criterion,
provide the boundary in the magnetic field--temperature plane for destruction
of short-range order. In all cases, we find that the addition of impurities or
current (singly or in combination) leads to further increase in equilibrium FL
fluctuations. Thus pinning to point impurities does not stabilize FLs in a
parallel current $j_z$, although the onset of this instability is much delayed
due to large potential barriers that diverge as $j_z^{-\mu}$.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 14:45:03 GMT""}]","2009-10-31"
"cond-mat/9912057","Peeters Francois","I. V. Schweigert, V. A. Schweigert and F. M. Peeters","Radial fluctuations induced stabilization of the ordered state in two
  dimensional classical clusters","4 pages, 8 figures",,"10.1103/PhysRevLett.84.4381",,"cond-mat.mes-hall cond-mat.soft",,"  Melting of two dimensional (2D) clusters of classical particles is studied
using Brownian dynamics and Langevin molecular dynamics simulations. The
particles are confined by a circular hard wall or a parabolic external
potential and interact through a dipole or a screened Coulomb potential. We
found that with decreasing strength of the inter--particle interaction clusters
with short-range inter-particle interaction which are confined by a hard wall
exhibit a re-entrant behavior in its orientational order.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 15:27:12 GMT""}]","2009-10-31"
"cond-mat/9912058","Bonitz","M. Bonitz, Th. Bornath, D. Kremp, M. Schlanges, and W.D. Kraeft","Quantum Kinetic Theory for Laser Plasmas. Dynamical Screening in Strong
  Fields","18 pages, uses cpp.sty (included)","Contr. Plasma Phys. vol. 39, p. 329 (1999)","10.1002/ctpp.2150390407",,"cond-mat.stat-mech",,"  A quantum kinetic theory for correlated charged-particle systems in strong
time-dependent electromagnetic fields is developed. Our approach is based on a
systematic gauge-invariant nonequilibrium Green's functions formulation.
Extending our previous analysis (Kremp et al., Phys. Rev. E vol. 60, p. 4725
(1999) we concentrate on the selfconsistent treatment of dynamical screening
and electromagnetic fields which is applicable to arbitrary nonequilibrium
situations. The resulting kinetic equation generalizes previous results to
quantum plasmas with full dynamical screening and includes many-body effects.
It is, in particular, applicable to the interaction of dense plasmas with
strong electromagnetic fields, including laser fields and x-rays. Furthermore,
results for the modification of the plasma screening and the longitudinal field
fluctuations due to the electromagnetic field are presented.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 15:39:30 GMT""}]","2015-06-25"
"gr-qc/9912011","Martin Rainer","Martin Rainer","Is Loop Quantum Gravity a QFT ?","10 pages, latex & AMS symb., presented at ERE 99 (Bilbao), v2: errors
  & misprints corrected at beginning/end of sec.2, and in sec. 4",,,,"gr-qc",,"  We investigate up to which extend the kinematic setting of loop quantum
gravity can be fit into a diffeomorphism invariant setting of algebraic QFT
generalizing the Haag-Kastler setting of Wightman type QFT. The net of local
(Weyl-)algebras resulting from a spin network state of quantum geometry
immediately accommodates isotony and diffeomorphism covariance, and formulation
of causality becomes possible via of diffeomorphism invariant foliations of the
underlying manifold by cones. On a spatial horizon, quantum geometry becomes
asymptotically a genuine QFT with infinitely many degrees of freedom, if the
cylinder functions' supporting graphs intersect the inner boundary spheres in
an infinite number of punctures.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 16:29:41 GMT""},{""version"":""v2"",""created"":""Mon, 31 Jan 2000 15:03:24 GMT""}]","2007-05-23"
"gr-qc/9912012","Martin Rainer","Martin Rainer","Multidimensional Sigma-Model with Black Holes and p-Branes","10 pages, latex & AMS symb., presented at ERE 99 (Bilbao)",,,,"gr-qc",,"  The bosonic content of string theory in curved background of multidimensional
structure with p-branes has a systematic geometrical description as an
effective sigma-model of gravity in lower dimension (say 3+1) with additional
interacting dilatonic and p-brane fields. If the target-space is locally
symmetric, solutions with intersecting p-branes can be found. Some static
solutions are p-brane generalizations of black holes (including the standard
Reissner-Nordstr""om class), which allow the prediction of detectable features
of the higher-dimensional p-brane geometry via scaling properties of black hole
thermal properties. E.g. the Hawking temperature T_H depends critically on the
p-brane intersection topology.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 16:48:43 GMT""}]","2007-05-23"
"gr-qc/9912013","Yakov Itin","Yakov Itin","Coframe teleparallel models of gravity. Exact solutions","28 pages, Latex error is fixed","Int.J.Mod.Phys. D10 (2001) 547-573","10.1142/S0218271801001025",,"gr-qc",,"  The superstring and superbrane theories which include gravity as a necessary
and fundamental part renew an interest to alternative representations of
general relativity as well as the alternative models of gravity. We study the
coframe teleparallel theory of gravity with a most general quadratic
Lagrangian. The coframe field on a differentiable manifold is a basic dynamical
variable. A metric tensor as well as a metric compatible connection is
generated by a coframe in a unique manner. The Lagrangian is a general linear
combination of Weitzenb\""{o}ck's quadratic invariants with free dimensionless
parameters $\r_1,\r_2,\r_3$.
  Every independent term of the Lagrangian is a global SO(1,3)-invariant
4-form. For a special choice of parameters which confirms with the local
SO(1,3) invariance this theory gives an alternative description of Einsteinian
gravity - teleparallel equivalent of GR.
  We prove that the sign of the scalar curvature of a metric generated by a
static spherical-symmetric solution depends only on a relation between the free
parameters. The scalar curvature vanishes only for a subclass of models with
$\r_1=0$. This subclass includes the teleparallel equivalent of GR. We obtain
the explicit form of all spherically symmetric static solutions of the
``diagonal'' type to the field equations for an arbitrary choice of free
parameters. We prove that the unique asymptotic-flat solution with Newtonian
limit is the Schwarzschild solution that holds for a subclass of teleparallel
models with $\r_1=0$. Thus the Yang-Mills-type term of the general quadratic
coframe Lagrangian should be rejected.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 17:42:03 GMT""},{""version"":""v2"",""created"":""Sun, 12 Dec 1999 12:35:39 GMT""}]","2009-10-31"
"gr-qc/9912014","Vesselin Petkov","Vesselin Petkov","Probing the anisotropic velocity of light in a gravitational field:
  another test of general relativity","5 pages, LaTeX, small changes and reference added; epic.sty is
  required (also available at http://alcor.concordia.ca/~vpetkov/epic.sty)","Chap. 7.6 of ""Relativity and the Nature of Spacetime,"" 2nd ed
  (Springer, 2009)",,,"gr-qc",,"  A corollary of general relativity that the average velocity of light between
two points in a gravitational field is anisotropic has been overlooked. It is
shown that this anisotropy can be probed by an experiment which constitutes
another test of general relativity.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 21:27:52 GMT""},{""version"":""v2"",""created"":""Fri, 3 Dec 1999 03:14:44 GMT""},{""version"":""v3"",""created"":""Sat, 4 Dec 1999 06:02:22 GMT""},{""version"":""v4"",""created"":""Sun, 19 Dec 1999 07:44:00 GMT""},{""version"":""v5"",""created"":""Wed, 29 Dec 1999 02:03:22 GMT""},{""version"":""v6"",""created"":""Sat, 1 Jan 2000 02:03:35 GMT""},{""version"":""v7"",""created"":""Fri, 14 Jan 2000 03:09:27 GMT""},{""version"":""v8"",""created"":""Sun, 31 Dec 2000 20:59:53 GMT""}]","2011-11-18"
"gr-qc/9912015","Carmen Chicone","C. Chicone, B. Mashhoon, and D. G. Retzloff","Chaos in the Hill system","35 pages, 6 figures","Helv.Phys.Acta 72 (1999) 123-157",,,"gr-qc astro-ph nlin.CD",,"  We define the general Hill system and briefly analyze its dynamical behavior.
A particular Hill system representing the interaction of a Keplerian binary
system with a normally incident circularly polarized gravitational wave is
discussed in detail. In this case, we compute the Poincar\'e-Melnikov function
explicitly and determine its zeros. Moreover, we provide numerical evidence in
favor of chaos in this system. The partially averaged equations for the Hill
system are used to predict the regular behavior of the Keplerian orbit at
resonance with the external radiation.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 23:11:38 GMT""}]","2007-05-23"
"gr-qc/9912016","Gabriel Claude","Cl. Gabriel and Ph. Spindel","Quantum charged fields in Rindler space","1 Tex file + 5 eps figures","Annals Phys. 284 (2000) 263-335","10.1006/aphy.2000.6071",,"gr-qc",,"  We study, using Rindler coordinates, the quantization of a charged scalar
field interacting with a constant, external, electric field. First we establish
the expression of the Schwinger vacuum decay rate, using the operator
formalism. Then we rederive it in the framework of the Feynman path integral
method. Our analysis reinforces the conjecture which identifies the zero
winding sector of the Minkowski propagator with the Rindler propagator.
Moreover we compute the expression of the Unruh's modes that allow to make
connection between Minkowskian and Rindlerian quantization scheme by purely
algebraic relations. We use these modes to study the physics of a charged two
level detector moving in an electric field whose transitions are due to the
exchange of charged quanta. In the limit where the Schwinger pair production
mechanism of the exchanged quanta becomes negligible we recover the Boltzman
equilibrium ratio for the population of the levels of the detector. Finally we
explicitly show how the detector can be taken as the large mass and charge
limit of an interacting fields system.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 13:05:01 GMT""},{""version"":""v2"",""created"":""Mon, 6 Nov 2000 10:57:31 GMT""}]","2009-10-31"
"hep-ph/9912223","Georg Weiglein","M. Carena, S. Heinemeyer, C.E.M. Wagner and G. Weiglein","Suggestions for Improved Benchmark Scenarios for Higgs-Boson Searches at
  LEP2","9 pages, no figures, Contribution to the Workshop on ``New
  Theoretical Developments for Higgs Physics at LEP2'', CERN, October 1999",,,"CERN-TH/99-374, DESY 99-186","hep-ph",,"  We suggest new benchmark scenarios for the Higgs-boson search at LEP2.
Keeping m_t and M_SUSY fixed, we improve on the definition of the maximal
mixing benchmark scenario defining precisely the values of all MSSM parameters
such that the new m_h^max benchmark scenario yields the parameters which
maximize the value of m_h for a given tan(beta). The corresponding scenario
with vanishing mixing in the scalar top sector is also considered. We propose a
further benchmark scenario with a relatively large value of |mu|, a moderate
value of M_SUSY, and moderate mixing parameters in the scalar top sector. While
the latter scenario yields m_h values that in principle allow to access the
complete M_A-tan(beta)-plane at LEP2, on the other hand it contains parameter
regions where the Higgs-boson detection can be difficult, because of a
suppression of the branching ratio of its decay into bottom quarks.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 18:51:50 GMT""}]","2007-05-23"
"hep-ph/9912224",,"A. Dobado, M. J. Herrero, J. R. Pelaez and E. Ruiz Morales","LHC sensitivity to the resonance spectrum of a minimal strongly
  interacting electroweak symmetry breaking sector","Final version to appear in Phys. Rev. D, including a more detailed
  exposition and a few more references. Conclusions and results unchanged. 14
  pages, 5 figures","Phys.Rev.D62:055011,2000","10.1103/PhysRevD.62.055011","FTUAM 99/31","hep-ph",,"  We present a unified analysis of the two main production processes of vector
boson pairs at the LHC, VV-fusion and qqbar annihilation, in a minimal strongly
interacting electroweak symmetry breaking sector. Using a unitarized
electroweak chiral Lagrangian formalism and modeling the final V_L V_L strong
rescattering effects by a form factor, we describe qqbar annihilation processes
in terms of the two chiral parameters that govern elastic V_L V_L scattering.
Depending on the values of these two chiral parameters, the unitarized
amplitudes may present resonant enhancements in different angular
momentum-isospin channels. Scanning this two parameter space, we generate the
general resonance spectrum of a minimal strongly interacting electroweak
symmetry breaking sector and determine the regions that can be probed at the
LHC.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 19:38:09 GMT""},{""version"":""v2"",""created"":""Fri, 3 Dec 1999 17:50:11 GMT""},{""version"":""v3"",""created"":""Sat, 10 Jun 2000 11:53:38 GMT""}]","2008-11-26"
"hep-ph/9912225","Emilio Torrente Lujan","E. Torrente-Lujan","Influence of solar chaotic magnetic fields on neutrino oscillations","10pp+2figs. To be published in the proceedings of 2nd ICRA Network
  Workshop: The Chaotic Universe: Theory and observations, Rome, Italy, 1-5 Feb
  1999",,,"IFIC/FTUV-9923","hep-ph",,"  We consider the effect of a random magnetic field in the convective zone of
the Sun on resonant neutrino spin-flavour oscillations. The expected signals in
the different experiments (SK, GALLEX-SAGE,Homestake) are obtained as a
function of the level of noise, regular magnetic field and neutrino mixing
parameters. Previous results obtained for small mixing and ad-hoc regular
magnetic profiles are reobtained. We find that
  MSW regions are stable up to very large levels of noise
  (P=0.7-0.8) and they are acceptable from the point of view of antineutrino
production. For strong noise any parameter region $(\Delta m^2, \sin^2
2\theta)$ is excluded: this model of noisy magnetic field is not compatible
with particle physics solutions to the SNP. scenario.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 21:18:35 GMT""}]","2016-09-06"
"hep-ph/9912226","Iain Stewart","Aneesh V. Manohar, Iain W. Stewart","Renormalization group analysis of the QCD quark potential to order v^2","13 pages. important change: running of soft Lagrangian included","Phys.Rev.D62:014033,2000","10.1103/PhysRevD.62.014033","UCSD/PTH 99-23","hep-ph",,"  A one-loop renormalization group analysis of the order v^2 relativistic
corrections to the static QCD potential is presented. The velocity
renormalization group is used to simultaneously sum ln(m/mv) and ln(m/mv^2)
terms. The results are compared to previous calculations in the literature.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 23:40:01 GMT""},{""version"":""v2"",""created"":""Fri, 10 Dec 1999 21:51:23 GMT""}]","2008-11-26"
"hep-ph/9912227","Alberto Sirlin","Alberto Sirlin","Ten Years of Precision Electroweak Physics","17 pages, talk delivered at the 1999 Lepton-Photon Conference, held
  at Stanford University on August, 1999; some references added","Int.J.Mod.Phys.A15S1:398-415,2000; eConf C990809:398-415,2000",,"NYU-TH/99/12/01","hep-ph",,"  We review a number of theoretical developments in Precision Electroweak
Physics that are closely connected with the interpretation of experiments. The
emphasis is on the test of the Standard Model at the level of its quantum
corrections, the search for the Higgs boson, and constraints on new physics.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 05:18:23 GMT""},{""version"":""v2"",""created"":""Tue, 7 Dec 1999 17:45:35 GMT""}]","2011-04-15"
"hep-ph/9912228","Juan Guillermo Suarez","N M Shumeiko and J G Suarez","The QED lowest-order radiative corrections to the two polarized
  identical fermion scattering","18 pages, 6 figures, in print in J of Phys. G","J.Phys.G26:113-127,2000","10.1088/0954-3899/26/2/302",,"hep-ph",,"  The explicit exact expressions of QED lowest-order radiative corrections to
the two polarized identical fermion scattering are presented in covariant form.
Polarization effects are treated in detail.
  The infrared divergence from the real photon emission is extracted by
covariant approach.
  Some numerical results for M{\o}ller scattering are given.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 06:49:41 GMT""}]","2016-09-06"
"hep-ph/9912229","Carsten Greiner","C. Greiner and S. Leupold","Langevin Interpretation of Kadanoff-Baym Equations","Talk presented at the Workshop on `Kadanoff-Baym Equations: Progress
  and Perspectives for Many-Body-Physics', 20-24. September 1999, Rostock,
  Germany; 9 pages LATEX, 1 .ps fig., sprocl.sty",,"10.1142/9789812793812_0008",,"hep-ph",,"  We show that the nonperturbative quantum transport equations, the
`Kadanoff-Baym equations', can be understood as the ensemble average over
stochastic equations of Langevin type. For this we couple a free scalar boson
quantum field to an environmental heat bath with some given temperature T. The
inherent presence of noise and dissipation related by the
fluctuation-dissipation-theorem guarantees that the modes or particles become
thermally populated on average in the long-time limit. This interpretation
leads to a more intuitive physical picture of the process of thermalization and
of the interpretation of the Kadanoff-Baym equations.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 12:11:59 GMT""}]","2017-08-23"
"hep-ph/9912230","Emmanuel A. Paschos","E. A. Paschos (Dortmund University)","Rescattering Effects for (\epsilon'/\epsilon)","11 pages, one additional remark, citations corrected",,,"Do-TH 99/17","hep-ph",,"  A calculation of the hadronic matrix elements for K\to\pi\pi including
\pi-\pi rescattering effects in a dispersion integral is presented. I study the
dependence of the results on the matching scale \mu and use them to calculate
the CP-parameter (\epsilon\prime/\epsilon). I find improved stability on the
matching scale and good agreement with the experimental results.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 12:25:51 GMT""},{""version"":""v2"",""created"":""Fri, 17 Dec 1999 08:42:25 GMT""}]","2007-05-23"
"hep-ph/9912231","Lisi Eligio","G.L. Fogli, E. Lisi (Bari U. & INFN, Bari), D. Montanino (Lecce U.),
  A. Palazzo (Bari U. & INFN, Bari)","Three-flavor MSW solutions of the solar neutrino problem","19 pages (RevTeX) + 14 figures (PostScript)","Phys.Rev.D62:013002,2000","10.1103/PhysRevD.62.013002","BARI-TH-365-99","hep-ph",,"  We perform an updated phenomenological analysis of the
Mikheyev-Smirnov-Wolfenstein (MSW) solutions of the solar neutrino problem,
assuming oscillations between two and three neutrino families. The analysis
includes the total rates of the Homestake, SAGE, GALLEX, Kamiokande and
Super-Kamiokande experiments, as well as the day-night asymmetry and the 18-bin
energy spectrum of Super-Kamiokande. Solutions are found at several values of
the theta_{13} mixing angle. Among the most interesting features, we find that
solar neutrino data alone put the constraint theta_{13} < 55--59 deg at 95%
C.L., and that a fraction of the MSW solutions extends at and beyond maximal
(nu_1,nu_2) mixing (theta_{12} > pi/4), especially if the neutrino square mass
splitting is in its lower range (m^2_2-m^2_1 ~ 10^{-7} eV^2) and if theta_{13}
is nonzero. In particular, bimaximal (or nearly bimaximal) mixing is possible
for atmospheric and MSW solar neutrino oscillations within the stringent
reactor bounds on theta_{13}.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 12:29:18 GMT""}]","2009-10-07"
"hep-ph/9912233","Rodolfo Sassot","C.A. Garcia Canal (U. La Plata), R. Sassot (U. Buenos Aires)","Deep inelastic scattering, diffraction, and all that","46 pages, 52 postscript figures, LaTeX, aipproc.sty. To be published
  in the proceedings of VII Mexican Workshop on Particles and Fields","AIP Conf.Proc.531:199-244,2000","10.1063/1.1315039",,"hep-ph",,"  These lectures include an introduction to the partonic description of the
proton, the photon and the `colour singlet', as seen in inclusive and
semi-inclusive DIS, in $e^+e^-$ collisions, and in diffractive processes,
respectively. Their formal treatment using structure, fragmentation, and
fracture functions is outlined giving an insight into the perturbative QCD
framework for these functions. Examples and comparisons with experimental data
from LEP, HERA, and Tevatron are also covered.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 15:09:34 GMT""}]","2014-11-17"
"hep-th/9912012","Herman Verlinde","J. de Boer, E. Verlinde and H. Verlinde","On the Holographic Renormalization Group","14 pages, no figures","JHEP 0008 (2000) 003","10.1088/1126-6708/2000/08/003","PUPT-1898; ITFA/99-39; SPIN-1999/29","hep-th",,"  We propose a direct correspondence between the classical evolution equations
of 5-d supergravity and the renormalization group (RG) equations of the dual
4-d large $N$ gauge theory. Using standard Hamilton-Jacobi theory, we derive
first order flow equations for the classical supergravity action $S$, that take
the usual form of the Callan-Symanzik equations, including the corrections due
to the conformal anomaly. This result gives direct support for the
identification of $S$ with the quantum effective action of the gauge theory. In
addition we find interesting new relations between the beta-functions and the
counterterms that affect the 4-d cosmological and Newton constant.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 23:05:07 GMT""}]","2009-10-31"
"hep-th/9912015","Dionisio Bazeia","D. Bazeia and F.A. Brito","Bags, junctions, and networks of BPS and non-BPS defects","Revtex, 16 pages, 6 ps figures; Shorter version to be published in
  Phys. Rev. D","Phys.Rev. D61 (2000) 105019","10.1103/PhysRevD.61.105019",,"hep-th",,"  We investigate several models of coupled scalar fields that present discrete
Z_2, Z_2 x Z_2, Z_3 and other symmetries. These models support topological
domain wall solutions of the BPS and non-BPS type. The BPS solutions are
stable, but the stability of the non-BPS solutions may depend on the parameters
that specify the models. The BPS and non-BPS states give rise to bags, and also
to three-junctions that may allow the presence of networks of topological
defects. In particular, we show that the non-BPS defects of a specific model
that engenders the Z_3 symmetry give rise to a stable regular hexagonal network
of domain walls.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 20:42:20 GMT""},{""version"":""v2"",""created"":""Tue, 15 Feb 2000 18:10:15 GMT""}]","2009-10-31"
"hep-th/9912016","Olaf Lechtenfeld","Klaus Junemann, Olaf Lechtenfeld","Ward identities and the vanishing theorem for loop amplitudes of the
  closed N=2 string","12 pages, 2 figures","Phys.Lett. B474 (2000) 58-66","10.1016/S0370-2693(00)00014-9","ITP-UH-20/99","hep-th",,"  The existence of a ground ring of ghost number zero operators in the chiral
BRST cohomology of the N=2 string is used to derive an infinite set of Ward
identities for the closed-string scattering amplitudes at arbitrary genus.
These identities are sufficient to rederive the well known vanishing theorem
for loop amplitudes with more than three external legs.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 21:58:37 GMT""}]","2009-10-31"
"hep-th/9912017","Klaus Bering","K. Bering (IFT)","Family of Boundary Poisson Brackets","6 pages, LaTeX. v2: Typo in Eq. (5.1) corrected","Phys.Lett. B486 (2000) 426-430","10.1016/S0370-2693(00)00778-4","UFIFT-HEP-99-18","hep-th",,"  We find a new d-parameter family of ultra-local boundary Poisson brackets
that satisfy the Jacobi identity. The two already known cases (hep-th/9305133,
hep-th/9806249 and hep-th/9901112) of ultra-local boundary Poisson brackets are
included in this new continuous family as special cases.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 23:37:02 GMT""},{""version"":""v2"",""created"":""Fri, 3 Dec 1999 23:44:47 GMT""}]","2009-10-31"
"hep-th/9912018","Herman Verlinde","E. Verlinde and H. Verlinde","RG-Flow, Gravity and the Cosmological Constant","23 pages, 1 figure","JHEP 0005 (2000) 034","10.1088/1126-6708/2000/05/034","PUPT-1899; ITFA/99-40","hep-th",,"  We study the low energy effective action $S$ of gravity, induced by
integrating out gauge and matter fields, in a general class of Randall-Sundrum
type string compactification scenarios with exponential warp factors. Our
method combines dimensional reduction with the holographic map between between
5-d supergravity and 4-d large $N$ field theory. Using the classical
supergravity approximation, we derive a flow equation of the effective action
$S$ that controls its behavior under scale transformations. We find that as a
result each extremum of $S$ automatically describes a complete RG trajectory of
classical solutions. This implies that, provided the cosmological constant is
canceled in the high energy theory, classical flat space backgrounds naturally
remain stable under the RG-flow. The mechanism responsible for this stability
is that the non-zero vacuum energy generated by possible phase transitions, is
absorbed by a dynamical adjustment of the contraction rate of the warp factor.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 23:56:34 GMT""},{""version"":""v2"",""created"":""Fri, 3 Dec 1999 02:27:19 GMT""}]","2009-10-31"
"hep-th/9912020","Aalok Misra fc phy","Satish D. Joglekar, A. Misra ((1) Department of Physics, Indian
  Institute of Technology, Kanpur, UP, India (2) Institute of Physics,
  Sachivalaya Marg, Bhubaneswar, Orissa, India)","Wilson Loop and the Treatment of Axial Gauge Poles","8 pages, LaTex; some typos related to equation (18) corrected","Mod.Phys.Lett. A15 (2000) 541-546; Erratum-ibid. A15 (2000) 1539","10.1142/S0217732300000530",,"hep-th hep-ph",,"  We consider the question of gauge invariance of the Wilson loop in the light
of a new treatment of axial gauge propagator proposed recently based on a
finite field-dependent BRS (FFBRS) transformation. We remark that as under the
FFBRS transformation the vacuum expectation value of a gauge invariant
observable remains unchanged, our prescription automatically satisfies the
Wilson loop criterion. Further, we give an argument for {\it direct}
verification of the invariance of Wilson loop to O(g^4) using the earlier work
by Cheng and Tsai. We also note that our prescription preserves the thermal
Wilson loop to O(g^2).
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 06:32:19 GMT""},{""version"":""v2"",""created"":""Sun, 2 Jan 2000 05:45:23 GMT""},{""version"":""v3"",""created"":""Tue, 11 Jan 2000 12:55:59 GMT""},{""version"":""v4"",""created"":""Wed, 21 Jun 2000 07:05:18 GMT""}]","2009-10-31"
"hep-th/9912021","Bernard Knaepen","Bernard Knaepen","Local BRST cohomology for p-form gauge theories","PhD thesis, Universite Libre de Bruxelles, May 1999. 152 pages, no
  figures, misquotes in references corrected",,,,"hep-th",,"  In this thesis, we compute within the field-antifield formalism the local
BRST cohomology of various theories involving p-form gauge fields. A particular
emphasis is put on the cohomology groups corresponding to the consistent local
interactions, counterterms and candidate anomalies.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 12:40:45 GMT""},{""version"":""v2"",""created"":""Wed, 8 Dec 1999 12:18:35 GMT""}]","2007-05-23"
